feature,f_statistic,p_value,eta_squared,invariant
opening_deaths_per_round,0.28579693357088126,0.9597605911858151,0.0005748787937955894,True
opening_attempts,0.4436315947708972,0.8750007425859665,0.0008920790345839149,True
opening_kills_per_round,0.8670187569730136,0.5318090599309035,0.0017419663818635726,True
opening,1.006396410011878,0.42444686584521873,0.0020214302326562734,True
sniping,1.1485125810871322,0.32942314127292166,0.0023062239726504385,True
pistol_round_rating,1.2682615925392746,0.2619113365685465,0.0025460688838795553,True
damage_per_kill,3.2098029912552604,0.002156003292538635,0.006418746565641546,False
clutching,3.321125201704051,0.0015812521810060864,0.0066398830452852,False
clutch_points_per_round,3.3278269705503334,0.0015518996349823187,0.006653192661300507,False
rating_3.0,4.14093890878936,0.00015170319401674974,0.008265378769901166,False
sniper_multi_kill_rounds,4.21829705619407,0.00012103584179493692,0.008418486958617754,False
sniper_kills_per_round,4.753001295212924,2.4968638885237197e-05,0.009475488784710951,False
sniper_opening_kills_per_round,7.1838038848109695,1.4692477398235093e-08,0.014252421219439221,False
rounds_with_a_multi_kill,7.27981851429725,1.0886142038269848e-08,0.014440160258223207,False
assists_per_round,7.674944485649632,3.158533061389884e-09,0.015212004703350124,False
traded_deaths_per_round,8.221657670499368,5.654037559061285e-10,0.016277970213579622,False
damage_per_round,8.831323616646106,8.222423713881324e-11,0.01746396092089593,False
kills_per_round,9.343206339786807,1.6181765263274322e-11,0.018457526460836152,False
firepower,9.633890029591903,6.4133498487040296e-12,0.019020850131706554,False
trade_kills_per_round,10.085030353791689,1.5203575756759045e-12,0.01989384763535005,False
kills_per_round_win,10.210863026127944,1.0169857217517127e-12,0.02013706821896854,False
rounds_with_a_kill,14.864893622062203,3.1285528326983213e-19,0.029048765857997545,False
assisted_kills_percentage,15.780647601261258,1.60974925071984e-20,0.030783231152643056,False
traded_deaths_percentage,17.582906694473046,4.6540463350055833e-23,0.034178728327621956,False
trade_kills_percentage,18.319796081492555,4.256965259638139e-24,0.03556020213023284,False
entrying,24.406766649226547,1.1285295211595764e-32,0.04682228369184246,False
attacks_per_round,28.144561341740054,6.332212014402365e-38,0.053608514251752136,False
trading,34.26247684736022,1.780550477738633e-46,0.06450990619857434,False
saved_by_teammate_per_round,41.742162589071825,7.698641969730988e-57,0.0775013301483728,False
utility_kills_per_100_rounds,44.53981877261713,1.0913426560520494e-60,0.08226832052869203,False
saved_teammate_per_round,47.5715738269308,7.682628090719358e-65,0.08737888426729823,False
support_rounds,54.61315620078729,2.0656243572699006e-74,0.09903190850728041,False
saves_per_round_loss,79.89012648096185,6.771665971281646e-108,0.13851843039091744,False
flashes_thrown_per_round,131.28830071507605,6.352930252367485e-172,0.20900939751858888,False
utility_damage_per_round,159.33741073741785,9.38295201436701e-205,0.24282037981660423,False
utility,163.06175806305717,5.210365730498701e-209,0.2470936320139974,False
