feature,f_statistic,p_value,eta_squared,invariant
opening_deaths_per_round,0.28579693357088126,0.9597605911858151,0.0005748787937955882,True
opening_attempts,0.4436315947708972,0.8750007425859665,0.0008920790345839163,True
1on1_win_percentage,0.4427872460041398,0.8755616997491431,0.000934967626764819,True
opening_kills_per_round,0.8670187569730136,0.5318090599309035,0.0017419663818635613,True
opening,1.006396410011878,0.42444686584521873,0.00202143023265626,True
sniping,1.1485125810871322,0.32942314127292166,0.0023062239726504225,True
pistol_round_rating,1.2682615925392746,0.2619113365685465,0.0025460688838795796,True
opening_success,1.361475558195284,0.2171816650545524,0.0027334708172045896,True
win_after_opening_kill,1.8628504809831263,0.07150438182614657,0.00374384260343521,True
damage_per_kill,3.2098029912552604,0.002156003292538635,0.0064187465656415236,True
clutching,3.321125201704051,0.0015812521810060864,0.006639883045285199,True
clutch_points_per_round,3.3278269705503334,0.0015518996349823187,0.006653192661300336,True
rating_3.0,4.14093890878936,0.00015170319401674974,0.00826537876990118,True
sniper_multi_kill_rounds,4.21829705619407,0.00012103584179493692,0.008418486958617728,True
sniper_kills_percentage,4.455433755185916,6.0318482535259316e-05,0.008887536365622355,True
sniper_kills_per_round,4.753001295212924,2.4968638885237197e-05,0.009475488784711012,True
rounds_with_sniper_kills_percentage,4.372168540627613,7.748162074858204e-05,0.009671089455297694,True
last_alive_percentage,4.913048164586199,1.5484803451821658e-05,0.009791430922953018,True
sniper_opening_kills_per_round,7.1838038848109695,1.4692477398235093e-08,0.014252421219438644,True
rounds_with_a_multi_kill,7.27981851429725,1.0886142038269848e-08,0.014440160258223181,True
assists_per_round,7.674944485649632,3.158533061389884e-09,0.015212004703350204,True
traded_deaths_per_round,8.221657670499368,5.654037559061285e-10,0.0162779702135794,True
damage_per_round,8.831323616646106,8.222423713881324e-11,0.017463960920895985,True
kills_per_round,9.343206339786807,1.6181765263274322e-11,0.01845752646083599,True
firepower,9.633890029591903,6.4133498487040296e-12,0.019020850131706638,True
trade_kills_per_round,10.085030353791689,1.5203575756759045e-12,0.019893847635350268,True
kills_per_round_win,10.210863026127944,1.0169857217517127e-12,0.020137068218968778,True
damage_per_round_win,10.513398152926055,3.8638205927021503e-13,0.020721341313975503,True
opening_deaths_traded_percentage,10.50234325436698,4.007935928478017e-13,0.020776052563384956,True
rounds_with_a_kill,14.864893622062203,3.1285528326983213e-19,0.029048765857997427,True
assisted_kills_percentage,15.780647601261258,1.60974925071984e-20,0.030783231152643052,True
traded_deaths_percentage,17.582906694473046,4.6540463350055833e-23,0.03417872832762192,True
trade_kills_percentage,18.319796081492555,4.256965259638139e-24,0.03556020213023301,True
entrying,24.406766649226547,1.1285295211595764e-32,0.04682228369184329,True
attacks_per_round,28.144561341740054,6.332212014402365e-38,0.05360851425175223,True
trading,34.26247684736022,1.780550477738633e-46,0.0645099061985748,False
saved_by_teammate_per_round,41.742162589071825,7.698641969730988e-57,0.07750133014837365,False
utility_kills_per_100_rounds,44.53981877261713,1.0913426560520494e-60,0.08226832052869214,False
saved_teammate_per_round,47.5715738269308,7.682628090719358e-65,0.08737888426729724,False
support_rounds,54.61315620078729,2.0656243572699006e-74,0.09903190850728012,False
time_opponent_flashed_per_round,68.8146505196926,2.1602446967383106e-93,0.12165119655144281,False
flash_assists_per_round,69.71954521143482,1.3794878687415775e-94,0.12305403077755307,False
saves_per_round_loss,79.89012648096185,6.771665971281646e-108,0.13851843039091716,False
flashes_thrown_per_round,131.28830071507605,6.352930252367485e-172,0.20900939751858857,False
utility_damage_per_round,159.33741073741785,9.38295201436701e-205,0.24282037981660357,False
utility,163.06175806305717,5.210365730498701e-209,0.24709363201399695,False
