feature,f_statistic,p_value,eta_squared,invariant,version
opening_attempts,0.29737363151237556,0.9550868765034121,0.0011474761680466351,True,cs2
opening_deaths_per_round,0.4228529336741553,0.8885285779794218,0.0016308737293227397,True,cs2
sniping,0.5308998297586334,0.811667618671446,0.0020467397967124682,True,cs2
opening_kills_per_round,0.682595633817001,0.6869776903805367,0.0026300235863140078,True,cs2
1on1_win_percentage,0.7533892830232028,0.6266483130223829,0.003011365331378515,True,cs2
opening,0.845923102902417,0.5491259855626516,0.003257270374438174,True,cs2
pistol_round_rating,1.4241504081313967,0.19111306580530327,0.005471581880761289,True,cs2
opening_success,1.5249526316659356,0.1542476979725505,0.005859810539557103,True,cs2
sniper_multi_kill_rounds,1.7720752155128654,0.08875531446067415,0.006799219322443207,True,cs2
win_after_opening_kill,2.1212869992268235,0.03852975788124303,0.008141578015152352,True,cs2
clutching,2.134389631945275,0.03730318085639716,0.008178003368881394,True,cs2
sniper_kills_percentage,2.3144780459274528,0.023767068895243788,0.008861904819231624,True,cs2
sniper_kills_per_round,2.4454269970750575,0.01700631531764241,0.009358602934672144,True,cs2
damage_per_kill,2.454269999722742,0.01662299602546103,0.009392127090396466,True,cs2
rounds_with_sniper_kills_percentage,2.211085356727893,0.03089745812436971,0.00959864342991168,True,cs2
last_alive_percentage,2.553645706942703,0.012845532380644209,0.009768708173712866,True,cs2
clutch_points_per_round,3.6894976167505225,0.0005745697242728026,0.014052732154907918,True,cs2
rating_3.0,4.243654563243204,0.00011699026110751646,0.01612938693022133,True,cs2
traded_deaths_per_round,4.267238009918465,0.0001092419507910064,0.016217569789073988,True,cs2
sniper_opening_kills_per_round,4.762583694568833,2.557657084579968e-05,0.01806611271798965,True,cs2
rounds_with_a_multi_kill,5.622615757577231,1.962600266124355e-06,0.0212591533924075,True,cs2
damage_per_round,5.748545365309634,1.342244538176518e-06,0.021724950071658644,True,cs2
damage_per_round_win,5.771306400174734,1.2530484152890986e-06,0.021809092772798844,True,cs2
kills_per_round_win,6.043995527450392,5.486075107092374e-07,0.022816042106529093,True,cs2
firepower,6.451041045242317,1.588281784166451e-07,0.024315273469347056,True,cs2
kills_per_round,6.541687400695695,1.2039762483048254e-07,0.02464851632669362,True,cs2
trade_kills_per_round,6.559592100197427,1.1398215975477887e-07,0.024714312385960585,True,cs2
opening_deaths_traded_percentage,7.606045752402728,4.556290816153597e-09,0.028590436210895864,True,cs2
rounds_with_a_kill,9.877068028823341,3.837739450240719e-12,0.03675404034440014,True,cs2
assists_per_round,9.893601421192756,3.643885303029422e-12,0.03681329868596133,True,cs2
trade_kills_percentage,10.046441920638932,2.2563360014527414e-12,0.03736075861145976,True,cs2
traded_deaths_percentage,10.33841929218678,9.02500131154509e-13,0.0384048652572207,True,cs2
entrying,15.748969768455881,3.5523003313755e-20,0.0573511260105423,True,cs2
attacks_per_round,17.949008562789306,3.4802468087451404e-23,0.06484324308082122,False,cs2
trading,23.254955855481132,2.1250312215598214e-30,0.0824316148141168,False,cs2
utility_kills_per_100_rounds,28.948857427372854,4.769112691947254e-38,0.10058462088613493,False,cs2
saved_by_teammate_per_round,29.956356421294068,2.1699006190508406e-39,0.10372214767016139,False,cs2
saved_teammate_per_round,30.05126819378904,1.622561355703553e-39,0.10401659157126891,False,cs2
flash_assists_per_round,35.40000358116842,1.4080557175494271e-46,0.12030295273929653,False,cs2
time_opponent_flashed_per_round,36.3621973801461,7.752567694593083e-48,0.12317010583019096,False,cs2
assisted_kills_percentage,36.614077589818656,3.6340492040969264e-48,0.12391757658980226,False,cs2
saves_per_round_loss,44.8908598015319,7.580437908341286e-59,0.1477898106608334,False,cs2
support_rounds,49.05548850275113,4.0040019579087473e-64,0.1593162589209087,False,cs2
flashes_thrown_per_round,63.658300072382076,4.001345679302056e-82,0.19738062616211696,False,cs2
utility,76.86256963154595,9.423213165570312e-98,0.2289486341500892,False,cs2
utility_damage_per_round,87.46956787905853,6.934348852083395e-110,0.2525637358236699,False,cs2
