feature,f_statistic,p_value,eta_squared,invariant,version
opening_deaths_per_round,0.33697068626762594,0.9372183553427869,0.0014206536630849086,True,csgo
1on1_win_percentage,0.34885592206065663,0.9312550941623676,0.0015649357475624568,True,csgo
opening_attempts,0.5978729589559248,0.7581060000367479,0.002517836723309997,True,csgo
sniping,0.8254894999224789,0.5660074423615997,0.003473074543714937,True,csgo
clutch_points_per_round,0.8554724951809679,0.5413235694497386,0.0035987677553967344,True,csgo
opening_success,0.9054041519772857,0.5011909456829193,0.003808018392158979,True,csgo
opening_kills_per_round,1.0347152899913838,0.4045151652478728,0.0043495195592251805,True,csgo
pistol_round_rating,1.2381759600187143,0.2781762572132817,0.005200337268997445,True,csgo
opening,1.7009443310927816,0.1045090739648999,0.007130105506549618,True,csgo
rating_3.0,1.8906779127255489,0.06733569172460997,0.007919142074800324,True,csgo
clutching,2.149584864316548,0.03597654477769117,0.008993825758836765,True,csgo
sniper_kills_percentage,2.4700024733443233,0.015993284477291085,0.010320611437258785,True,csgo
last_alive_percentage,2.6524449159571755,0.009937849631276528,0.011074483241439089,True,csgo
sniper_kills_per_round,2.6534769198922454,0.009910880707933908,0.011078744326086309,True,csgo
rounds_with_sniper_kills_percentage,2.6759257303387893,0.009364299806677367,0.01210253868520627,True,csgo
sniper_multi_kill_rounds,2.9835641111455855,0.004100531177796937,0.012439773668362608,True,csgo
sniper_opening_kills_per_round,2.994657736619321,0.003978990340249019,0.01248545030392072,True,csgo
win_after_opening_kill,3.833348245846037,0.000383937581437087,0.01597386807428242,True,csgo
opening_deaths_traded_percentage,4.01068090728669,0.00023113312024080422,0.016750306677624296,True,csgo
rounds_with_a_multi_kill,4.522972838149015,5.223977077166334e-05,0.01873796781114578,True,csgo
trade_kills_per_round,4.932189064728767,1.5651384095978872e-05,0.02039870421711765,True,csgo
traded_deaths_per_round,4.933914595137849,1.5571592350049023e-05,0.02040569509528522,True,csgo
assists_per_round,5.042183573118236,1.1294357374384145e-05,0.020844140608104904,True,csgo
damage_per_round,5.305306598130705,5.157016779005574e-06,0.021908048130767653,True,csgo
damage_per_round_win,5.415025899600102,3.71398450201736e-06,0.022351002706535145,True,csgo
kills_per_round,5.665867339505871,1.7487562210986508e-06,0.02336218462286005,True,csgo
kills_per_round_win,5.790598189836135,1.2008713679940944e-06,0.023864216352688226,True,csgo
damage_per_kill,6.165190899386693,3.8654065910179163e-07,0.025368824354897568,True,csgo
firepower,6.723592996113217,7.051638442301145e-08,0.027603139355666453,True,csgo
rounds_with_a_kill,6.963748198135057,3.380005386424555e-08,0.028560916859893808,True,csgo
traded_deaths_percentage,8.824829045755354,1.0730761845925985e-10,0.03591972572266401,True,csgo
trade_kills_percentage,10.25515116408867,1.2373650704718627e-12,0.04149996342637475,True,csgo
attacks_per_round,11.224870678494662,5.937952259309976e-14,0.04524661227357461,True,csgo
entrying,11.98827784979115,5.417091411283888e-15,0.04817560160735198,True,csgo
assisted_kills_percentage,12.326439840527073,1.8743739248133865e-15,0.04946730321107272,True,csgo
trading,16.858420214074588,1.251035123685788e-21,0.06644614153741313,False,csgo
utility_kills_per_100_rounds,18.104002765235744,2.5402571267936094e-23,0.07100690860579005,False,csgo
saved_by_teammate_per_round,19.75645828984947,1.4633845432126394e-25,0.07698913152515516,False,csgo
saved_teammate_per_round,21.280653094383187,1.277500173558936e-27,0.0824391213845313,False,csgo
support_rounds,26.27483859393655,2.5863707402107557e-34,0.09985421935045738,False,csgo
time_opponent_flashed_per_round,34.72042131120637,2.013871616651719e-45,0.1278471637284566,False,csgo
saves_per_round_loss,38.85474638059187,9.316473921789798e-51,0.1409251755084419,False,csgo
flash_assists_per_round,39.61691835030403,9.847036461889968e-52,0.1432934365606843,False,csgo
flashes_thrown_per_round,70.73368622822478,1.273441629916265e-89,0.22996032241453349,False,csgo
utility_damage_per_round,75.31292678485907,6.860476013128475e-95,0.2412560783653228,False,csgo
utility,88.85647125828916,4.7703286826573523e-110,0.2728055181224286,False,csgo
