,PC1,PC2,abs_PC1
n_tx_card_6h,0.3459718490143659,-0.03186873430024849,0.3459718490143659
n_tx_card_1h,0.3442596149964748,-0.026429818300969455,0.3442596149964748
n_tx_card_24h,0.3377755806953537,-0.04500135807000596,0.3377755806953537
sum_amt_card_24h,0.3247494213028892,0.1032749696675016,0.3247494213028892
sum_amt_card_6h,0.32122914426657484,0.11681788404121801,0.32122914426657484
sum_amt_card_1h,0.3203214420856725,0.11771296557192726,0.3203214420856725
cum_card_count,0.31701019644800427,-0.06553840084864135,0.31701019644800427
same_amount_10min,0.24438681651886762,-0.18689973702053975,0.24438681651886762
same_amt_prev,0.22753928164311785,-0.2153475885072877,0.22753928164311785
gap_min_prev,-0.22663490743699718,0.17757993865366978,0.22663490743699718
amount_te,0.16630982338728864,0.13360622438196568,0.16630982338728864
bin_te,0.14623912126265098,-0.053244827919629666,0.14623912126265098
amt_mod_50,0.10862223280339632,0.23659887749809738,0.10862223280339632
afternoon_peak,0.05930058463338797,-0.009640805771203312,0.05930058463338797
weekend,0.04991392130795917,-0.08583815486293496,0.04991392130795917
amt_mod_10,0.03837921754744942,0.2267942226064582,0.03837921754744942
amount_gt_200,0.03771049441790362,0.5040129483344453,0.03771049441790362
dow_sin,-0.035407973906829995,0.06799162305704833,0.035407973906829995
amount_log,0.032142799771804315,0.4820318234804321,0.032142799771804315
hour_sin,-0.024469711597932816,0.03280617197929202,0.024469711597932816
amount_gt_500,0.01537496122940036,0.3871980231353396,0.01537496122940036
amt_mod_100,0.008658457047112296,0.1628471212724212,0.008658457047112296
hour_cos,-0.007766984131848272,-0.0010878371565938626,0.007766984131848272
dow_cos,0.007032479453364675,0.07791301721654331,0.007032479453364675
has_cents,0.005347847770520758,-0.17549506775115156,0.005347847770520758
night,-0.0006074130888766795,-0.0005883759069267648,0.0006074130888766795
