feature,family,delta_pr_auc_mean,delta_pr_auc_std
bin_te,identity,0.25600400254622513,0.028785061012775583
gap_min_prev,velocity,0.19020363533928925,0.015334295979093377
n_tx_card_1h,velocity,0.03851910266998161,0.0010709586450323816
amount_te,identity,0.02670568520946619,0.01718354298490406
sum_amt_card_1h,velocity,0.00812747598107778,0.000984436588574583
afternoon_peak,temporal,0.005730913352559264,0.002348938247105552
hour_sin,temporal,0.00264167155561551,0.007297163938311683
weekend,temporal,0.001112895413136672,0.0002952475991327582
night,temporal,0.00013108173490344877,0.0005490656759683111
amt_mod_50,amount,6.296223859394434e-05,2.568277332413014e-05
cum_card_count,velocity,4.188471583318476e-05,0.002636795343953635
n_tx_card_6h,velocity,3.1793456369388904e-06,1.267963319007137e-07
amt_mod_100,amount,0.0,0.0
amount_gt_500,amount,0.0,0.0
amount_gt_200,amount,0.0,0.0
n_tx_card_24h,velocity,-0.00016642600975478317,7.034980565856288e-05
same_amt_prev,velocity,-0.0005711498039788099,0.0002632990101193813
amt_mod_10,amount,-0.0007026826630509797,0.002039997845362035
has_cents,amount,-0.0020194421055588106,0.0016601555359616782
dow_cos,temporal,-0.0032387247047992117,0.006454994985279545
same_amount_10min,velocity,-0.0032888174669318928,0.00014471744621165366
sum_amt_card_24h,velocity,-0.003947881438400147,0.00044105571854731365
amount_log,amount,-0.004925932624598173,0.0051697821185801825
sum_amt_card_6h,velocity,-0.011196576052343688,0.00044482288636102634
dow_sin,temporal,-0.014272246966432811,0.00964079502188605
hour_cos,temporal,-0.015706810863748654,0.004089358530878413
