config,model,n_features,roc_auc,pr_auc,top1_precision,top5_recall
all,LR,26,0.8750650077568577,0.5470059623503126,0.9259259259259259,0.4540229885057471
all,HGB,26,0.8195759290600098,0.4215116120272477,0.8148148148148148,0.39655172413793105
without_temporal,LR,19,0.876834540935054,0.5305930382909558,0.9259259259259259,0.4425287356321839
without_temporal,HGB,19,0.7974380332839716,0.42032733373531156,0.8148148148148148,0.41379310344827586
without_velocity,LR,16,0.7378413458148226,0.21228218683351274,0.3333333333333333,0.2413793103448276
without_velocity,HGB,16,0.699182665185812,0.17787070804922608,0.48148148148148145,0.19540229885057472
without_amount,LR,19,0.8736017823143644,0.5151487188643271,0.8888888888888888,0.43103448275862066
without_amount,HGB,19,0.8309798321698046,0.46679361221174975,0.9259259259259259,0.41379310344827586
without_identity,LR,24,0.8616150130456244,0.5617471101000605,0.9259259259259259,0.5057471264367817
without_identity,HGB,24,0.8349166578520555,0.5013680711939149,0.8148148148148148,0.4482758620689655
only_temporal,LR,7,0.5103119931598618,0.07283588105059283,0.0,0.028735632183908046
only_temporal,HGB,7,0.5329435071574642,0.06721332831824536,0.0,0.028735632183908046
only_velocity,LR,10,0.8451625414286722,0.5510621849622688,0.9259259259259259,0.5114942528735632
only_velocity,HGB,10,0.8387091442775545,0.5348413453721814,0.8518518518518519,0.5172413793103449
only_amount,LR,7,0.6018363038572738,0.10214210316254023,0.0,0.04597701149425287
only_amount,HGB,7,0.5246070887102461,0.09879141934600824,0.2962962962962963,0.07471264367816093
only_identity,LR,2,0.7568599710880757,0.20969666245650576,0.2962962962962963,0.23563218390804597
only_identity,HGB,2,0.6990427332346096,0.1921603482143928,0.4074074074074074,0.22988505747126436
