,PC1,PC2,abs_PC1
n_tx_card_6h,0.4188421005823197,-0.03955153579160112,0.4188421005823197
sum_amt_card_6h,0.41331051743206165,-0.004277627382390696,0.41331051743206165
sum_amt_card_24h,0.40239894569593637,-0.0037306915649250607,0.40239894569593637
n_tx_card_24h,0.4010510548238977,-0.03972653484487001,0.4010510548238977
n_tx_card_1h,0.3816120227914886,-0.008169363295349947,0.3816120227914886
sum_amt_card_1h,0.3570464215808556,0.030860575100465852,0.3570464215808556
cum_card_count,0.2079387007945411,-0.09192373769591598,0.2079387007945411
same_amount_10min,0.07140606291262952,0.1145527913935823,0.07140606291262952
gap_min_prev,-0.06027425447270464,0.04872777275644017,0.06027425447270464
same_amt_prev,0.04298263360731949,0.1277755570225727,0.04298263360731949
has_cents,-0.03621215406077801,-0.30636344468420196,0.03621215406077801
dow_sin,-0.023278256756357942,-0.023985101456687398,0.023278256756357942
amount_log,0.022458746315954497,0.2382953959296956,0.022458746315954497
weekend,0.020877456953478413,0.022411745731350827,0.020877456953478413
bin_te,-0.017395852372244974,0.006499119399144684,0.017395852372244974
amt_mod_10,0.01505397991354054,0.48786347672940467,0.01505397991354054
hour_cos,0.012906569866600255,-0.14004853427339298,0.012906569866600255
hour_sin,-0.011778031319063409,-0.15749994879896712,0.011778031319063409
amount_gt_500,0.011087394001352781,0.09125276930222852,0.011087394001352781
amt_mod_50,0.010510504175886816,0.4988614473265844,0.010510504175886816
amt_mod_100,0.00870441537248817,0.4384914150592355,0.00870441537248817
amount_gt_200,0.008244397819310948,0.15503433749167264,0.008244397819310948
amount_te,-0.005086681349800007,0.09710494802312683,0.005086681349800007
night,-0.004251878481887094,-0.16635914623437997,0.004251878481887094
dow_cos,0.0012607412275865652,0.0018677390587428907,0.0012607412275865652
afternoon_peak,-0.0006822950903198268,0.10358946513005794,0.0006822950903198268
