config,model,n_features,roc_auc,pr_auc,top1_precision,top5_recall
all,LR,26,0.6655823289360645,0.06903856905054427,0.1334688346883469,0.14823529411764705
all,HGB,26,0.6723012951067402,0.07988550755982851,0.18699186991869918,0.16254901960784313
without_temporal,LR,19,0.6628959319933115,0.06837842378443751,0.1388888888888889,0.13745098039215686
without_temporal,HGB,19,0.6586384211101917,0.07600365971158737,0.18699186991869918,0.15450980392156863
without_velocity,LR,16,0.6512240089637427,0.06861354602411207,0.15040650406504066,0.1450980392156863
without_velocity,HGB,16,0.6397374865616081,0.06875949826929849,0.13956639566395665,0.14647058823529413
without_amount,LR,19,0.7080679592284522,0.07920446760259073,0.13821138211382114,0.1588235294117647
without_amount,HGB,19,0.6723187830715126,0.08113206749638886,0.19037940379403795,0.17
without_identity,LR,24,0.6079501684140874,0.053755383923199854,0.06300813008130081,0.11784313725490196
without_identity,HGB,24,0.7105731829196407,0.09986635058756287,0.22764227642276422,0.20176470588235293
only_temporal,LR,7,0.5468659648094688,0.04597847680696736,0.09688346883468835,0.0996078431372549
only_temporal,HGB,7,0.5653124598911723,0.04789490460147331,0.07859078590785908,0.11411764705882353
only_velocity,LR,10,0.5702033975831186,0.04631532517187614,0.032520325203252036,0.10431372549019607
only_velocity,HGB,10,0.6187954688803645,0.06663360768302244,0.15582655826558264,0.14568627450980393
only_amount,LR,7,0.5677786274716151,0.04808508246445756,0.09823848238482384,0.09411764705882353
only_amount,HGB,7,0.6816293122363479,0.08433663355601616,0.17886178861788618,0.15725490196078432
only_identity,LR,2,0.7166649429758223,0.08093467313478044,0.13956639566395665,0.14490196078431372
only_identity,HGB,2,0.6345300280564043,0.06828321770009532,0.13956639566395665,0.1515686274509804
