feature,family,delta_pr_auc_mean,delta_pr_auc_std
amount_te,identity,0.040637953928095105,0.0005557104376338054
n_tx_card_24h,velocity,0.006887097615094373,0.00020983022148443066
bin_te,identity,0.006559394477150033,0.0006012319051025456
hour_sin,temporal,0.004907298418853942,0.00018595812697785812
amount_log,amount,0.002517774810546702,0.00020984855638260104
sum_amt_card_24h,velocity,0.0023162706967372187,0.0005130215154331614
cum_card_count,velocity,0.0018102390514809247,0.0005138748765332066
gap_min_prev,velocity,0.0011995488155819717,0.0006382902538314227
n_tx_card_6h,velocity,0.001010498804393023,0.00018476373072705485
n_tx_card_1h,velocity,0.0004928374972769129,4.753358465185068e-05
hour_cos,temporal,0.0003686900066881854,0.00022943511626422337
sum_amt_card_6h,velocity,0.00023742572121450978,0.00015513814427031483
dow_cos,temporal,0.00023238008283377743,8.643439032939063e-05
afternoon_peak,temporal,0.00023079042264140815,0.00010008155850846114
amt_mod_50,amount,9.887138079688884e-05,4.760686967999991e-05
same_amount_10min,velocity,5.256542999560188e-05,5.53004841443174e-05
amt_mod_100,amount,3.490184541661834e-05,2.9445821616015762e-05
amt_mod_10,amount,3.014894274060431e-05,5.4872644096403e-05
amount_gt_500,amount,0.0,0.0
amount_gt_200,amount,0.0,0.0
weekend,temporal,-7.439219719015955e-06,1.0961339653169884e-06
dow_sin,temporal,-9.79294438093914e-05,8.49460595594951e-05
same_amt_prev,velocity,-0.0005052186636023443,0.00011777044218710741
sum_amt_card_1h,velocity,-0.0006280229963192052,6.588257610238362e-05
night,temporal,-0.0006470307782250523,5.034107143831681e-05
has_cents,amount,-0.004811698138960837,0.000163099599968285
