rank,hltv_id,slug,name,roster
1,7020,spirit,Spirit,sh1ro:RU|magixx:RU|tN1R:BY|zont1x:UA|donk:RU
2,11283,falcons,Falcons,karrigan:DK|NiKo:BA|TeSeS:DK|m0NESY:RU|kyousuke:RU
3,4494,mouz,MOUZ,torzsi:HU|Spinx:IL|xertioN:IL|PR:CZ|xelex:HU
4,8297,furia,FURIA,FalleN:BR|yuurih:BR|YEKINDAR:LV|KSCERATO:BR|molodoy:KZ
5,9565,vitality,Vitality,apEX:FR|ropz:EE|ZywOo:FR|flameZ:IL|mezii:GB
6,12468,legacy,Legacy,arT:BR|dumau:BR|latto:BR|n1ssim:BR|try:AR
7,13286,fut,FUT,xfl0ud:TR|dem0n:UA|Krabeni:XK|cmtry:UA|dziugss:LT
8,5995,g2,G2,huNter-:BA|NertZ:IL|r1nkle:UA|HeavyGod:IL|MATYS:SK
9,11861,aurora,Aurora,XANTARES:TR|woxic:TR|Jimpphat:FI|kyxsan:MK|Wicadia:TR
10,4608,natus-vincere,Natus Vincere,Aleksib:FI|iM:RO|b1t:UA|w0nderful:UA|makazze:XK
11,6665,astralis,Astralis,HooXi:DK|phzy:SE|jabbi:DK|Staehr:DK|ryu:LT
12,12394,betboom,BETBOOM,Boombl4:RU|zorte:RU|S1ren:RU|d1Ledez:RU|Magnojez:RU
13,6667,faze,FaZe,frozen:SK|Twistzz:CA|Neityu:FR|jcobbb:PL|JBOEN:DK
14,9996,9z,9z,max:UY|dgt:UY|meyern:AR|luchov:AR|HUASOPEEK:CL
15,6248,the-mongolz,The MongolZ,bLitz:MN|Techno:MN|910:MN|tikuak:MN|DarkMeister:MN
16,11241,b8,B8,alex666:UA|npl:UA|kensizor:UA|esenthial:UA|s1zzi:UA
17,13592,magic,magic,MaSvAl:BY|sFade8:UA|AW:RU|mo0N:KZ|tenzy:RU
18,9215,mibr,MIBR,LNZ:SE|nqz:BR|insani:BR|venomzera:BR|tomaszin:AR
19,12467,parivision,PARIVISION,FL1T:RU|Jame:RU|xiELO:RU|zweih:RU|slaxejezzz:RU
20,9928,gamerlegion,GamerLegion,Snax:PL|REZ:SE|Tauson:DK|FL4MUS:RU|hypex:PL
21,12474,alliance,Alliance,twist:SE|eraa:SE|bobeksde:SE|upE:SE|avid:SE
22,5973,liquid,Liquid,NAF:CA|EliGE:US|malbsMd:GT|JT:ZA|Jorko:BG
23,4914,3dmax,3DMAX,Maka:FR|Lucky:FR|misutaaa:FR|Kursy:FR|Graviti:FR
24,13117,inner-circle,Inner Circle,cptkurtka023:UA|headtr1ck:UA|zeRRoFIX:UA|onic:UA|Dawy:UA
25,7532,big,BIG,tabseN:DE|JDC:DE|faveN:DE|blameF:DK|gr1ks:BY
26,12376,m80,M80,slaxz-:DE|Swisher:US|s1n:DE|JBa:US|Lake:US
27,4773,pain,paiN,biguzera:BR|saffee:BR|snow:BR|Tatu:BR|Rkzinho:BR
28,11581,hotu,HOTU,n0rb3r7:RU|kade0:KZ|mizu:RU|dwushka:RU|frontales:RU
29,4411,ninjas-in-pyjamas,Ninjas in Pyjamas,stavn:DK|sjuush:DK|Krimbo:DE|n0te:BE|xKacpersky:PL
30,10245,jijiehao,JiJieHao,m1N1:LB|sinnopsyy:XK|Bibu:IQ|CacaNito:MK|0SAMAS:PS
31,4863,tyloo,TYLOO,JamYoung:CN|Jee:CN|Mercury:CN|Moseyuh:CN|Zero:CN
32,7175,heroic,HEROIC,Brollan:SE|nilo:SE|susp:SE|MartinezSa:ES|Chr1zN:DK
33,13724,5star,5star,NEUZ:MN|rate:MN|clouden:MN|ariucle:MN|hoolig4n:MN
34,8840,lynn-vision,Lynn Vision,Westmelon:CN|z4KR:CN|Starry:CN|EmiliaQAQ:CN|C4LLM3SU3:CN
35,8474,100-thieves,100 Thieves,device:DK|rain:NO|Gizmy:GB|sirah:DK|poiii:SE
36,13926,dendele,DENDELE,gafolo:BR|koala:BR|maxxkor:AR|rdnzao:BR|doc:BR
37,6290,luminosity,Luminosity,Rainwaker:BG|afro:FR|lux:BR|yxngstxr:SE|AZUWU:GB
38,10621,1win,1win,Ax1Le:RU|nafany:RU|BELCHONOKK:RU|fame:RU|ArtFr0st:RU
39,7969,nemiga,Nemiga,KaiR0N-:RU|Xant3r:RU|robo:RU|khaN:KZ|syph0:KZ
40,12257,wildcard,Wildcard,nEMANHA:RS|mhL:PL|Cxzi:US|reck:US|HexT:CA
41,12895,k27,K27,clax:RU|X5G7V:RU|xeedo:BY|kashl1d:RU|qw1nk1:RU
42,4991,fnatic,fnatic,fEAR:UA|jambo:UA|jackasmo:UA|cairne:UA|mazay:UA
43,13679,fokus,FOKUS,ztr:SE|Banjo:FI|podi:FI|jocab:SE|Matheos:HR
44,13355,nemesis,Nemesis,SELLTER:RU|r3salt:RU|mag1k3Y:KZ|tex1y:RU|Sdaim:RU
45,10577,sinners,SINNERS,beastik:CZ|SHOCK:CZ|MoDo:RO|kisserek:PL|stressarN:MK
46,5378,virtuspro,Virtus.pro,mir:RU|b1st:RU|F0R3VER:KZ|AquaRS:RU|tO0RO:RU
47,13027,nuclear-tigeres,Nuclear TigeRES,senka:BY|m1QUSE:BY|z1k4:RU|flouzer:RU|ayuki:RU
48,12916,betclic,Betclic,Demho:PL|Prism:PL|ex1st:PL|ultimate:PL|Qlocuu:PL
49,11737,eyeballers,EYEBALLERS,JW:SE|KRIMZ:SE|maxster:SE|Ro1f:SE|dex:SE
50,6673,nrg,NRG,nitr0:US|Sonic:ZA|hallzerk:NO|Grim:US|Jeorge:US
51,11251,eternal-fire,Eternal Fire,MisteM:ZA|regali:RO|soulfly:TR|Kvem:UA|jottAAA:TR
52,12878,bcgame,BC.Game,s1mple:UA|electroNic:RU|Magisk:DK|Senzu:MN|mzinho:MN
53,13104,iberian-soul,Iberian Soul,alex:ES|mopoz:ES|sausol:ES|dav1g:ES
54,13996,bbl,BBL,IceBerg:DK|salazar:DK|leakz:DK|Boye:DK|NickyB:DK
55,11712,sashi,Sashi,acoR:DK|Cabbi:DK|Zyphon:DK|Anlelele:DK|MistR:DK
56,11609,genone,GenOne,Keoz:BE|Djoko:FR|Brooxsy:FR|Chucky:BE|bL4SEZ:FR
57,13973,color,Color,Qikert:KZ|lattykk:RU|reyoz:RU|cronuss:RU|oz1k:RU
58,13518,acend,Acend,SPELLAN:BG|REDSTAR:BG|KalubeR:BG|Skrimo:BG
59,13814,inox-division,INOX Division,k0s:RU|FenomeN:BY|k1slll:BY|finW:RU|gooddeph:RU
60,12604,johnny-speeds,Johnny Speeds,draken:SE|hampus:SE|Svedjehed:SE|bsover:SE|Rack:SE
61,11837,fluxo,Fluxo,exit:BR|dav1deuS:CL|zevy:BR|kye:BR|Ltz:BR
62,9455,imperial,Imperial,chelo:BR|VINI:BR|decenty:BR|noway:BR|saadzin:BR
63,10503,og,OG,cadiaN:DK|bodyy:FR|spooke:SE|adamb:SE|pr1metapz:DE
64,10823,infinite,INFINITE,kreaz:SE|Blytz:RO|volt:RO|sl3nd:HU
65,10278,9ine,9INE,raalz:DK|kraghen:DK|b1elany:PL|flayy:PL|rim3:TR
66,13838,eac,EAC,Fessor:DK|n1Xen:DK|anber:DK|sSen:DK|bekker:DK
67,13901,ex-rustec,ex-RUSTEC,shalfey:RU|Brilliance:BY|youka:RU|jakekeS:RU
68,11641,metizport,Metizport,stanislaw:CA|Plopski:SE|F1KU:PL|forsyy:CZ|MaiL09:SE
69,13375,sportsbetexpert,SportsBetExpert,motm:US|Infinite:US|consti:US|shane:US|Peeping:US
70,13683,wbt,WBT,Psycho:UA|Smash:UA|s4ltovsk1yy:UA|DemQQ:UA|tyr1k:UA
71,10567,saw,SAW,MUTiRiS:PT|NOPEEj:PT|story:PT|ewjerkz:PT|krazy:PT
72,13173,phantom,Phantom,TMB:DK|nicoodoz:DK|KEi:PL|Kylar:PL|cej0t:PL
73,9139,brute,BRUTE,ZEDKO:CZ|nbqq:CZ|aidKiT:MK|tAk:LT|hfah:PL
74,13908,butterfly,Butterfly,Forester:RU|nitzie:RU|Kurama:RU|k1ssly:RU|ayano:RU
75,12857,forze-reload,FORZE Reload,Lack1:KZ|YumsaN:RU|Kaide:RU|KusMe:RU|HeCkBNk:RU
76,13281,bushido-wildcats,Bushido Wildcats,Darendeli:TR|Muk0s:RU|Vej:TR|cadnyx:TR|cacan:TR
77,13619,bet-m,BET-M,Raijin:RU|synyx:UA|z1Nny:RU|executor:RU|bluewh1te:RU
78,12536,depo,DEPO,buster:KZ|Krad:RU|wetfy:UZ|shoxs:UZ|sh1seido:UZ
79,13333,astral,ASTRAL,gxx-:XK|swiz:PL|RaY5ive:LT|Neqy:EE|meowpop:LV
80,12959,shinden,ShindeN,tom1jed:AR|abizz:AR|ivz:AR|naz:AR|guty:AR
81,12967,ww,WW,deko:RU|StRoGo:RU|ct0m:RU|kelieN:RU|m3wsu:RU
82,13573,ex-zero-tenacity,ex-Zero Tenacity,Kind0:RS|Cjoffo:ME|brutmonster:BA
83,11699,baks,BAKS,Norwi:RU|xdENiSZERA:RU|danistzz:RU|whisper:RU|turbo:RU
84,13499,voca,Voca,junior:US|nosraC:US|snav:US
85,13159,prestige,Prestige,fejtZ:EE|oopee:FI|Jelo:FI|N4XX1S:DK|qx:DK
