steamid,nick_canonical,nicks_seen,team,country,n_sessions,n_sessions_full,cohort
76561198113666193,ZywOo,ZywOo,Vitality,FR,26,11,core
76561197989744167,apEX,apEX,Vitality,FR,26,11,core
76561197978835160,flameZ,flameZ,Vitality,IL,26,11,core
76561197991272318,ropz,ropz,Vitality,EE,26,11,core
76561197973140692,mezii,mezii,Vitality,GB,20,9,core
76561198013243326,Aleksib,Aleksib,Natus Vincere,FI,14,7,core
76561198246607476,b1t,b1t,Natus Vincere,UA,14,7,core
76561198050250233,iM,iM,Natus Vincere,RO,14,7,core
76561199076189612,makazze,makazze,Natus Vincere,XK,14,7,core
76561199063068840,w0nderful,w0nderful,Natus Vincere,UA,14,7,core
76561198176878303,jL,jL,,,6,2,core
76561198010153476,MOOOOORF,MAATEOOOOOOO|MOOOOORF,,,5,0,core
76561198034202275,s1mple,s1mple|s1mplecsgod,BC.Game,UA,5,2,core
76561198249756046,D1NOZAVR,D1NOZAVR,,,3,0,core
76561198068002993,HeavyGod,HeavyGod,G2,IL,3,2,core
76561199046478501,MATYS,MATYS,G2,SK,3,2,core
76561198838822582,Mzinho,Mzinho|mzinho,BC.Game,MN,3,3,core
76561198053126645,NertZ,NertZ,G2,IL,3,2,core
76561198310561479,PR,PR,MOUZ,CZ,3,1,core
76561198920720017,Senzu,Senzu,BC.Game,MN,3,2,core
76561198012490264,Wagman,Wagman,,,3,0,core
76561198043769572,arT,arT|art,Legacy,BR,3,1,core
76561198386265483,donk,donk,Spirit,RU,3,1,core
76561198194325317,dumau,dumau,Legacy,BR,3,1,core
76561198044045107,electronic,electroNic|electronic,BC.Game,RU,3,2,core
76561198012872053,huNter,huNter|huNter-,G2,BA,3,2,core
76561198850020186,latto,latto,Legacy,BR,3,1,core
76561199063238565,magixx,magixx,Spirit,RU,3,1,core
76561198061763596,n1ssim,n1ssim,Legacy,BR,3,1,core
76561198081484775,sh1ro,sh1ro,Spirit,RU,3,1,core
76561198872013168,tN1R,tN1R,Spirit,BY,3,1,core
76561198995880877,zont1x,zont1x,Spirit,UA,3,1,core
76561198086406331,-DAMIENNNNNN,-DAMIENNNNNN,,,2,0,impostor
76561198353514399,-s1ngley,-s1ngley,,,2,0,impostor
76561199203563345,910,910,The MongolZ,MN,2,2,impostor
76561198146207066,Boombl4,Boombl4,BETBOOM,RU,2,1,impostor
76561198014259134,FL4MUS,FL4MUS,GamerLegion,RU,2,1,impostor
76561198319723208,HUASOPEEK,HUASOPEEK,9z,CL,2,1,impostor
76561198991278425,Krabeni,Krabeni,FUT,XK,2,0,impostor
76561197983956651,Magisk,Magisk,BC.Game,DK,2,2,impostor
76561198372023214,Magnojez,Magnojez,BETBOOM,RU,2,1,impostor
76561198030720967,Mat1988,Mat1988,,,2,0,impostor
76561198971718392,Neityu,Neityu,FaZe,FR,2,0,impostor
76561198041683378,NiKo,NiKo,Falcons,BA,2,2,impostor
76561198034172415,REZ,REZ,GamerLegion,SE,2,1,impostor
76561197982141573,Snax,Snax,GamerLegion,PL,2,1,impostor
76561198063336407,Spinx,Spinx,MOUZ,IL,2,1,impostor
76561198309839541,SunPayus,SunPayus,,,2,2,impostor
76561198316706174,Tauson,Tauson,GamerLegion,DK,2,1,impostor
76561197996678278,TeSeS,TeSeS,Falcons,DK,2,2,impostor
76561198966340160,Techno4K,Techno4K,,,2,2,impostor
76561198016255205,Twistzz,Twistzz,FaZe,CA,2,0,impostor
76561198304115519,alex666,alex666,B8,UA,2,1,impostor
76561198959824088,bLitz,bLitz,The MongolZ,MN,2,2,impostor
76561199313968259,cmtry,cmtry,FUT,UA,2,0,impostor
76561198875633179,dem0n,dem0n,FUT,UA,2,0,impostor
76561198216891576,dgt,dgt,9z,UY,2,1,impostor
76561199100725838,dziugss,dziugss,FUT,LT,2,0,impostor
76561199149812353,esenthial,esenthial,B8,UA,2,1,impostor
76561198068422762,frozen,frozen,FaZe,SK,2,0,impostor
76561198254686734,hypex,hypex,GamerLegion,PL,2,1,impostor
76561198178737429,jcobbb,jcobbb,FaZe,PL,2,0,impostor
76561197989430253,karrigan,karrigan,Falcons,DK,2,2,impostor
76561198382173659,kensizor,kensizor,B8,UA,2,1,impostor
76561199032006224,kyousuke,kyousuke,Falcons,RU,2,2,impostor
76561198067722198,luchov,luchov,9z,AR,2,1,impostor
76561198074762801,m0NESY,m0NESY,Falcons,RU,2,2,impostor
76561198242950384,max,max,9z,UY,2,1,impostor
76561198195642865,meyern,meyern,9z,AR,2,1,impostor
76561198305036904,npl,npl,B8,UA,2,1,impostor
76561199001538362,s1zzi,s1zzi,B8,UA,2,1,impostor
76561198355739212,torzsi,torzsi,MOUZ,HU,2,1,impostor
76561198365118288,try,try,Legacy,AR,2,1,impostor
76561198998266210,xelex,xelex,MOUZ,HU,2,1,impostor
76561198193174134,xertioN,xertioN,MOUZ,IL,2,1,impostor
76561198059614402,zorte,zorte,BETBOOM,RU,2,1,impostor
