player,role,sniper_frac
Cliqq,rifler,0.004
HENU,rifler,0.001
JBOEN,awp,0.22
Magisk,rifler,0.007
Mzinho,rifler,0.001
Neityu,rifler,0.017
OWNER,rifler,0.0
Schwarz,rifler,0.004
Senzu,rifler,0.004
Tr0ublE,awp,0.245
Twistzz,rifler,0.0
ZywOo,awp,0.346
apEX,rifler,0.008
donk,rifler,0.044
electronic,rifler,0.002
fakerealityy,rifler,0.007
flameZ,rifler,0.0
frozen,rifler,0.017
jcobbb,rifler,0.0
kr1vda,rifler,0.0
maggent,rifler,0.001
magixx,rifler,0.011
mezii,rifler,0.015
millert,awp,0.257
ropz,rifler,0.009
s1mple,awp,0.236
sh1ro,awp,0.32
tN1R,rifler,0.0
teme,rifler,0.0
zont1x,rifler,0.0
