demo,player,side,round,secs_alive,event,tick,technique,stop_ms,speed_before,speed_after,crouch,shot_after,shot_delay_ms,speed_at_shot,overshoot,yaw_move_deg,kind,depth_u,out_ms,total_ms,returned,peak_speed,walk_frac,yaw_swing_deg,shots,lat_ratio,shift_peek
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,104669,counterstrafe,359.375,160.7833709716797,28.613037109375,0.0,0.0,,,1.0,0.1321868896484375,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,105125,release,78.125,162.81565856933594,22.548629760742188,0.0,0.0,,,0.0,0.1318359375,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,105320,counterstrafe,78.125,158.07823181152344,6.551033020019531,0.0,0.0,,,1.0,0.0439453125,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,105632,release,78.125,165.9194793701172,23.6380558013916,0.0,0.0,,,1.0,0.4401397705078125,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,105904,release,78.125,152.9726104736328,9.003715515136719,0.0,0.0,,,1.0,0.26401519775390625,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,105962,release,78.125,156.46153259277344,16.209203720092773,0.0,0.0,,,1.0,0.0,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,106029,counterstrafe,78.125,178.62867736816406,27.777183532714844,0.0,0.0,,,1.0,0.132171630859375,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,106447,release,78.125,167.70355224609375,27.087039947509766,0.0,0.0,,,1.0,0.17612457275390625,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,106478,release,125.0,152.97023010253906,0.0,0.0,0.0,,,1.0,0.3522491455078125,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,106578,release,78.125,160.085205078125,13.074647903442383,0.0,0.0,,,1.0,0.0882415771484375,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,106856,counterstrafe,125.0,163.98086547851562,34.580528259277344,0.0,0.0,,,1.0,0.1318359375,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,107369,crouch_stop,46.875,154.69618225097656,8.5794095993042,1.0,1.0,125.0,0.0,1.0,1.5401458740234375,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,107492,release,125.0,155.51593017578125,34.25788879394531,0.0,0.0,,,0.0,0.3519287109375,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,107742,release,78.125,163.65377807617188,21.77544403076172,0.0,0.0,,,1.0,0.08823394775390625,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,107753,counterstrafe,250.0,163.65377807617188,29.795530319213867,0.0,0.0,,,1.0,0.08823394775390625,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,107761,counterstrafe,375.0,163.65377807617188,20.28037452697754,0.0,0.0,,,1.0,1.2761306762695312,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,107837,counterstrafe,78.125,167.92642211914062,18.9593563079834,0.0,0.0,,,1.0,0.17578125,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,107847,counterstrafe,234.375,167.92642211914062,34.10967254638672,0.0,0.0,,,1.0,0.30796051025390625,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,stop,107856,counterstrafe,375.0,167.92642211914062,31.897960662841797,0.0,0.0,,,1.0,0.9238815307617188,,,,,,,,,,,
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,peek,103626,,,,,,,,,,,narrow,63.18786809000575,843.75,1140.625,1.0,124.80970764160156,0.7272727272727273,8.183807373046875,0.0,19.6509647313065,1.0
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,peek,103773,,,,,,,,,,,narrow,118.38599386880331,1453.125,2359.375,1.0,121.00648498535156,0.30851063829787234,29.437164306640625,0.0,1.5639451456570181,0.0
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,peek,104269,,,,,,,,,,,traversal,177.7015577319689,1484.375,4984.375,0.0,131.45774841308594,0.9166666666666666,96.4493408203125,0.0,0.7505679978691898,1.0
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,peek,104629,,,,,,,,,,,jiggle,31.215532229863566,343.75,343.75,1.0,160.7833709716797,0.0,6.60003662109375,0.0,1.2187276441046118,0.0
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,peek,104781,,,,,,,,,,,jiggle,20.606775867892683,593.75,593.75,1.0,74.69847869873047,1.0,116.16016387939453,0.0,1.4947694740404056,1.0
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,peek,105109,,,,,,,,,,,jiggle,25.138841007396653,437.5,437.5,1.0,162.81565856933594,0.0,2.28790283203125,0.0,26.336113038879564,0.0
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,peek,105141,,,,,,,,,,,jiggle,25.260828395426085,328.125,328.125,1.0,148.72976684570312,0.5909090909090909,0.17578125,0.0,20.506161285021037,1.0
2026-08-21_ewc_vitality-vs-spirit_mirage,ZywOo,CT,12,77.0,peek,105303,,,,,,,,,,,jiggle,26.374302086830824,234.375,234.375,1.0,164.5220184326172,0.0,0.8359909057617188,0.0,62.22987169359876,0.0
