player,rounds_CT,rounds_T,matches_CT,matches_T,maps_CT,maps_T,ready
apEX,80,94,8,8,6,6,True
D1NOZAVR,35,32,3,3,3,3,True
mezii,81,94,8,8,6,6,True
Magisk,59,57,5,5,3,3,True
MOOOOORF,61,52,5,5,4,4,True
Senzu,60,56,5,5,3,3,True
ropz,80,95,8,8,6,6,True
s1mple,83,80,7,7,3,3,True
Mzinho,60,57,5,5,3,3,True
flameZ,80,96,8,8,6,6,True
electronic,59,57,5,5,3,3,True
ZywOo,81,95,8,8,6,6,True
ishxkmilk,13,7,1,1,1,1,False
maggent,30,33,3,3,3,3,False
donk,13,4,1,1,1,1,False
meisti,10,12,1,1,1,1,False
dzdking6767,13,10,1,1,1,1,False
ilayy_,13,11,1,1,1,1,False
mandj0s,13,10,1,1,1,1,False
malbsMd,24,21,2,2,2,2,False
magixx,13,4,1,1,1,1,False
kr1vda,29,34,3,3,3,3,False
iyanvilla11,13,11,1,1,1,1,False
frozen,19,24,2,2,2,2,False
ko4_bratan,15,15,1,1,1,1,False
kensizor,39,30,3,3,3,3,False
esenthial,40,30,3,3,3,3,False
fakerealityy,29,34,3,3,3,3,False
milba_,7,12,1,1,1,1,False
jcobbb,19,25,2,2,2,2,False
kRYPt0Ny,13,12,1,1,1,1,False
movedpaladin,11,12,1,1,1,1,False
millert,27,26,2,2,2,2,False
diiversen,10,12,1,1,1,1,False
zlob6633,7,12,1,1,1,1,False
zakarinh0,10,12,1,1,1,1,False
yasuhiro666,12,10,1,1,1,1,False
yANNNZ,12,5,1,1,1,1,False
xytz_,13,12,1,1,1,1,False
xrs,10,13,1,1,1,1,False
xdrizsa,15,16,1,1,1,1,False
teme,27,26,2,2,2,2,False
tamefear,12,10,1,1,1,1,False
tN1R,12,4,1,1,1,1,False
sulejmangod,15,16,1,1,1,1,False
sh1ro,13,4,1,1,1,1,False
s1zzi,39,30,3,3,3,3,False
rollings22,10,12,1,1,1,1,False
primeNasri,15,16,1,1,1,1,False
pFP5UxL,12,7,1,1,1,1,False
onStyle,13,13,1,1,1,1,False
obice,10,13,1,1,1,1,False
o6HaJI,12,13,1,1,1,1,False
npl,40,30,3,3,3,3,False
mzR,10,13,1,1,1,1,False
djgor1lla,13,13,1,1,1,1,False
--pwR,12,10,1,1,1,1,False
d-ABUSE,12,13,1,1,1,1,False
HENU,27,26,2,2,2,2,False
Lemonnek,7,12,1,1,1,1,False
Kyzia,12,10,1,1,1,1,False
Kingski,10,12,1,1,1,1,False
Jorko,25,21,2,2,2,2,False
Jelst,10,12,1,1,1,1,False
JT,25,21,2,2,2,2,False
JBOEN,19,25,2,2,2,2,False
Ignite_321,12,11,1,1,1,1,False
IMHOMELANDER,15,16,1,1,1,1,False
Haswowpeek,5,12,1,1,1,1,False
EliGE,24,21,2,2,2,2,False
bang,10,12,1,1,1,1,False
DugeonMaster,12,11,1,1,1,1,False
DeaR-,12,5,1,1,1,1,False
DEADLYTROLL,12,13,1,1,1,1,False
Cliqq,27,26,2,2,2,2,False
Cacabeeyss,16,16,1,1,1,1,False
AsAd_H,12,7,1,1,1,1,False
-s1ngley,29,19,2,2,1,1,False
-fab-,12,7,1,1,1,1,False
-_-bruh-_-,12,7,1,1,1,1,False
-Neki-,10,12,1,1,1,1,False
Luukieboys,10,12,1,1,1,1,False
Mat1988,23,22,2,2,2,2,False
Matthew369,12,13,1,1,1,1,False
NAF-FLY,25,21,2,2,2,2,False
axelj-,12,10,1,1,1,1,False
-DAMIENNNNNN,23,22,2,2,2,2,False
alex666,39,30,3,3,3,3,False
Zabaware,10,12,1,1,1,1,False
YNC_7_,10,13,1,1,1,1,False
X4NTARES-,5,11,1,1,1,1,False
Wagman,30,34,3,3,2,2,False
VEN_x27,16,15,1,1,1,1,False
VAC_Marius,5,12,1,1,1,1,False
Twistzz,19,24,2,2,2,2,False
Tr0ublE,29,35,3,3,3,3,False
Tepz--,13,5,1,1,1,1,False
Sulche,5,12,1,1,1,1,False
Stormweather,13,11,1,1,1,1,False
Schwarz,27,26,2,2,2,2,False
STRDuble,17,16,1,1,1,1,False
Romaxxa,12,10,1,1,1,1,False
PleaseF1xMe,12,13,1,1,1,1,False
PLUMBA,5,12,1,1,1,1,False
OWNER,30,33,3,3,3,3,False
Neityu,19,24,2,2,2,2,False
zont1x,12,4,1,1,1,1,False
