feature,family,icc1,eta2_H,p_kw,mean,sd,q_bh
strafe_overlap_frac,keydyn,0.7405806185687329,0.6758623930538631,7.535664492017082e-11,0.4157073418896831,0.18721912232762414,2.7880618184162017e-09
presses_SPACE_per_s,keydyn,0.6424050488025957,0.6715064189610781,8.898069633243197e-11,0.037127540030502115,0.05752425275428,2.7880618184162017e-09
jump_per_s,micro,0.6424050488025957,0.6715064189610781,8.898069633243197e-11,0.037127540030502115,0.05752425275428,2.7880618184162017e-09
dwell_SPACE_ms,keydyn,0.5860223843954117,0.4184669888847036,1.1080763173858154e-06,151.02003807595915,38.70064878086319,2.083183476685333e-05
yaw_rate_p95,micro,0.469613004063378,0.38988463806575335,3.0981795686825292e-06,199.32505165501627,78.351890397039,4.853814657602629e-05
combo_persistence,keydyn,0.41585002580727765,0.33594003390830013,2.0945394962429587e-05,0.8328192553016353,0.052284602508831664,0.00021876301405204237
flick_per_s,micro,0.4036512662192302,0.2815583277176229,0.00013721664978877184,1.1893573120767493,0.8200417218658503,0.0009921819292418887
combo_AD,keydyn,0.4023357286870098,0.5523031202340191,8.038869364982508e-09,0.010112012773430405,0.009103412266425682,1.8891343007708894e-07
yaw_rate_mean,micro,0.3829166102088557,0.32203781512605006,3.403381138660778e-05,37.9264641125997,12.457810368876324,0.00031991782703411314
duck_per_s,micro,0.38132859910508904,0.3437756767331052,1.591011737713432e-05,0.10864251257083325,0.07648948062578391,0.00018694387918132826
presses_CTRL_per_s,keydyn,0.38088925760727715,0.34675044703092145,1.4329472468058801e-05,0.10918227941549763,0.07653083037453526,0.00018694387918132826
combo_trans_entropy,keydyn,0.31337377905134395,0.29088696004717696,9.97809645370875e-05,0.608449514783298,0.1067493194069346,0.0007816175555405187
combo_WD,keydyn,0.27888893094635187,0.26309579094795815,0.00025642246595051924,0.09357746382531892,0.050072099954767066,0.0016069141199565873
diag_frac,micro,0.25231632057751663,0.24248599439775878,0.0005107567751762241,0.23700833339041888,0.06922116948850644,0.0030006960541603166
disp_10s,macro,0.22519086366056135,0.31248746867167937,4.741613651541285e-05,1680.8431406860868,513.5142668616537,0.00040519243931352796
max_dist_start,macro,0.19668958958410704,0.2744885091404546,0.00017448495946959606,2175.2502736381593,648.4806132306348,0.0011715418707244306
z_range,macro,0.1577337439613238,0.18203768302917087,0.003612664504481792,218.88311510587994,56.67549248326811,0.017873182285330972
moving_shot_frac,micro,0.1491520600942721,0.16419337609816292,0.00629489840397448,0.65453613656501,0.2682535594922825,0.02689638408970914
