feature,family,icc1,eta2_H,p_kw,mean,sd,q_bh
strafe_overlap_frac,keydyn,0.6550897887573117,0.5930665882420436,2.2640882049951585e-09,0.38732934464390895,0.16035630782347002,7.169612649151334e-08
presses_SPACE_per_s,keydyn,0.5651391778585211,0.657963122701023,2.0012449195944079e-10,0.05392433466518011,0.06351002449114765,9.505913368073437e-09
jump_per_s,micro,0.5651391778585211,0.657963122701023,2.0012449195944079e-10,0.05392433466518011,0.06351002449114765,9.505913368073437e-09
combo_AD,keydyn,0.4063951798838141,0.4490344486679959,4.4272758492321797e-07,0.008117938324186101,0.0067103456873646794,1.0514780141926427e-05
dwell_SPACE_ms,keydyn,0.3913865382843557,0.2479360765061241,0.00046953259748542896,153.3542467801111,49.482712217639026,0.007434266126852625
frac_scoped,micro,0.28913801286420554,0.2000061728850043,0.0022022508602108615,0.034751256187013774,0.11065913051745102,0.026151728965003982
flick_per_s,micro,0.2492774382757435,0.262730233196649,0.0002880319462991976,1.4058028010445527,0.9061202192451558,0.005472606979684754
yaw_rate_mean,micro,0.19126800879551709,0.19002483412177862,0.003013407974449469,39.83195388371369,13.747298250863524,0.03180819528585551
diag_frac,micro,0.17673676503127123,0.1673540198936135,0.006067940831570383,0.25122046418406996,0.06826492134063268,0.05240494354538058
yaw_rate_p95,micro,0.1691666144382676,0.20580234435217631,0.0018330240490893378,218.09402920337413,88.30802225437881,0.02487675495192673
combo_persistence,keydyn,0.1635774141365043,0.16362041813569578,0.006797303204154015,0.8234168935993722,0.05087195092317368,0.05381198369955262
stop_shot_delay_ms,event,0.15320422431859923,0.11431527816815311,0.02879324285928881,47.15784363390747,47.224232463085436,0.16090341597837865
crouchwalk_frac,micro,0.15070331902248527,0.03872149175481739,0.19944035506222593,0.03094337164685376,0.03160696057041656,0.48386000474475743
combo_none,keydyn,0.14105966316213586,0.13541449327994984,0.01573503674961076,0.11890274923615146,0.08381486929104046,0.10677346365807301
combo_SD,keydyn,0.13744549878259846,0.10396012951950986,0.03840504578330239,0.02181529604825959,0.01957725699146089,0.20269329718965148
frac_still,micro,0.1218776525469284,0.14068029634738974,0.01348753893491794,0.10626608396011906,0.0887220052179472,0.09856278452440034
combo_trans_entropy,keydyn,0.10724479773731328,0.09500464341289826,0.049023953048944656,0.5935170906145496,0.09957292061859732,0.22177502569760676
strafe_flight_ms,keydyn,0.10512868633661604,0.07798540978032249,0.07687616872926477,26.842229515351082,37.019820884234086,0.27049022330667233
z_range,macro,0.10274026895296309,0.1224977309791863,0.022838417231615952,226.00679243371843,71.44021301881519,0.13560310231271971
path_efficiency,macro,0.09346251355392547,0.09827644892834474,0.04486604774263496,0.3143028233982433,0.2011342644727004,0.22133614557483033
path_len,macro,0.088767331446656,0.081034878575272,0.07102451348776752,8362.053560374683,4741.3356369386565,0.27049022330667233
