feature,family,icc1,eta2_H,p_kw,mean,sd,q_bh
strafe_overlap_frac,keydyn,0.5130927306509068,0.5263494786562065,1.4691247179445117e-28,-4.103438291623679e-16,0.9984744396725919,1.5866546953800727e-26
combo_trans_entropy,keydyn,0.41320695656187045,0.41996758991505584,3.7835305759759356e-22,-4.967320037228664e-16,0.998474439618462,1.3620710073513368e-20
presses_total_per_s,keydyn,0.4114177579864568,0.38655465805659683,3.6174105430599676e-20,-6.479113092037387e-17,0.998474444799145,6.511338977507941e-19
combo_switch_per_s,keydyn,0.4073294172247993,0.40055317422316317,5.381649280004824e-21,2.1597043640124626e-17,0.9984744453585679,1.162436244481042e-19
strafe_switch_per_s,micro,0.3703235529391468,0.3228056452399584,1.9014692378800183e-16,-2.1597043640124626e-16,0.9984744442794984,1.8668970699185633e-15
combo_AD,keydyn,0.36496166230688,0.44084245095552577,2.1461473088810767e-23,-2.1597043640124626e-17,0.9984743657295154,1.1589195467957814e-21
presses_A_per_s,keydyn,0.3520881135839049,0.3381349506737667,2.4674495832144372e-17,0.0,0.998474442576127,3.806922214102275e-16
presses_CTRL_per_s,keydyn,0.3436221042835014,0.3229022767559133,1.8772241445759685e-16,-1.997726536711528e-16,0.998474430158472,1.8668970699185633e-15
duck_per_s,micro,0.34214496017495677,0.32022484048978545,2.6782591238652083e-16,-1.5117930548087238e-16,0.9984744300636367,2.4104332114786872e-15
presses_D_per_s,keydyn,0.3377360492484588,0.27619416322754753,8.689497272352196e-14,-1.2958226184074775e-16,0.9984744426626665,6.703326467243123e-13
counterstrafe_per_s,micro,0.32791153344765367,0.28419331529152025,3.0678537472065435e-14,1.9437339276112163e-16,0.9984744429650806,2.548678497679282e-13
qswitch_per_s,habit,0.32605455023955904,0.40500913534341765,2.929653666782866e-21,-6.479113092037387e-17,0.9984744403997847,7.910064900313738e-20
fwd_switch_per_s,micro,0.3239791404688184,0.32647645867170205,1.1674024132562637e-16,1.9437339276112163e-16,0.9984744416969885,1.4008828959075165e-15
sniper_zoom_frac,habit,0.31716753376050477,0.21426064222000313,2.3172766072429212e-10,0.0,0.9984744387109963,9.625610522393673e-10
switch_per_s,habit,0.31030989012167315,0.3287275334551448,8.652421074964027e-17,-1.0798521820062313e-16,0.9984744425052421,1.1680768451201437e-15
wpn_sniper_frac,habit,0.3048125665979224,0.22885720923899472,3.723187431958134e-11,0.0,0.9984744405679289,1.8277465575067203e-10
dwell_D_ms,keydyn,0.2721670828487443,0.26585365113182724,3.3155874307361777e-13,-1.6197782730093468e-17,0.9984744460916211,2.106373191291219e-12
frac_scoped,micro,0.26978892215044364,0.2389433612607792,1.039960376096277e-11,1.0798521820062313e-17,0.9984744372421421,5.3483676484951386e-11
presses_S_per_s,keydyn,0.26464754242757077,0.23974864145480537,9.389018503810317e-12,4.319408728024925e-17,0.9984744371706725,5.070069992057571e-11
zoom_toggle_per_s,habit,0.26071565582530193,0.21555813533150822,1.971394213759361e-10,-2.1597043640124626e-17,0.9984744289690294,8.516423003440439e-10
presses_SHIFT_per_s,keydyn,0.2585226197778704,0.2510143943610583,2.2333457350039275e-12,-4.319408728024925e-17,0.9984744368053535,1.2694807335811799e-11
combo_A,keydyn,0.22540884401972888,0.2052053955597298,7.124525112042578e-10,-2.1597043640124626e-17,0.9984744290384847,2.849810044817031e-09
presses_W_per_s,keydyn,0.22049197984952215,0.22290137266402735,7.871021848408101e-11,-1.0798521820062313e-16,0.9984744398021249,3.695958085339456e-10
shots_per_s,micro,0.20575709745525356,0.19971570954126935,1.4013273990890973e-09,7.558965274043619e-17,0.998474434947477,5.2187365207456036e-09
dwell_A_ms,keydyn,0.19568377390703645,0.2684576947458416,2.3682486658710196e-13,1.0798521820062313e-17,0.998474446092645,1.5985678494629381e-12
wpn_knife_frac,habit,0.1920166867861493,0.27393955432629397,1.164355549505807e-13,0.0,0.9984744408758305,8.383359956441812e-13
frac_walkkey,micro,0.1898028306305154,0.18065709429181273,1.4262553931995464e-08,1.2958226184074775e-16,0.9984744396191662,4.530458307810324e-08
frac_slowmove,micro,0.18400247218106616,0.1705745160232565,4.7737203669190314e-08,-3.8874678552224327e-16,0.9984744396112184,1.3567415779664615e-07
combo_persistence,keydyn,0.1828697792862756,0.20404237320892898,8.224703670087414e-10,-1.4605000761634278e-15,0.9984744299531741,3.172385701319431e-09
path_efficiency,macro,0.18103311307811706,0.15416115662868315,3.3027103443040613e-07,8.63881745604985e-17,0.9984744411971579,8.295179469414851e-07
dwell_CTRL_ms,keydyn,0.1775203579525451,0.17549119073004144,2.6533006679608735e-08,-1.0258595729059197e-16,0.9984744460976105,7.744769517291198e-08
frac_run,micro,0.17670537818408913,0.17777565793710143,2.0172775129561603e-08,8.63881745604985e-17,0.9984744399669722,6.224742039979009e-08
stop_release_frac,event,0.1740995312856037,0.19821174044213216,1.6856265458940939e-09,-6.479113092037387e-17,0.9984744424613725,6.068255565218738e-09
key_entropy,micro,0.16358342505011908,0.2558875682252456,1.1960522254981871e-12,-4.319408728024925e-17,0.9984744442586269,7.176313352989123e-12
lat_reversal_per_s,micro,0.15897622905389552,0.15729020737487082,2.291737925148055e-07,-4.319408728024925e-17,0.998474442794673,5.893040378952141e-07
yaw_rate_mean,micro,0.15568776535416273,0.15970862126250487,1.725938954125078e-07,1.5117930548087238e-16,0.998474446026065,4.6600351761377105e-07
stop_counterstrafe_frac,event,0.15566037780713277,0.1759753137545623,2.5037447223017354e-08,-3.0235861096174475e-16,0.9984744426300453,7.511234166905207e-08
speed_mean,micro,0.15484605724842918,0.14918810298903115,5.883356949694054e-07,-1.2958226184074775e-16,0.9984744460693508,1.4408342182170897e-06
reload_per_s,habit,0.15068123442503137,0.12093306513074109,1.4314094132121462e-05,8.098891365046734e-18,0.9984743602310819,2.9168342759794678e-05
crouchwalk_frac,micro,0.14708874252632453,0.15983495372435355,1.700519609794432e-07,2.1597043640124626e-17,0.9984744207471413,4.6600351761377105e-07
wpn_primary_frac,habit,0.1451239418403177,0.14708649330365525,7.499489671011424e-07,5.939187001034272e-17,0.9984744429716547,1.7607497488461603e-06
lat_speed_frac,micro,0.14373176435174417,0.11393820057052018,3.071896650404676e-05,2.1597043640124626e-17,0.9984744370403412,5.529413970728416e-05
speed_p90,micro,0.14168560600039543,0.18464395588249335,8.811817444561804e-09,1.8573457530507177e-15,0.9984744460327761,2.883867527311136e-08
stops_per_s,event,0.13943442476493878,0.12198884846206068,1.2743060584624413e-05,7.019039183040503e-17,0.9984744390449676,2.6466356598835317e-05
frac_ducked,micro,0.13827074338169412,0.14901335228994464,6.003475909237874e-07,-1.9437339276112163e-16,0.998474431562878,1.4408342182170897e-06
strafe_flight_ms,keydyn,0.1377721708807215,0.18740324113869572,6.306613491558384e-09,-1.241830009307166e-16,0.9984744460758563,2.1971427648009853e-08
knife_run_frac,habit,0.13509808270114873,0.21727950945139884,1.5904364855090592e-10,-2.1597043640124626e-16,0.998474439290384,7.156964184790767e-10
dwell_W_ms,keydyn,0.13474212038072353,0.18607380347376148,7.410390393032311e-09,-1.2958226184074775e-16,0.9984744460977191,2.501006757648405e-08
jump_per_s,micro,0.13180539248916595,0.1193906294890132,1.6956121852606135e-05,-2.1597043640124626e-17,0.9984744333231036,3.212738877335899e-05
presses_SPACE_per_s,keydyn,0.13180539248916595,0.1193906294890132,1.6956121852606135e-05,-2.1597043640124626e-17,0.9984744333231036,3.212738877335899e-05
frac_air,micro,0.1273792467650778,0.12445286591404837,9.705372202886604e-06,-5.3992609100311566e-17,0.9984744276563727,2.0963603958235067e-05
wpn_nade_frac,habit,0.12425131892200786,0.10507395999949637,7.944799307359909e-05,8.63881745604985e-17,0.998474437634539,0.0001300058068477076
