feature,eta2,p,MOOOOORF,Wagman,D1NOZAVR,-DAMIENNNNNN
knife_run_frac,0.6955076306281035,1.0528600550639284e-35,0.05410000841892329,0.0,0.0,0.22663790877773504
wpn_knife_frac,0.6871280583004205,2.7899981425117727e-35,0.06626288113327655,0.0,0.0,0.25286725528716764
strafe_overlap_frac,0.6066222690439683,3.236728423033656e-31,0.35400623910393103,0.059780928759335786,0.5187828698415198,0.5458562813818825
combo_AD,0.5807855416667339,6.513435054293308e-30,0.018447902533683884,0.0,0.033667541356787706,0.019317282490039545
combo_persistence,0.38072025927332437,7.796718612986682e-20,0.8867359050653649,0.9559070190078275,0.8926301225852786,0.8874960529225782
combo_trans_entropy,0.38040600675235264,8.085557818609222e-20,0.4652246502876353,0.2779656456841703,0.4963210725032068,0.4733789347268186
presses_total_per_s,0.37331930997781104,1.836272958971541e-19,1.7350933291394819,1.1039801346022182,1.999837686421541,1.583623475540937
strafe_switch_per_s,0.35768264146744233,1.1212299541535684e-18,1.1420387381905617,0.6005479801454071,1.2003256177705537,0.9137024350037343
combo_switch_per_s,0.3360425418807911,1.369345301045539e-17,2.795958964221416,1.4640142580449889,2.9608483864114166,2.387601587642097
presses_A_per_s,0.32970549628324464,2.848577638755133e-17,0.5749544737030932,0.29471236516925214,0.5940060216148978,0.4512680483972124
presses_SHIFT_per_s,0.3219856190102831,6.951272993201516e-17,0.04952894042006363,0.07056212298578543,0.19336940955025905,0.06089648480321203
presses_D_per_s,0.30379330298359697,5.683756120036638e-16,0.5728893438546886,0.31105242477903483,0.611918622193436,0.4634891664269448
dwell_D_ms,0.2854630069194963,4.714531023656428e-15,500.5493870725097,851.8136601560299,471.9941536345395,592.4128148892977
dwell_A_ms,0.26320353814383746,6.139545771685012e-14,523.185001569421,838.0111507722829,482.8473812155473,555.2484843275516
flick_per_s,0.24232408831911814,6.800132874656991e-13,1.2142382404837995,0.5486334409984324,0.5160067615921742,1.1014695316713266
counterstrafe_per_s,0.1868958930784766,3.9599130346523014e-10,0.39356557764041883,0.20088554287311458,0.5377259176381387,0.3904134182438972
stop_counterstrafe_frac,0.1854663231619938,4.664753659279009e-10,0.4892308928947515,0.18007692139589201,0.4669676885480372,0.5221650017840513
stop_release_frac,0.18110441277622372,7.688398428411919e-10,0.41440739514031133,0.6888830404994519,0.36029231841253806,0.43287590931213754
dwell_SHIFT_ms,0.1548442806529946,1.548757943014259e-08,4500.121967979111,3989.581549061386,2307.653817837759,2127.327967171717
wpn_primary_frac,0.13276089571056202,1.9185880537237493e-07,0.6653308133459155,0.7291421031963373,0.6292299102647347,0.4533440205673443
presses_W_per_s,0.110799484943108,2.3198473756136074e-06,0.30738266636753336,0.23712278421693833,0.3397560861604815,0.32107130053538313
yaw_rate_p95,0.09764973193833161,1.0252397648661989e-05,200.69890601748497,159.8943660736083,148.64664470615662,195.39635287198132
yaw_rate_mean,0.08739107306129694,3.2543889709456896e-05,38.593974561562746,30.754261159021116,29.839958263722295,36.11054270687251
jump_per_s,0.08725398229273898,3.304918240744697e-05,0.06809318329147365,0.041352931555804245,0.09548187347733367,0.08705104172975577
presses_SPACE_per_s,0.08725398229273898,3.304918240744697e-05,0.06809318329147365,0.041352931555804245,0.09548187347733367,0.08705104172975577
crouchwalk_frac,0.08650633512134517,3.594565949038756e-05,0.035788140146545876,0.013833488440344925,0.01884107550862142,0.04016541704250806
frac_air,0.0846929308829851,4.406542251065244e-05,0.051495266668510245,0.033941308533807835,0.06967283296176287,0.0747802331640167
fwd_switch_per_s,0.07655122527707262,0.00010974858683473588,0.4039246088806719,0.32351289430642705,0.4413685625676009,0.4145068978815724
shots_per_s,0.05923567006477305,0.0007547655947469967,0.1252585968278503,0.1186487646716,0.10711212023907424,0.21865535405666411
duck_per_s,0.05722948912379089,0.0009424319835824476,0.049935267664559024,0.042712325320200556,0.050376289015504214,0.08623496924620953
presses_CTRL_per_s,0.053108817206439604,0.001485501839737158,0.05104879171863559,0.04394839886553367,0.05073324861213987,0.08623496924620953
wpn_nade_frac,0.047014564264878135,0.0029032368200307473,0.1520751343220833,0.11248319618524734,0.2326329392070688,0.1711408006940251
nade_walk_frac,0.03041794729835978,0.017590883797313567,0.14365726850500085,0.10571463059315586,0.20929103129714613,0.1366704997430326
frac_scoped,0.02093498659974565,0.04815045085066838,0.0007212784477109793,0.021927872369582664,0.0,0.00428647972852295
wpn_sniper_frac,0.02077740650251926,0.048953437403931724,0.0050122739586695225,0.04424366772156832,0.0,0.009778531880692982
zoom_toggle_per_s,0.02077740650251926,0.048953437403931724,0.0014083267318017777,0.013290627993255866,0.0,0.0034291837828183593
qswitch_per_s,0.020329605362558612,0.0513070968811905,0.090333334312547,0.05808151087254676,0.07687797099455787,0.07845546213609834
switch_per_s,0.010584350993954855,0.14003657360118626,0.3317612218654894,0.2674673477377707,0.32626835680657945,0.34417766878633205
lat_reversal_per_s,0.007660865326776004,0.18762598377527995,0.6245881035797176,0.5436059858366464,0.5345672938096051,0.5326408341111218
stops_per_s,0.0038783224667352937,0.2716241830463318,0.25817452909331534,0.1866482352119895,0.1983431254838455,0.20966346780135794
reload_ammo_ratio,0.0036228320825408985,0.2783814790724243,0.21048752834467116,0.1663876488095238,0.207320540156361,0.19542748917748917
presses_S_per_s,0.0,0.9032950363528787,0.11119592978399379,0.10522910702986935,0.11457242481299316,0.11361246440221873
