feature,eta2,p,MOOOOORF,Wagman,s1mple
wpn_knife_frac,0.9402853416345041,2.828266295005776e-26,0.0,0.0,0.30897347035778056
knife_run_frac,0.9402853416345041,2.828266295005776e-26,0.0,0.0,0.262271878652782
combo_AD,0.6163877005095403,1.2663047322829018e-17,0.024500327481033105,0.0,0.011113962532727124
wpn_primary_frac,0.5068569689755928,1.0666124694090375e-14,0.7459810812679435,0.7621565053437308,0.18910415418789137
strafe_overlap_frac,0.5022340181677766,1.4173645331332021e-14,0.3360216811580051,0.05337798493286297,0.3210763306534602
presses_total_per_s,0.3613637953738286,8.20351406877867e-11,1.6413904942957975,1.096501117189135,1.7784814758582812
combo_switch_per_s,0.33626297950713463,3.840788523772361e-10,2.485484331106385,1.442711651383855,2.450556915056683
strafe_switch_per_s,0.32877330114249076,6.087837386321503e-10,1.0733186510795119,0.5905152086058505,0.9509374254897852
combo_persistence,0.32871632502965487,6.109206774511073e-10,0.9042956106072864,0.9531316581615095,0.9042086774667475
combo_trans_entropy,0.32620888932067554,7.127811442305282e-10,0.4138244352091024,0.28505763040338644,0.4085017658824007
presses_A_per_s,0.3111816356099633,1.7960597665827942e-09,0.5500831623704661,0.29359294463128865,0.4989369227190057
dwell_A_ms,0.3104675818674182,1.8766899348815943e-09,567.9006640827068,846.2454619528706,530.5268078428114
dwell_D_ms,0.29584872603797074,4.611573793433314e-09,557.7680247586312,801.0237020904959,466.81977433702644
zoom_toggle_per_s,0.2866418863272636,8.123733408015334e-09,0.002164014246427122,0.006340551966124151,0.10426942777777627
frac_scoped,0.28095409755801637,1.1525809639469142e-08,0.0011083059074583341,0.010584072142740273,0.13215498528472702
wpn_sniper_frac,0.27794146548789284,1.3871906910908228e-08,0.007701786814540973,0.02369082336637056,0.2503664480808846
jump_per_s,0.25620205018180797,5.281735082103597e-08,0.07992426661931118,0.045734376757851594,0.13578625817900175
presses_SPACE_per_s,0.25620205018180797,5.281735082103597e-08,0.07992426661931118,0.045734376757851594,0.13578625817900175
lat_reversal_per_s,0.2496490639984158,7.903164967576176e-08,0.6930565416936287,0.5529155296250979,0.4062230470440863
presses_D_per_s,0.24100539368900042,1.3448250618893764e-07,0.5300567547012572,0.30275221086584947,0.4554549403504089
frac_air,0.23241909971609628,2.280331936190964e-07,0.06163301963991409,0.037851781924012784,0.09687271035832494
crouchwalk_frac,0.2105352224968641,8.759856008270655e-07,0.03924282580444222,0.012365310885498165,0.051821432574261236
presses_SHIFT_per_s,0.20134506329599966,1.5415511738957653e-06,0.05009993547332836,0.06721552822560602,0.1283956751786542
dwell_W_ms,0.19771722451981097,1.9268783341471886e-06,2006.6435512039036,2635.04312258334,1430.7586227790414
flick_per_s,0.19392695384214922,2.432702785529728e-06,1.3276828088680386,0.585100406727596,1.0050102879262808
presses_W_per_s,0.18130714180766036,5.28631463531364e-06,0.2742091675775642,0.24158000677252275,0.3574667025190906
stop_release_frac,0.17708086951041652,6.855402880595594e-06,0.5143884697542563,0.7229591278492831,0.47171467671397305
duck_per_s,0.16869427864037145,1.1482365475993258e-05,0.05367415355245686,0.04418307320340851,0.08804584034327446
presses_CTRL_per_s,0.16618398078787924,1.3399209859504506e-05,0.05416907289607009,0.04551971948327979,0.08876442482696835
stop_counterstrafe_frac,0.1519614245354511,3.213298102814988e-05,0.4306337530139432,0.18740920203747977,0.36956093071171875
fwd_switch_per_s,0.1327795663706325,0.0001045397337249996,0.36271298898117826,0.32297221409556814,0.45959416248009793
counterstrafe_per_s,0.11411432584370251,0.0003294680942917311,0.3662241668702429,0.20104798420388673,0.33064725655859145
diag_frac,0.10939814955334413,0.00044032996240936275,0.2628741288770047,0.3094757526548141,0.21883044496994664
reload_per_s,0.09544587821023721,0.0010385585779522023,0.011330153394502052,0.006181015026030286,0.003295927760982618
yaw_rate_mean,0.08579630996452654,0.0018800196260276073,40.83286779174233,32.10048830098531,36.06591286467005
yaw_rate_p95,0.07010563238726569,0.004934537189173932,213.27960115758367,166.6093749999999,187.64058393998567
nade_walk_frac,0.022364434340270765,0.09297610894215685,0.13132595360283897,0.09966724722860583,0.08705765044945442
qswitch_per_s,0.020716924123268435,0.10289041043040828,0.09269211554310762,0.073349995363015,0.10335569500203276
shots_per_s,0.02033323319185301,0.10534718692212271,0.09472184277516228,0.116155590062776,0.08053974967995499
reload_ammo_ratio,0.014681888259335767,0.14913011069302087,0.21983159117305454,0.1693089430894309,0.22845904095904085
wpn_nade_frac,0.014566859541327597,0.15018883722946608,0.13799112663671864,0.10776609396698496,0.09938108490864721
switch_per_s,0.00907720060265297,0.21050458659164037,0.3393601733204528,0.2761956219781969,0.3724173640661444
presses_S_per_s,0.0,0.8166599423857288,0.10284813465780038,0.10010633045273641,0.11367655208515223
