feature,eta2,p,ropz,ZywOo
combo_trans_entropy,0.6830502064142265,4.193354064963033e-53,0.8138986007720372,0.4981876511684293
combo_switch_per_s,0.661211063666326,1.803599365332792e-51,6.055173340269414,3.239653793087326
presses_total_per_s,0.631341212420008,3.095968731791012e-49,3.6792029791782412,2.2284104738065116
strafe_switch_per_s,0.5836210648270219,1.153164436858096e-45,2.31942430236522,1.2859410119941677
presses_D_per_s,0.5764109021903054,3.9955324446669295e-45,1.2455396662326084,0.6558536074643557
dwell_A_ms,0.553612614088832,2.0335564382581276e-43,260.62383267381307,456.6431622474445
dwell_D_ms,0.5186081781954524,8.49957208464471e-41,240.40320642541707,408.6798442975294
counterstrafe_per_s,0.5064298481397191,6.942753850375135e-40,1.058053137268725,0.4674336023157024
presses_A_per_s,0.5026094165167774,1.3418373624514618e-39,1.0786069943592302,0.6347974804086081
fwd_switch_per_s,0.49872093722132266,2.6240828034045766e-39,0.9169178922329295,0.5386681383534583
presses_S_per_s,0.42903472960226746,4.37918979140269e-34,0.3700449981971967,0.17365088219269495
presses_W_per_s,0.3401991030421774,2.028946218800194e-27,0.5589554531380367,0.3768418269697034
combo_persistence,0.30953640817768224,4.083712731971068e-25,0.7939403320166238,0.8626757844182686
strafe_overlap_frac,0.24086883470217552,6.002372638581988e-20,0.36884588805478347,0.26995684052611724
wpn_sniper_frac,0.23202481693126278,2.7853402348433803e-19,0.011437942570099155,0.28773563903323846
qswitch_per_s,0.20933258487772563,1.433986055951764e-17,0.035138352606720574,0.09711221557836106
frac_scoped,0.20565691364340852,2.7164980571546878e-17,0.01139790438304167,0.1901716793054759
switch_per_s,0.19454872384135302,1.874688181311483e-16,0.16093912434951024,0.302298850928385
lat_reversal_per_s,0.19335897828328938,2.3057865849575253e-16,0.8015590975218795,0.46371171754616974
combo_AD,0.18277774565324054,1.4541754090354425e-15,0.00992597696535192,0.007000052191660917
zoom_toggle_per_s,0.17727099213167738,3.7941241279488515e-15,0.005635889976062935,0.08042699604473531
wpn_primary_frac,0.12280386802663039,5.1437863441900595e-11,0.5069306787452419,0.2452590648966563
stop_counterstrafe_frac,0.09205722013569813,1.146434766438283e-08,0.5625661205756884,0.43762854633592935
stop_release_frac,0.06761208360120963,8.724151078233991e-07,0.33844478439617215,0.4453643405855942
key_entropy,0.06329112513192822,1.8849713652886726e-06,2.7910272214022136,2.689771430688066
presses_SHIFT_per_s,0.039009401670885596,0.00014936268283120084,0.24613771463169634,0.20945851133454826
combo_D,0.025348116290526017,0.0018483003308429008,0.1516658123144082,0.1313537498407044
duck_per_s,0.022401319626104223,0.0032107685315443976,0.11930595420215509,0.1003572247821713
presses_CTRL_per_s,0.0203307234948504,0.004746869376118368,0.11974899848597842,0.10134357210693655
yaw_rate_mean,0.019703677712666557,0.005346444196716523,40.85789673981875,36.72025987396375
shots_per_s,0.018365606151318867,0.006897752919776069,0.08812003613728824,0.06936843391081521
yaw_rate_p95,0.015437693343048866,0.012107021834291843,218.0096120845374,191.41740807821563
flick_per_s,0.00819248634383526,0.050946756510185896,1.7518784732183201,1.5520318026941555
nade_walk_frac,0.004874387724448201,0.10213306693415451,0.04948971321123513,0.05266872855072144
crouchwalk_frac,0.0010776057111631277,0.24187739698607702,0.04911331415925803,0.05572790861467139
combo_A,0.0007528711344080351,0.2619854836722117,0.14154844943567116,0.13570142986955647
diag_frac,0.0,0.8730530469645061,0.24597104746150428,0.2437080685717186
dwell_SHIFT_ms,0.0,0.5032673343246462,1419.0883306447686,1466.8579527846055
lat_speed_frac,0.0,0.6111066396800814,0.39115989795825246,0.38460357788814037
