a,b,euclid_z,euclid_z_norm,mahalanobis,cv_auc
NaYz,smekk-,3.7657210998753423,0.388404474989646,3.8088668658088656,0.826388888888889
Polbandana,smekk-,4.2071725671769675,0.43393671724634747,3.923231608558926,0.7569444444444445
MAHAR_-,smekk-,4.354096442057924,0.44909075785983615,4.487003280589497,0.6309523809523809
Papatronic05,smekk-,4.470000698343811,0.461045369106345,4.5611899016503115,0.6666666666666666
NaYz,Papatronic05,4.647231150306699,0.47932529447020217,4.523626788067764,0.7619047619047619
MAHAR_-,NaYz,4.773971964734884,0.49239761134713944,4.474139621789699,0.9404761904761905
NaYz,Polbandana,4.774686036930415,0.4924712622705228,3.8468487978828065,0.9305555555555556
B0Tmaks,Polbandana,4.83030904823631,0.49820833783470203,4.470930598940339,0.7738095238095237
MAHAR_-,Polbandana,4.985813166117656,0.5142473629410573,4.485630348320817,0.9761904761904763
MAHAR_-,Papatronic05,4.991782174590531,0.5148630191568595,5.063209521562519,0.7755102040816327
Polbandana,kL1o,5.081885649096699,0.5241564829535994,3.8540548715463983,0.7222222222222223
B0Tmaks,MAHAR_-,5.087094467204532,0.5246937315200311,4.993970548900068,0.653061224489796
kL1o,smekk-,5.18935997643812,0.5352416134183309,3.840626552197927,0.8680555555555556
MAHAR_-,kL1o,5.413341470942099,0.5583435406383509,4.491110782566347,0.7738095238095238
B0Tmaks,smekk-,5.434314563972136,0.5605067500134452,4.468425196341897,0.9047619047619048
Br4tkO,NaYz,5.693024048137164,0.5871905958710915,3.8973530868679624,0.9513888888888888
NaYz,rud,5.788556883689468,0.5970440555014909,4.479899953055372,0.9166666666666667
Papatronic05,Polbandana,5.822303326007066,0.6005247352606925,4.529458338353768,0.8571428571428571
NaYz,kL1o,5.824741962716091,0.6007762614320521,3.863148619890772,0.9236111111111112
B0Tmaks,kL1o,5.97780909483191,0.6165639306488678,4.486193632108446,0.7976190476190476
Br4tkO,smekk-,6.0008408062012535,0.6189394702932719,3.923600531353045,1.0
MAHAR_-,rud,6.123052372623559,0.6315446309079252,5.060256597759255,0.7551020408163265
Br4tkO,Papatronic05,6.130162313283663,0.6322779652935724,4.545953155937197,0.9226190476190477
Papatronic05,kL1o,6.136395877177422,0.6329209083175658,4.453543441015482,0.8928571428571429
Papatronic05,rud,6.210802281113019,0.6405953429052547,5.0804356892431946,0.8775510204081634
Br4tkO,MAHAR_-,6.32648389814532,0.6525269906661235,4.496311972651794,1.0
B0Tmaks,NaYz,6.380393723933402,0.6580873646361173,4.548130780315386,1.0
Brens,kL1o,6.504202036925744,0.6708572170844933,4.495586964554881,0.7976190476190476
Br4tkO,kL1o,6.6454931926172955,0.6854302870733658,3.896593153095053,1.0
rud,smekk-,6.8129617241748734,0.7027033472261905,4.562596876538753,1.0
Br4tkO,Polbandana,6.869653998882811,0.7085507088894412,3.940394122293902,1.0
B0Tmaks,Papatronic05,6.953026516965567,0.7171499275399061,5.045570760475331,0.8265306122448979
Brens,Polbandana,7.017969030381264,0.7238482363521458,4.498979915599789,0.988095238095238
Brens,MAHAR_-,7.111794036612872,0.7335255468379103,5.02051619194948,0.7857142857142857
B0Tmaks,rud,7.240513365912905,0.7468019319423339,5.0057024926620715,0.8367346938775511
Polbandana,rud,7.2765811941392275,0.750522044376238,4.574950061641939,1.0
Br4tkO,Brens,7.315744985080007,0.7545614809822738,4.554502698230894,1.0
B0Tmaks,Brens,7.3691481304156845,0.7600695948539002,5.0907107567267085,1.0
Brens,smekk-,7.430536288368432,0.7664012998920157,4.515322829663662,0.9404761904761905
Brens,Papatronic05,7.452904265391863,0.7687083805657953,5.134148553002774,0.9081632653061225
B0Tmaks,Br4tkO,7.827382547992492,0.8073328662594745,4.5154703207283235,1.0
Brens,NaYz,7.833797076532737,0.8079944743615888,4.565998542219691,1.0
Br4tkO,rud,7.898458288923903,0.8146637691884988,4.570682986612226,0.9761904761904762
kL1o,rud,7.938037023693733,0.8187460039826633,4.566310124851519,0.8333333333333333
Brens,rud,8.364132113713246,0.8626943568599312,5.054138013662923,1.0
