a,b,euclid_z,euclid_z_norm,mahalanobis,cv_auc
Papatronic05,Polbandana,4.05843506670605,0.41638665217836757,4.391061704737752,0.48809523809523814
B0Tmaks,Brens,4.331179571427759,0.4443696479278337,3.971844192943157,0.8181818181818181
Papatronic05,kL1o,4.656881546269446,0.47778596546972907,4.402140895508281,0.6428571428571428
MAHAR_-,smekk-,4.937682998289843,0.5065955865704297,4.54519833884557,0.755952380952381
MAHAR_-,Papatronic05,4.987316067534884,0.5116878320297252,3.7806531124699134,0.7222222222222222
Brens,MAHAR_-,4.998731007418964,0.5128589801508672,3.8846208459638083,0.7083333333333334
Polbandana,kL1o,5.027293387631233,0.5157894185290485,5.0907172333184425,0.836734693877551
Papatronic05,rud,5.081256197285486,0.521325885981344,3.864367829688248,0.8541666666666665
Papatronic05,smekk-,5.0995187784195455,0.5231995872710183,4.42985414545984,0.7976190476190476
Brens,kL1o,5.160298181183376,0.5294354224198539,4.543054079386036,0.7857142857142856
kL1o,smekk-,5.199686951359717,0.5334766249714722,5.065370740136853,0.836734693877551
B0Tmaks,Polbandana,5.248349972327901,0.5384693455775145,4.624198015374261,0.8311688311688311
B0Tmaks,MAHAR_-,5.250132079441244,0.5386521859094531,4.0034204031454745,0.6742424242424243
Brens,smekk-,5.268552772101295,0.5405421090994157,4.4881702138916335,0.8452380952380952
Br4tkO,Papatronic05,5.289105625965091,0.5426507874131982,4.411888613608241,0.8095238095238095
B0Tmaks,smekk-,5.37534075610857,0.5514983250848438,4.589248300945907,0.6168831168831169
Br4tkO,Polbandana,5.379716724757704,0.5519472899951852,5.098391497410971,1.0
Polbandana,smekk-,5.39131101731973,0.5531368393128232,5.027852666647047,0.9183673469387755
B0Tmaks,Papatronic05,5.394417766875781,0.5534555850918091,3.904681367075643,0.8333333333333334
Brens,Polbandana,5.402592423432698,0.5542942871581219,4.493068703017663,0.7202380952380951
MAHAR_-,Polbandana,5.411295129992058,0.5551871660115671,4.5007082793576005,0.8571428571428571
B0Tmaks,kL1o,5.428505361072512,0.5569528984638601,4.594662868372787,0.8831168831168831
NaYz,smekk-,5.469206393510529,0.5611287362827522,5.013524116529578,0.8979591836734694
MAHAR_-,kL1o,5.532364039496323,0.5676085740377604,4.524802872088061,0.7142857142857142
Brens,Papatronic05,5.673014368717636,0.5820389933372322,3.8587483417716077,0.9166666666666666
Polbandana,rud,5.714341561328085,0.5862790738343095,4.446113605098904,0.9523809523809524
MAHAR_-,rud,5.7155540373988165,0.5864034712544087,3.900232016961138,0.7777777777777777
Brens,rud,5.744400239923064,0.5893630291873829,3.910239725028623,0.9722222222222222
Br4tkO,smekk-,5.749724284558581,0.5899092646415405,5.071358811549812,0.8673469387755102
B0Tmaks,rud,5.813064994488265,0.5964078843608965,3.9679934191757114,0.9924242424242424
NaYz,rud,6.0249435950068255,0.6181461701011107,4.53990018793353,0.9285714285714286
Br4tkO,MAHAR_-,6.062561736531107,0.6220057099860695,4.571434311928556,0.8035714285714286
Br4tkO,rud,6.216940647678421,0.6378446520716318,4.530539017211069,1.0
NaYz,Papatronic05,6.27048165903247,0.6433378439314317,4.443487931044576,0.773809523809524
Brens,NaYz,6.295120975937636,0.6458657845069183,4.5581852281888,0.9404761904761905
Br4tkO,kL1o,6.339712427135932,0.6504407708686697,5.115322929564762,0.9591836734693878
rud,smekk-,6.3666325460379705,0.6532027167915746,4.509995096659631,1.0
kL1o,rud,6.384232485684053,0.6550084324990633,4.484714287249997,0.7797619047619048
B0Tmaks,NaYz,6.3990025114738405,0.6565238051710693,4.5984515596509805,0.8701298701298701
B0Tmaks,Br4tkO,6.433967094409154,0.6601110956892011,4.638978339840681,1.0
Br4tkO,Brens,6.436803345704376,0.6604020889321982,4.541819152846702,0.988095238095238
NaYz,Polbandana,6.439674958343847,0.6606967101725654,5.039144652087586,0.8571428571428571
MAHAR_-,NaYz,6.537273748738587,0.6707101347860354,4.535255157669115,0.8452380952380952
Br4tkO,NaYz,6.809016492812846,0.698590352061676,5.129588020632945,0.979591836734694
NaYz,kL1o,6.85359313640275,0.7031638191948616,5.096163806655295,0.6938775510204082
