a,b,euclid_z,euclid_z_norm,mahalanobis,cv_auc
OWNER,fakerealityy,4.035497780393013,0.38831595497067384,4.0938944805324216,0.7612456747404843
donk,flameZ,4.304021725901597,0.41415468367454744,4.67550627789286,0.9375
Magisk,OWNER,4.317784645380031,0.41547902121883223,3.995654507558127,0.7889273356401384
fakerealityy,kr1vda,4.33340460596862,0.4169820526272578,4.179020400926377,0.7093425605536332
fakerealityy,maggent,4.37884427313985,0.4213544866394573,4.133809932036179,0.6366782006920415
OWNER,electronic,4.415517161312389,0.4248833369491866,3.986963284009192,0.889273356401384
Senzu,electronic,4.42732924523519,0.42601995525460656,4.098591293506006,0.7093425605536331
OWNER,Tr0ublE,4.502258241765921,0.433230001307461,4.232613156494824,0.833910034602076
Magisk,fakerealityy,4.5155870913592135,0.4345125704575735,3.7266227602337576,0.7474048442906576
Tr0ublE,fakerealityy,4.606306152352817,0.443242016171788,4.283699521276291,0.8269896193771626
Magisk,s1mple,4.6074616602662,0.44335320497259506,4.154365506143937,0.7647058823529412
Magisk,electronic,4.629502128576857,0.4454740500246323,4.207826798247895,0.6989619377162629
electronic,fakerealityy,4.665196999003688,0.4489087905329022,4.195293759948944,0.7837370242214533
Mzinho,electronic,4.6703854929918736,0.4494080535996969,4.448459190986202,0.8166089965397924
Mzinho,OWNER,4.705369569277623,0.4527743979098515,4.028865580655976,0.7058823529411763
mezii,zont1x,4.712650066768268,0.4534749641075279,4.837945431087193,0.98828125
electronic,maggent,4.7218792619115995,0.45436304382426224,4.290481241584885,0.8546712802768166
OWNER,apEX,4.758306159058811,0.45786822363654306,4.456930600299865,0.9705882352941176
mezii,tN1R,4.833764146068782,0.4651291718219955,4.204174182217004,0.8828125
apEX,fakerealityy,4.881281037993838,0.46970148687932634,4.469561037119021,0.8125
Senzu,flameZ,4.897818128418396,0.47129276914736495,4.212651502313783,0.7242647058823529
flameZ,mezii,4.899093219336551,0.47141546482817137,4.801169342409062,0.94921875
apEX,tN1R,4.940933705044986,0.47544156744263627,4.641703363999257,0.96484375
Tr0ublE,kr1vda,4.97185393003969,0.47841686747998563,4.455581784296775,0.8788927335640138
s1mple,sh1ro,5.026057151808284,0.48363257492649275,4.861955018846601,0.8823529411764706
donk,tN1R,5.06320501901273,0.4872071301148773,4.436695230562444,0.91796875
electronic,zont1x,5.071058678031924,0.48796284880635316,4.465197198352719,0.8713235294117647
Mzinho,mezii,5.076631975719807,0.4884991396264154,4.4862537936736375,0.9080882352941175
Magisk,magixx,5.118543274495703,0.4925320562314738,4.292286537158493,0.8547794117647058
Magisk,maggent,5.127259488024723,0.4933707742693561,4.157303809155967,0.8200692041522492
electronic,s1mple,5.1525890176742415,0.4958081093962888,4.657698586024441,0.8408304498269896
Magisk,Mzinho,5.180399494750605,0.4984841738006772,4.343431775618626,0.7889273356401384
Mzinho,tN1R,5.180688768031794,0.49851200913513777,4.537912217518819,0.8014705882352942
Senzu,zont1x,5.196196302079703,0.5000042222946424,4.553971647825124,0.8786764705882353
donk,mezii,5.228110968915687,0.5030752125427845,4.719109633147195,0.8828125
ZywOo,sh1ro,5.238664520457191,0.5040907285133501,4.706415849596818,0.8875000000000001
OWNER,maggent,5.258248742583791,0.5059752211661271,4.51799126626529,0.9515570934256056
s1mple,zont1x,5.262151778969113,0.5063507910174142,4.863208704066158,0.9926470588235294
Senzu,mezii,5.2832803236297465,0.5083838861753145,4.198223015632417,0.8713235294117647
OWNER,kr1vda,5.297727882260508,0.5097741031527484,4.546229877445773,0.9411764705882353
Mzinho,flameZ,5.303907772795852,0.5103687633967723,4.600697671847367,0.9154411764705882
fakerealityy,s1mple,5.3299846832110225,0.512878015271411,4.443563511946844,0.8044982698961938
tN1R,zont1x,5.332331580844416,0.5131038456014777,4.5015569521489756,0.875
electronic,kr1vda,5.350890428868242,0.5148896715852119,4.358039843350956,0.9896193771626297
Mzinho,fakerealityy,5.3673443100077955,0.5164729470360678,4.139880928393785,0.7647058823529411
