feature,perm_importance,sd
speed_mean,0.0,0.0
knife_run_frac,0.0,0.0
stop_counter_fwd_frac,0.0,0.0
stop_counterstrafe_frac,0.0,0.0
stops_per_s,0.0,0.0
sniper_zoom_frac,0.0,0.0
zoom_toggle_per_s,0.0,0.0
silencer_toggle_per_s,0.0,0.0
reload_ammo_ratio,0.0,0.0
reload_per_s,0.0,0.0
qswitch_per_s,0.0,0.0
switch_per_s,0.0,0.0
nade_walk_frac,0.0,0.0
wpn_nade_frac,0.0,0.0
speed_std,0.0,0.0
wpn_sniper_frac,0.0,0.0
wpn_primary_frac,0.0,0.0
wpn_pistol_frac,0.0,0.0
wpn_knife_frac,0.0,0.0
combo_switch_per_s,0.0,0.0
combo_trans_entropy,0.0,0.0
combo_persistence,0.0,0.0
combo_AD,0.0,0.0
combo_SD,0.0,0.0
combo_SA,0.0,0.0
combo_WD,0.0,0.0
stop_crouch_stop_frac,0.0,0.0
stop_release_frac,0.0,0.0
stop_ms_mean,0.0,0.0
stop_speed_before,0.0,0.0
wide_peak_speed,0.0,0.0
wide_depth_mean,0.0,0.0
wide_peek_per_s,0.0,0.0
peek_lat_ratio,0.0,0.0
peek_shift_frac,0.0,0.0
peek_shots_mean,0.0,0.0
peek_yaw_swing,0.0,0.0
peek_walk_frac,0.0,0.0
peek_peak_speed,0.0,0.0
peek_return_frac,0.0,0.0
peek_out_ms_mean,0.0,0.0
peek_depth_p90,0.0,0.0
peek_depth_mean,0.0,0.0
peek_commit_frac,0.0,0.0
peek_wide_frac,0.0,0.0
peek_narrow_frac,0.0,0.0
peek_jiggle_frac,0.0,0.0
peeks_per_s,0.0,0.0
traversals_per_s,0.0,0.0
stop_speed_at_shot,0.0,0.0
stop_shot_delay_ms,0.0,0.0
stop_shot_frac,0.0,0.0
stop_overshoot_frac,0.0,0.0
combo_WA,0.0,0.0
combo_D,0.0,0.0
combo_A,0.0,0.0
path_len,0.0,0.0
moving_shot_frac,0.0,0.0
frac_scoped,0.0,0.0
lat_speed_frac,0.0,0.0
lat_reversal_per_s,0.0,0.0
flick_per_s,0.0,0.0
yaw_rate_p95,0.0,0.0
yaw_rate_mean,0.0,0.0
crouchwalk_frac,0.0,0.0
frac_ducked,0.0,0.0
duck_per_s,0.0,0.0
frac_air,0.0,0.0
jump_per_s,0.0,0.0
key_entropy,0.0,0.0
diag_frac,0.0,0.0
fwd_switch_per_s,0.0,0.0
strafe_switch_per_s,0.0,0.0
counterstrafe_per_s,0.0,0.0
accel_std,0.0,0.0
frac_run,0.0,0.0
frac_slowmove,0.0,0.0
frac_walkkey,0.0,0.0
frac_still,0.0,0.0
speed_p90,0.0,0.0
shots_per_s,0.0,0.0
path_per_s,0.0,0.0
combo_S,0.0,0.0
path_efficiency,0.0,0.0
combo_W,0.0,0.0
combo_none,0.0,0.0
strafe_overlap_frac,0.0,0.0
strafe_flight_ms,0.0,0.0
presses_total_per_s,0.0,0.0
presses_SPACE_per_s,0.0,0.0
presses_CTRL_per_s,0.0,0.0
presses_SHIFT_per_s,0.0,0.0
presses_D_per_s,0.0,0.0
presses_A_per_s,0.0,0.0
presses_S_per_s,0.0,0.0
presses_W_per_s,0.0,0.0
dwell_CTRL_ms,0.0,0.0
dwell_SHIFT_ms,0.0,0.0
dwell_D_ms,0.0,0.0
dwell_A_ms,0.0,0.0
dwell_S_ms,0.0,0.0
dwell_W_ms,0.0,0.0
z_range,0.0,0.0
disp_20s,0.0,0.0
disp_10s,0.0,0.0
max_dist_start,0.0,0.0
radius_gyration,0.0,0.0
wide_return_frac,0.0,0.0
