feature,family,icc1,eta2_H,p_kw,mean,sd,q_bh
strafe_overlap_frac,keydyn,0.5370343879917312,0.5441852075295027,0.0,2.5473187927765188e-17,0.9999626461892789,0.0
combo_trans_entropy,keydyn,0.4360877538916925,0.4264103906891004,0.0,1.8680337813694472e-16,0.9999626461013364,0.0
presses_total_per_s,keydyn,0.3923286307993553,0.3812756436542721,0.0,3.396425057035358e-16,0.999962651194869,0.0
combo_switch_per_s,keydyn,0.37929952408116885,0.3645388346417684,0.0,-3.396425057035358e-16,0.9999626517130101,0.0
switch_per_s,habit,0.37876186492373853,0.30722123553249225,0.0,4.457807887358908e-17,0.9999626485424482,0.0
wpn_sniper_frac,habit,0.3359840852845282,0.13214952713558398,0.0,-5.306914151617747e-17,0.9999626470663471,0.0
strafe_switch_per_s,micro,0.3237564803907269,0.31103023159939214,0.0,2.7171400456282867e-16,0.9999626507976416,0.0
presses_D_per_s,keydyn,0.31714135179659547,0.27908189524991933,0.0,2.377497539924751e-16,0.9999626494599944,0.0
fwd_switch_per_s,micro,0.3155856849699437,0.32427446857182585,0.0,-4.2455313212941976e-17,0.9999626481599553,0.0
frac_scoped,micro,0.30335411417752883,0.13243436183910942,0.0,-5.731467283747167e-17,0.9999626443552914,0.0
presses_A_per_s,keydyn,0.2853558027255258,0.29233462956228146,0.0,3.3964250570353584e-17,0.9999626491839633,0.0
presses_S_per_s,keydyn,0.2794258259567293,0.2588663698197802,0.0,1.6982125285176792e-17,0.9999626446853439,0.0
combo_AD,keydyn,0.2770668832291941,0.39593914991815515,0.0,-4.2455313212941976e-17,0.9999625648949121,0.0
qswitch_per_s,habit,0.26271819051400436,0.30826477471491437,0.0,4.8823610194883274e-17,0.9999626444812916,0.0
combo_persistence,keydyn,0.2565851687035515,0.2533190397303185,0.0,-5.434280091256573e-16,0.9999626364999142,0.0
counterstrafe_per_s,micro,0.24932059038400087,0.27236111661173473,0.0,6.792850114070717e-17,0.9999626504010227,0.0
dwell_D_ms,keydyn,0.2357981650943628,0.21927421966940405,0.0,-1.3585700228141433e-16,0.9999626524168079,0.0
zoom_toggle_per_s,habit,0.23395097857898778,0.09329727681569053,6.706355095913712e-249,-1.592074245485324e-17,0.9999626343215546,1.6461053417242746e-248
presses_W_per_s,keydyn,0.22116713378146155,0.2308818529143431,0.0,-1.698212528517679e-16,0.9999626455854239,0.0
duck_per_s,micro,0.21686782625819603,0.22292764303481502,0.0,1.7618954983370922e-16,0.9999626355523487,0.0
presses_CTRL_per_s,keydyn,0.216748453389739,0.22271319687232619,0.0,-4.2455313212941976e-17,0.9999626355947618,0.0
presses_SHIFT_per_s,keydyn,0.21494288502625988,0.21671534087571953,0.0,2.281973085195631e-16,0.9999626427889827,0.0
dwell_A_ms,keydyn,0.20897331316622691,0.2172266188590866,0.0,-2.2076762870729829e-16,0.9999626524173588,0.0
yaw_rate_p95,micro,0.20315660904740768,0.16564483077172898,0.0,-1.1462934567494335e-16,0.9999626524146459,0.0
flick_per_s,micro,0.19879024150639144,0.16223740245007054,0.0,-6.368296981941296e-17,0.9999626512511969,0.0
yaw_rate_mean,micro,0.1976512542697534,0.17167623964597145,0.0,-1.4859359624529692e-16,0.9999626523530118,0.0
shots_per_s,micro,0.15686946563857257,0.15543320635051672,0.0,3.820978189164778e-17,0.9999626432343686,0.0
dwell_S_ms,keydyn,0.14268189053963298,0.1819880221872977,0.0,-2.1227656606470988e-17,0.9999626524199722,0.0
lat_reversal_per_s,micro,0.13545793159386227,0.14667123096401977,0.0,-2.4411805097441637e-17,0.9999626494259283,0.0
dwell_SHIFT_ms,keydyn,0.1257504423799838,0.14509036409811718,0.0,-2.228903943679454e-17,0.9999626524240586,0.0
dwell_W_ms,keydyn,0.12363271737436156,0.18622833704571679,0.0,3.3964250570353584e-17,0.9999626524232215,0.0
stop_counterstrafe_frac,event,0.12125823695068749,0.11895220849132888,0.0,6.792850114070717e-17,0.9999626486667965,0.0
stop_release_frac,event,0.12123654973768405,0.10540413154896024,2.890403375428809e-283,-6.792850114070717e-17,0.9999626480605984,8.004193962725932e-283
stops_per_s,event,0.11748742037387876,0.10343148462846691,1.1648673646101454e-277,-1.3161147096012013e-16,0.9999626460868666,3.068431106777944e-277
wpn_primary_frac,habit,0.1126129382226721,0.10494695000374266,5.757577703207772e-282,3.184148490970648e-17,0.9999626493944516,1.5545459798660983e-281
moving_shot_frac,micro,0.1107191108293026,0.1144365892897019,5.87820563859388e-309,1.4540944775432627e-16,0.9999626487924715,1.715800564778754e-308
strafe_flight_ms,keydyn,0.10832797525865605,0.1522192581183934,0.0,4.457807887358908e-17,0.9999626523985784,0.0
diag_frac,micro,0.10438644489359175,0.11500990072502548,1.3715049799113e-310,-3.078010207938293e-17,0.9999626390111864,4.11451493973383e-310
crouchwalk_frac,micro,0.1016068336984724,0.12455223877502694,0.0,-3.3964250570353584e-17,0.999962629969609,0.0
lat_speed_frac,micro,0.10088598214361577,0.10210271614067183,6.930644757826579e-274,4.2455313212941976e-17,0.9999626439858412,1.7407200787099312e-273
