feature,perm_importance,sd
strafe_overlap_frac,0.030797669728881878,0.000996261612893505
switch_per_s,0.01448203749346475,0.0009289299773850309
combo_AD,0.007222346702516968,0.0004999646865689577
qswitch_per_s,0.005299126148330674,0.00047559129804549994
combo_trans_entropy,0.0028344163118977973,0.0002570781802897231
combo_persistence,0.002386287250728175,0.0002581608474524559
presses_SHIFT_per_s,0.0021734259466725915,0.0002575388699614134
fwd_switch_per_s,0.002169691537829521,0.0002592389930810198
dwell_SHIFT_ms,0.0021323474493987193,0.0002635074667610461
yaw_rate_p95,0.0019829710956755175,0.00027286750708985474
presses_total_per_s,0.001829860333109229,0.00018820827796480017
shots_per_s,0.0016842183882291029,0.00026456382484215963
duck_per_s,0.0015012323549181915,0.0002419020799268206
flick_per_s,0.0014302785868996692,0.0002256460727465793
wpn_pistol_frac,0.0013630592277242225,0.0001546514246086241
yaw_rate_mean,0.0013406527746657403,0.0001406737486133218
presses_CTRL_per_s,0.0013369183658226591,0.0002441972174810961
wpn_sniper_frac,0.0012024796474717659,0.00026606188857356027
wpn_knife_frac,0.0011987452386286956,0.00014650119684765758
strafe_flight_ms,0.0011277914706101899,0.0001888001293564118
frac_walkkey,0.0011128538352378591,0.00013751551751081467
combo_switch_per_s,0.0010717753379639594,0.0001755966531557024
dwell_A_ms,0.0010680409291208893,0.0001815706293396622
presses_A_per_s,0.0010643065202778136,0.00015283726887505345
crouchwalk_frac,0.0010269624318470006,0.00017335864348995298
diag_frac,0.001012024796474681,0.00013867685882162022
moving_shot_frac,0.0009970871611023556,0.00016746648237192958
strafe_switch_per_s,0.0009560086638284781,0.0001409213702600129
dwell_D_ms,0.0009485398461423211,0.00011594723053449493
presses_D_per_s,0.0009261333930838389,0.0001709690513445329
presses_W_per_s,0.000873851669280723,0.00016380395996311076
counterstrafe_per_s,0.0008738516692807175,0.00017047893360987902
dwell_CTRL_ms,0.0008701172604376306,0.00010369290743830387
nade_walk_frac,0.000866382851594566,0.00012363093104224388
presses_S_per_s,0.0008626484427514847,0.00019400963787976475
stop_ms_mean,0.0008626484427514791,0.0001557297741578462
dwell_S_ms,0.000862648442751468,0.00014458481352308387
dwell_W_ms,0.0007842258570467997,0.00017113211199327772
lat_reversal_per_s,0.0007319441332436672,0.00015233458850079734
wpn_primary_frac,0.0007207409067144233,0.00017076500657514884
combo_none,0.0007132720890282662,0.00011443388935725895
combo_S,0.000690865635969784,0.0001154047138722958
zoom_toggle_per_s,0.0006721935917543998,0.00014749733107873592
frac_still,0.0006460527298528307,0.00014225107890612776
peek_peak_speed,0.0006423183210097439,0.00017894015312138153
stops_per_s,0.0006348495033235868,0.0001282811564517169
wpn_nade_frac,0.0006273806856374297,8.64578153916807e-05
accel_std,0.0006199118679512782,0.00015861349302857163
stop_overshoot_frac,0.0006199118679512561,0.00017847192688547078
speed_std,0.000578833370677384,8.474722322736515e-05
peek_walk_frac,0.0005750989618343083,0.00011351620101256791
stop_speed_before,0.0005377548734034898,7.317916925187894e-05
combo_WA,0.0005265516468742571,0.00011920897527458334
silencer_toggle_per_s,0.0005190828291880889,0.00015927155211095765
path_len,0.0005078796026588451,8.044162830882933e-05
stop_counterstrafe_frac,0.0005041451938157748,0.00011540471387230478
lat_speed_frac,0.0005041451938157748,0.00010791084679065081
traversals_per_s,0.0004780043319142224,0.00014052496618288703
stop_release_frac,0.00046680110538497297,0.00012909392798150077
key_entropy,0.00046680110538496744,8.474722322734314e-05
z_range,0.00046306669654188617,9.908506357024913e-05
frac_slowmove,0.00045933228769880484,0.00010893981735614198
combo_WD,0.0004555978788557347,7.046068512998321e-05
speed_mean,0.0004406602434834206,7.797674590266643e-05
path_efficiency,0.00043692583464033374,0.00010369290743829108
knife_run_frac,0.0004294570169541656,0.00011540471387229669
peeks_per_s,0.0004182537904249439,0.00010667605390308518
