Feature,Mean,Std,Std/Mean (%)
ct_utility_kills_per_100_rounds,0.925,0.431,46.595
ct_time_opponent_flashed_per_round,2.556,0.363,14.202
ct_sniper_kills_percentage,0.17,0.243,142.941
ct_sniper_kills_per_round,0.131,0.193,147.328
ct_utility_damage_per_round,0.459,0.157,34.205
ct_rounds_with_sniper_kills_percentage,0.101,0.148,146.535
ct_flashes_thrown_per_round,0.47,0.145,30.851
ct_time_alive_per_round,1.024,0.094,9.18
ct_damage_per_kill,1.056,0.09,8.523
ct_win_after_opening_kill,0.723,0.076,10.512
ct_opening_success,0.585,0.074,12.65
ct_damage_per_round,0.812,0.068,8.374
ct_damage_per_round_win,0.542,0.063,11.624
ct_sniper_multi_kill_rounds,0.037,0.055,148.649
ct_opening_deaths_traded_percentage,0.199,0.054,27.136
ct_sniper_opening_kills_per_round,0.031,0.049,158.065
ct_opening_attempts,0.205,0.04,19.512
ct_saves_per_round_loss,0.115,0.038,33.043
ct_rounds_with_a_kill,0.504,0.036,7.143
ct_assists_per_round,0.155,0.035,22.581
ct_support_rounds,0.192,0.034,17.708
ct_assisted_kills_percentage,0.206,0.029,14.078
ct_opening_kills_per_round,0.121,0.029,23.967
ct_rounds_with_a_multi_kill,0.189,0.028,14.815
ct_traded_deaths_percentage,0.18,0.026,14.444
ct_trade_kills_percentage,0.155,0.022,14.194
ct_last_alive_percentage,0.087,0.021,24.138
ct_opening_deaths_per_round,0.085,0.02,23.529
ct_trade_kills_per_round,0.117,0.02,17.094
ct_traded_deaths_per_round,0.11,0.018,16.364
ct_saved_teammate_per_round,0.075,0.014,18.667
ct_saved_by_teammate_per_round,0.072,0.013,18.056
ct_flash_assists_per_round,0.036,0.013,36.111
ct_clutch_points_per_round,0.016,0.007,43.75
ct_pistol_round_rating,0.041,0.007,17.073
ct_kills_per_round_win,0.053,0.006,11.321
ct_kills_per_round,0.015,0.005,33.333
ct_1on1_win_percentage,0.0,0.0,0.0
ct_attacks_per_round,0.0,0.0,0.0
