full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,map,age,ct_firepower,ct_kills_per_round,ct_rounds_with_a_kill,ct_kills_per_round_win,ct_rating_1.0,ct_damage_per_round,ct_rounds_with_a_multi_kill,ct_damage_per_round_win,ct_pistol_round_rating,ct_entrying,ct_saved_by_teammate_per_round,ct_traded_deaths_per_round,ct_traded_deaths_percentage,ct_opening_deaths_traded_percentage,ct_assists_per_round,ct_support_rounds,ct_trading,ct_saved_teammate_per_round,ct_trade_kills_per_round,ct_trade_kills_percentage,ct_assisted_kills_percentage,ct_damage_per_kill,ct_opening,ct_opening_kills_per_round,ct_opening_deaths_per_round,ct_opening_attempts,ct_opening_success,ct_win_after_opening_kill,ct_attacks_per_round,ct_clutching,ct_clutch_points_per_round,ct_last_alive_percentage,ct_1on1_win_percentage,ct_time_alive_per_round,ct_saves_per_round_loss,ct_sniping,ct_sniper_kills_per_round,ct_sniper_kills_percentage,ct_rounds_with_sniper_kills_percentage,ct_sniper_multi_kill_rounds,ct_sniper_opening_kills_per_round,ct_utility,ct_utility_damage_per_round,ct_utility_kills_per_100_rounds,ct_flashes_thrown_per_round,ct_flash_assists_per_round,ct_time_opponent_flashed_per_round,t_firepower,t_kills_per_round,t_rounds_with_a_kill,t_kills_per_round_win,t_rating_1.0,t_damage_per_round,t_rounds_with_a_multi_kill,t_damage_per_round_win,t_pistol_round_rating,t_entrying,t_saved_by_teammate_per_round,t_traded_deaths_per_round,t_traded_deaths_percentage,t_opening_deaths_traded_percentage,t_assists_per_round,t_support_rounds,t_trading,t_saved_teammate_per_round,t_trade_kills_per_round,t_trade_kills_percentage,t_assisted_kills_percentage,t_damage_per_kill,t_opening,t_opening_kills_per_round,t_opening_deaths_per_round,t_opening_attempts,t_opening_success,t_win_after_opening_kill,t_attacks_per_round,t_clutching,t_clutch_points_per_round,t_last_alive_percentage,t_1on1_win_percentage,t_time_alive_per_round,t_saves_per_round_loss,t_sniping,t_sniper_kills_per_round,t_sniper_kills_percentage,t_rounds_with_sniper_kills_percentage,t_sniper_multi_kill_rounds,t_sniper_opening_kills_per_round,t_utility,t_utility_damage_per_round,t_utility_kills_per_100_rounds,t_flashes_thrown_per_round,t_flash_assists_per_round,t_time_opponent_flashed_per_round,team,player_name,ct_role
https://www.hltv.org/stats/players/2553/snax?maps=de_mirage,0.54,0.01,0.47,0.05,0.01,0.72,0.16,0,0,0.03,0.07,0.08,0.12,0.14,0.12,0.18,0.05,0.07,0.08,0.12,0.19,0.72,0.58,0.11,0.1,0,0.51,0.74,0.02,0.54,0.03,0.08,0,0.72,0.06,0.39,0.15,0.22,0.12,0.04,0.03,0.36,0,1.05,0.48,0.02,1.67,de_mirage,31,0.53,0.01,0.49,0.05,0.01,0.74,0.18,0.33,0.04,0.04,0.04,0.06,0.11,0.11,0.12,0.14,0.05,0.04,0.07,0.1,0.21,0.7,0.5,0.11,0.07,0.18,0.6,0.77,0,0.65,0.03,0.08,0,0.73,0.12,0.56,0.2,0.41,0.17,0.06,0.05,0.32,0.45,0.8,0.34,0.02,1.77,0.5,0.01,0.45,0.05,0.01,0.69,0.15,0.36,0.03,0.04,0.06,0.09,0.13,0.15,0.12,0.1,0.08,0.06,0.09,0.14,0.18,0.75,0.62,0.1,0.13,0.23,0.43,0.71,0,0.46,0.03,0.09,0,0.7,0.02,0.25,0.08,0.17,0.07,0.02,0.02,0.38,0.26,0.42,0.62,0.03,1.62,other,Snax,b_anchor
https://www.hltv.org/stats/players/7998/s1mple?maps=de_mirage,0.98,0.02,0.55,0.06,0.01,0.86,0.23,0,0,0.04,0.07,0.08,0.13,0.12,0.1,0.13,0.22,0.1,0.11,0.13,0.16,0.75,0.86,0.14,0.08,0,0.64,0.76,0.02,0.59,0.03,0.1,0,0.88,0.08,0.93,0.39,0.44,0.29,0.11,0.09,0.3,0,0.5,0.52,0.03,1.78,de_mirage,27,0.97,0.02,0.57,0.06,0.01,0.9,0.25,0.48,0.05,0.1,0.05,0.08,0.14,0.1,0.11,0.12,0.16,0.07,0.1,0.1,0.17,0.75,0.9,0.17,0.08,0.25,0.69,0.75,0,0.54,0.02,0.08,0,0.83,0.14,0.93,0.38,0.55,0.35,0.15,0.12,0.22,0.23,0.46,0.34,0.02,1.93,0.96,0.02,0.52,0.06,0.01,0.82,0.21,0.48,0.04,0.03,0.06,0.09,0.13,0.14,0.09,0.09,0.23,0.09,0.13,0.16,0.15,0.76,0.7,0.11,0.09,0.2,0.57,0.77,0,0.63,0.04,0.12,0,0.92,0.04,0.92,0.23,0.37,0.22,0.07,0.06,0.38,0.15,0.43,0.7,0.04,1.71,Faze,s1mple,ct_all_round
https://www.hltv.org/stats/players/3741/niko?maps=de_mirage,0.97,0.02,0.52,0.06,0.01,0.87,0.21,0,0,0.08,0.08,0.1,0.15,0.15,0.14,0.14,0.16,0.09,0.11,0.14,0.15,0.9,0.87,0.14,0.11,0,0.55,0.75,0.03,0.45,0.02,0.08,0,0.9,0.05,0.08,0.05,0.06,0.04,0.01,0.01,0.48,0,0.71,0.61,0.03,1.84,de_mirage,28,0.98,0.02,0.55,0.06,0.01,0.96,0.24,0.57,0.05,0.22,0.07,0.1,0.16,0.14,0.18,0.13,0.21,0.07,0.1,0.12,0.16,0.92,0.9,0.18,0.12,0.3,0.6,0.74,0,0.35,0.01,0.05,0,0.87,0.08,0.06,0.03,0.04,0.04,0.02,0.01,0.38,0.49,0.86,0.36,0.02,2.13,0.87,0.02,0.49,0.06,0.01,0.79,0.19,0.49,0.03,0.05,0.06,0.1,0.14,0.16,0.1,0.11,0.17,0.08,0.12,0.16,0.14,0.88,0.65,0.11,0.11,0.21,0.49,0.76,0,0.53,0.03,0.11,0,0.92,0.02,0.09,0.03,0.06,0.03,0.01,0.006,0.49,0.22,0.5,0.82,0.04,1.71,Falcons,NiKo,a_connector
https://www.hltv.org/stats/players/3972/hunter?maps=de_mirage,0.94,0.02,0.52,0.06,0.01,0.86,0.2,0,0,0.37,0.09,0.13,0.2,0.23,0.14,0.16,0.42,0.1,0.15,0.19,0.18,1.08,0.62,0.11,0.1,0,0.53,0.74,0.03,0.45,0.02,0.09,0,1.05,0.06,0.01,0.01,0.02,0.01,0.003,0.002,0.72,0,1.38,0.66,0.03,1.8,de_mirage,29,0.93,0.02,0.54,0.06,0.01,0.9,0.22,0.6,0.04,0.47,0.08,0.12,0.19,0.25,0.16,0.19,0.49,0.09,0.14,0.16,0.2,1.07,0.55,0.12,0.07,0.19,0.61,0.74,0,0.42,0.01,0.08,0,1.07,0.12,0.02,0.02,0.02,0.01,0.005,0.004,0.69,0.85,1.93,0.43,0.03,2.47,0.89,0.02,0.49,0.06,0.01,0.81,0.19,0.59,0.03,0.33,0.1,0.14,0.2,0.22,0.12,0.13,0.43,0.11,0.16,0.21,0.15,1.08,0.64,0.1,0.12,0.22,0.47,0.75,0,0.47,0.03,0.1,0,1.05,0.01,0.01,0.01,0.01,0.01,0.001,0.0,0.58,0.33,0.81,0.86,0.03,1.47,G2,huNter-,b_short
https://www.hltv.org/stats/players/11617/malbsmd?maps=de_mirage,0.94,0.02,0.52,0.06,0.01,0.84,0.2,0,0,0.64,0.11,0.15,0.22,0.24,0.14,0.14,0.37,0.1,0.14,0.18,0.18,1.06,0.84,0.13,0.12,0,0.53,0.76,0.03,0.35,0.02,0.08,0,0.97,0.03,0.0,0.0,0.0,0.0,0.0002,0.0,0.55,0,1.02,0.58,0.03,2.2,de_mirage,22,0.9,0.02,0.53,0.06,0.01,0.88,0.21,0.59,0.04,0.41,0.08,0.12,0.18,0.18,0.17,0.18,0.29,0.07,0.12,0.14,0.2,1.07,0.72,0.13,0.08,0.22,0.61,0.77,0,0.46,0.02,0.08,0,0.98,0.06,0.0,0.0,0.0,0.0,0.0004,0.0,0.65,0.54,1.12,0.49,0.04,2.93,0.91,0.02,0.51,0.06,0.01,0.81,0.19,0.6,0.04,0.73,0.13,0.19,0.25,0.28,0.11,0.09,0.51,0.12,0.17,0.22,0.17,1.05,0.84,0.13,0.15,0.28,0.47,0.74,0,0.29,0.02,0.07,0,0.95,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.32,0.92,0.64,0.03,1.64,G2,malbsMd,a_connector
https://www.hltv.org/stats/players/19230/m0nesy?maps=de_mirage,0.92,0.02,0.53,0.06,0.01,0.81,0.2,0,0,0.15,0.07,0.11,0.18,0.23,0.1,0.16,0.49,0.09,0.16,0.2,0.18,1.01,0.83,0.14,0.09,0,0.61,0.75,0.02,0.64,0.03,0.11,0,1.18,0.08,0.94,0.44,0.54,0.34,0.12,0.1,0.53,0,0.55,0.67,0.06,2.43,de_mirage,20,0.91,0.02,0.56,0.06,0.01,0.86,0.22,0.59,0.04,0.22,0.06,0.1,0.17,0.16,0.11,0.17,0.46,0.07,0.14,0.17,0.19,1.0,0.87,0.16,0.08,0.24,0.68,0.74,0,0.63,0.02,0.08,0,1.17,0.14,0.94,0.52,0.61,0.41,0.15,0.13,0.44,0.29,0.58,0.43,0.05,2.83,0.85,0.02,0.5,0.06,0.01,0.76,0.18,0.57,0.04,0.19,0.08,0.12,0.18,0.28,0.09,0.14,0.58,0.12,0.18,0.24,0.18,1.02,0.69,0.11,0.09,0.2,0.54,0.75,0,0.64,0.03,0.14,0,1.2,0.03,0.95,0.35,0.46,0.28,0.09,0.06,0.61,0.22,0.52,0.92,0.08,2.25,Falcons,m0NESY,ct_all_round
https://www.hltv.org/stats/players/7716/chopper?maps=de_mirage,0.36,0.01,0.43,0.05,0.01,0.7,0.15,0,0,0.44,0.09,0.14,0.2,0.23,0.13,0.19,0.08,0.07,0.09,0.15,0.19,1.09,0.46,0.09,0.11,0,0.45,0.75,0.02,0.48,0.02,0.08,0,1.03,0.06,0.0,0.01,0.01,0.0,0.0009,0.001,0.53,0,0.69,0.72,0.04,2.13,de_mirage,28,0.37,0.01,0.46,0.05,0.01,0.74,0.16,0.48,0.04,0.61,0.08,0.13,0.21,0.24,0.15,0.22,0.14,0.06,0.09,0.13,0.2,1.09,0.4,0.1,0.1,0.19,0.5,0.72,0,0.63,0.02,0.07,0,1.02,0.1,0.0,0.0,0.0,0.0,0.0002,0.0005,0.58,0.4,0.83,0.57,0.03,2.62,0.33,0.01,0.41,0.05,0.01,0.66,0.14,0.49,0.03,0.3,0.1,0.14,0.2,0.22,0.12,0.15,0.15,0.08,0.1,0.18,0.17,1.08,0.54,0.09,0.13,0.22,0.41,0.77,0,0.38,0.02,0.1,0,1.05,0.02,0.01,0.0,0.01,0.0,0.001,0.001,0.5,0.19,0.49,0.86,0.05,1.8,Spirit,chopper,a_anchor
https://www.hltv.org/stats/players/16920/sh1ro?maps=de_mirage,0.9,0.02,0.52,0.06,0.01,0.8,0.2,0,0,0.13,0.08,0.09,0.17,0.21,0.1,0.18,0.62,0.11,0.17,0.21,0.19,1.01,0.61,0.11,0.06,0,0.67,0.78,0.02,0.84,0.03,0.15,0,1.2,0.13,0.95,0.45,0.56,0.36,0.12,0.1,0.52,0,0.88,0.68,0.06,2.12,de_mirage,23,0.94,0.02,0.56,0.06,0.01,0.86,0.23,0.58,0.05,0.31,0.07,0.09,0.18,0.21,0.11,0.18,0.62,0.1,0.15,0.18,0.2,0.99,0.87,0.16,0.06,0.22,0.73,0.8,0,0.72,0.02,0.11,0,1.15,0.19,0.95,0.58,0.66,0.44,0.18,0.15,0.4,0.35,1.17,0.41,0.04,2.36,0.77,0.02,0.49,0.05,0.01,0.75,0.17,0.52,0.04,0.11,0.08,0.1,0.16,0.22,0.09,0.18,0.62,0.12,0.19,0.26,0.19,1.03,0.31,0.07,0.05,0.12,0.57,0.72,0,0.86,0.05,0.18,0,1.23,0.07,0.94,0.34,0.46,0.28,0.08,0.05,0.57,0.22,0.62,0.88,0.07,2.01,Spirit,sh1ro,ct_all_round
https://www.hltv.org/stats/players/18317/magixx?maps=de_mirage,0.29,0.01,0.44,0.04,0.01,0.69,0.14,0,0,0.42,0.08,0.13,0.21,0.3,0.12,0.22,0.26,0.08,0.12,0.2,0.18,1.11,0.29,0.08,0.08,0,0.5,0.74,0.02,0.49,0.02,0.1,0,1.17,0.11,0.02,0.02,0.03,0.02,0.003,0.001,0.55,0,0.8,0.59,0.03,2.27,de_mirage,21,0.32,0.01,0.47,0.04,0.01,0.73,0.14,0.48,0.04,0.36,0.07,0.1,0.19,0.26,0.14,0.26,0.29,0.07,0.11,0.16,0.19,1.11,0.3,0.09,0.06,0.15,0.57,0.73,0,0.61,0.02,0.1,0,1.15,0.17,0.03,0.03,0.04,0.02,0.005,0.002,0.68,0.58,0.94,0.53,0.03,2.72,0.28,0.01,0.42,0.04,0.01,0.64,0.13,0.45,0.03,0.5,0.1,0.15,0.23,0.33,0.1,0.18,0.36,0.1,0.14,0.23,0.16,1.1,0.34,0.07,0.09,0.17,0.44,0.75,0,0.41,0.02,0.11,0,1.18,0.05,0.01,0.01,0.01,0.01,0.0004,0.0,0.45,0.27,0.65,0.66,0.03,1.91,Spirit,magixx,b_anchor
https://www.hltv.org/stats/players/20423/zont1x?maps=de_mirage,0.69,0.01,0.48,0.05,0.01,0.78,0.17,0,0,0.36,0.09,0.13,0.2,0.22,0.17,0.21,0.38,0.1,0.14,0.2,0.21,1.12,0.45,0.09,0.09,0,0.52,0.75,0.03,0.56,0.03,0.09,0,1.07,0.06,0.0,0.0,0.01,0.0,0.0003,0.0,0.5,0,1.45,0.43,0.03,2.35,de_mirage,19,0.81,0.02,0.5,0.05,0.01,0.86,0.2,0.57,0.04,0.42,0.08,0.11,0.19,0.19,0.2,0.22,0.51,0.09,0.13,0.17,0.23,1.11,0.43,0.1,0.07,0.17,0.59,0.75,0,0.7,0.03,0.08,0,1.05,0.1,0.0,0.0,0.0,0.0,0.0005,0.0,0.53,0.72,1.61,0.27,0.03,2.87,0.45,0.01,0.44,0.04,0.01,0.7,0.14,0.49,0.04,0.37,0.1,0.14,0.21,0.24,0.14,0.19,0.38,0.1,0.14,0.23,0.19,1.13,0.47,0.09,0.1,0.19,0.46,0.76,0,0.46,0.02,0.1,0,1.1,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.47,0.31,1.28,0.58,0.03,2.1,Spirit,zont1x,b_short
