Feature,Mean,Std,Std/Mean (%)
utility_kills_per_100_rounds,0.862,0.326,37.819
time_opponent_flashed_per_round,2.114,0.257,12.157
sniper_kills_percentage,0.14,0.208,148.571
sniper_kills_per_round,0.103,0.155,150.485
flashes_thrown_per_round,0.606,0.144,23.762
rounds_with_sniper_kills_percentage,0.079,0.119,150.633
time_alive_per_round,1.025,0.097,9.463
damage_per_kill,1.061,0.085,8.011
opening_success,0.522,0.061,11.686
damage_per_round,0.768,0.056,7.292
opening_deaths_traded_percentage,0.231,0.051,22.078
sniper_multi_kill_rounds,0.027,0.042,155.556
win_after_opening_kill,0.733,0.036,4.911
sniper_opening_kills_per_round,0.022,0.035,159.091
assists_per_round,0.139,0.03,21.583
rounds_with_a_kill,0.478,0.029,6.067
assisted_kills_percentage,0.198,0.028,14.141
trade_kills_percentage,0.186,0.026,13.978
traded_deaths_percentage,0.187,0.025,13.369
saves_per_round_loss,0.068,0.025,36.765
last_alive_percentage,0.102,0.025,24.51
support_rounds,0.174,0.024,13.793
opening_deaths_per_round,0.097,0.021,21.649
trade_kills_per_round,0.131,0.021,16.031
rounds_with_a_multi_kill,0.174,0.021,12.069
opening_kills_per_round,0.106,0.02,18.868
traded_deaths_per_round,0.123,0.019,15.447
flash_assists_per_round,0.039,0.015,38.462
saved_teammate_per_round,0.091,0.014,15.385
saved_by_teammate_per_round,0.086,0.012,13.953
clutch_points_per_round,0.022,0.007,31.818
attacks_per_round,0.026,0.005,19.231
kills_per_round_win,0.051,0.005,9.804
kills_per_round,0.015,0.005,33.333
opening_attempts,0.0,0.0,0.0
1on1_win_percentage,0.0,0.0,0.0
pistol_round_rating,0.0,0.0,0.0
damage_per_round_win,0.0,0.0,0.0
utility_damage_per_round,0.0,0.0,0.0
