full_url,player,firepower,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,clutching,utility
https://www.hltv.org/stats/players/11893/zywoo,ZywOo,98/100,0.84,87.4,113.2,53.1%,,22.3%,42/100,0.09,0.13,24.7%,24.7%,0.13,16.7%,89/100,0.15,0.09,24.3%,61.9%,73.6%,2.45,87/100,76/100,61/100
https://www.hltv.org/stats/players/3741/niko,NiKo,94/100,0.79,85.4,95.6,50.8%,,20.3%,11/100,0.08,0.10,16.6%,16.6%,0.14,15.5%,86/100,0.14,0.12,25.6%,54.9%,73.2%,2.84,11/100,43/100,64/100
https://www.hltv.org/stats/players/8183/rain,rain,73/100,0.70,79.3,90.6,46.9%,,17.4%,35/100,0.10,0.13,21.3%,21.3%,0.15,16.6%,77/100,0.12,0.13,25.2%,49.2%,74.9%,2.76,0/100,28/100,39/100
https://www.hltv.org/stats/players/11816/ropz,ropz,80/100,0.74,78.3,99.4,49.3%,,18.5%,8/100,0.07,0.10,17.8%,17.8%,0.11,19.3%,47/100,0.10,0.08,17.6%,55.4%,73.5%,2.54,5/100,61/100,22/100
https://www.hltv.org/stats/players/429/karrigan,karrigan,29/100,0.61,67.9,64.2,42.5%,,14.4%,15/100,0.09,0.10,17.5%,17.5%,0.14,18.2%,52/100,0.10,0.13,22.4%,44.0%,73.7%,2.63,11/100,27/100,63/100
https://www.hltv.org/stats/players/18987/b1t,b1t,68/100,0.70,75.8,97.4,47.5%,,17.3%,42/100,0.09,0.13,23.0%,23.0%,0.13,19.1%,69/100,0.12,0.10,21.6%,53.6%,74.5%,2.51,1/100,45/100,55/100
https://www.hltv.org/stats/players/9816/aleksib,Aleksib,36/100,0.62,72.2,91.8,43.5%,,14.4%,64/100,0.11,0.15,27.1%,27.1%,0.17,20.8%,46/100,0.09,0.11,20.2%,46.7%,74.1%,3.10,3/100,35/100,92/100
https://www.hltv.org/stats/players/20903/senzu,Senzu,83/100,0.74,80.3,105.5,48.3%,,18.6%,33/100,0.09,0.13,23.8%,23.8%,0.18,16.5%,80/100,0.13,0.11,24.1%,52.4%,76.0%,2.57,11/100,44/100,37/100
https://www.hltv.org/stats/players/20194/blitz,bLitz,83/100,0.73,82.6,105.7,48.7%,,18.2%,37/100,0.09,0.13,22.9%,22.9%,0.18,17.2%,65/100,0.11,0.11,22.1%,50.5%,72.8%,3.08,4/100,44/100,88/100
https://www.hltv.org/stats/players/21001/mzinho,mzinho,48/100,0.65,72.4,92.2,44.3%,,15.7%,53/100,0.10,0.14,27.5%,27.5%,0.17,20.6%,33/100,0.08,0.09,17.4%,47.7%,76.6%,2.46,0/100,43/100,46/100
https://www.hltv.org/stats/players/20275/techno,Techno,55/100,0.67,73.4,95.0,45.4%,,16.3%,65/100,0.10,0.15,28.8%,28.8%,0.14,18.0%,43/100,0.09,0.11,20.0%,46.4%,73.9%,2.66,0/100,48/100,41/100
https://www.hltv.org/stats/players/7938/xantares,XANTARES,97/100,0.81,89.1,108.7,51.5%,,21.2%,38/100,0.10,0.13,21.6%,21.6%,0.16,15.4%,88/100,0.14,0.11,25.2%,56.4%,74.9%,3.16,0/100,33/100,58/100
https://www.hltv.org/stats/players/19206/jl,jL,79/100,0.73,78.7,102.0,48.5%,,18.2%,44/100,0.09,0.14,24.5%,24.5%,0.14,17.1%,60/100,0.11,0.10,20.7%,52.0%,74.1%,2.70,12/100,47/100,56/100
https://www.hltv.org/stats/players/18221/spinx,Spinx,79/100,0.73,78.0,99.1,48.9%,,18.4%,30/100,0.09,0.12,24.0%,24.0%,0.13,18.3%,51/100,0.10,0.09,18.8%,53.8%,72.9%,2.67,2/100,59/100,30/100
