full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age
https://www.hltv.org/stats/players/2553/snax?maps=all,0.6,0.69,46.9,0.96,1.02,73.8,16.7,68.8,0.95,0.07,0.08,0.09,13.2,15.1,0.14,17.6,0.06,0.08,0.09,12.5,19.0,78.0,0.61,0.11,0.11,21.4,50.8,73.2,2.64,0.48,0.02,8.6,62.6,0m 46s,6.7,0.31,0.13,19.4,10.3,0.03,0.03,0.51,4.72,1.13,0.51,0.03,2.02,Snax,all,31
https://www.hltv.org/stats/players/7998/s1mple?maps=all,0.97,0.85,54.0,1.16,1.24,85.3,22.4,89.6,1.21,0.06,0.08,0.09,14.0,12.0,0.1,14.2,0.26,0.11,0.12,14.4,16.8,80.0,0.87,0.14,0.09,23.3,61.6,74.9,2.14,0.56,0.03,10.0,64.0,0m 58s,8.8,0.88,0.32,38.1,23.8,0.09,0.08,0.37,2.47,0.51,0.56,0.03,2.03,s1mple,all,27
https://www.hltv.org/stats/players/3741/niko?maps=all,0.94,0.79,50.8,1.09,1.15,85.4,20.3,96.3,1.26,0.11,0.08,0.1,15.6,16.6,0.14,15.7,0.2,0.1,0.11,14.5,16.5,94.0,0.87,0.14,0.12,25.7,54.9,73.2,2.85,0.47,0.02,8.9,60.3,0m 57s,6.2,0.11,0.06,7.9,4.6,0.02,0.02,0.64,4.91,0.74,0.64,0.04,2.04,NiKo,all,28
https://www.hltv.org/stats/players/3972/hunter?maps=all,0.88,0.75,49.6,1.03,1.1,82.5,19.2,105.1,1.15,0.47,0.1,0.14,20.4,24.2,0.15,16.9,0.49,0.11,0.15,19.6,18.8,108.0,0.63,0.11,0.09,20.5,53.7,76.0,3.16,0.45,0.02,8.6,58.7,1m 6s,6.6,0.0,0.01,1.0,0.7,0.002,0.0007,0.69,5.64,1.09,0.62,0.03,2.04,huNter-,all,29
https://www.hltv.org/stats/players/11617/malbsmd?maps=all,0.87,0.75,49.0,1.05,1.14,81.3,19.3,107.4,1.26,0.69,0.11,0.16,22.1,26.3,0.15,15.2,0.41,0.11,0.14,18.2,18.9,108.0,0.81,0.13,0.12,24.9,52.2,73.0,2.72,0.39,0.02,7.9,62.5,1m 1s,4.5,0.0,0.0,0.4,0.3,0.0004,0.0002,0.54,5.4,1.02,0.47,0.03,2.26,malbsMd,all,22
https://www.hltv.org/stats/players/19230/m0nesy?maps=all,0.89,0.79,51.4,1.05,1.24,79.8,20.1,102.9,1.27,0.26,0.09,0.11,18.9,23.4,0.11,18.1,0.51,0.11,0.15,19.6,18.8,102.0,0.82,0.14,0.08,21.6,62.9,74.9,1.99,0.67,0.03,11.2,58.4,1m 11s,9.8,0.93,0.39,49.2,28.7,0.1,0.09,0.58,2.87,0.55,0.7,0.08,2.54,m0NESY,all,19
https://www.hltv.org/stats/players/7716/chopper?maps=all,0.4,0.64,44.3,0.87,0.95,70.7,15.1,88.4,0.96,0.57,0.11,0.14,21.4,25.6,0.13,19.1,0.14,0.08,0.11,16.6,19.0,108.0,0.45,0.1,0.11,20.4,46.7,71.6,2.63,0.47,0.02,8.6,56.0,1m 6s,6.1,0.0,0.01,0.8,0.5,0.0008,0.0006,0.69,4.39,0.87,0.74,0.05,2.26,chopper,all,28
https://www.hltv.org/stats/players/16920/sh1ro?maps=all,0.85,0.77,51.3,1.01,1.25,78.3,19.3,98.0,1.27,0.15,0.08,0.1,17.8,20.8,0.11,20.7,0.61,0.11,0.16,21.4,19.8,101.0,0.59,0.11,0.06,16.8,66.2,77.2,2.12,0.87,0.04,14.7,64.9,1m 17s,16.1,0.94,0.43,54.9,33.2,0.11,0.09,0.65,3.92,0.86,0.71,0.07,2.37,sh1ro,all,23
https://www.hltv.org/stats/players/18317/magixx?maps=all,0.37,0.64,44.3,0.85,1.05,70.1,14.8,88.0,1.13,0.65,0.11,0.14,23.2,29.7,0.13,21.8,0.34,0.1,0.13,19.7,19.3,110.0,0.37,0.09,0.09,17.5,50.0,76.2,2.5,0.47,0.02,9.3,60.6,1m 12s,9.7,0.03,0.02,3.1,1.7,0.004,0.003,0.51,4.4,0.84,0.53,0.03,2.28,magixx,all,21
https://www.hltv.org/stats/players/20423/zont1x?maps=all,0.62,0.68,46.1,0.91,1.1,77.0,16.3,96.3,1.12,0.4,0.1,0.13,20.0,21.2,0.17,21.6,0.28,0.1,0.12,18.2,20.2,114.0,0.55,0.1,0.1,20.2,51.4,72.7,3.03,0.46,0.02,8.3,70.3,1m 8s,7.5,0.0,0.01,1.1,0.7,0.001,0.001,0.52,5.45,1.17,0.43,0.03,2.29,zont1x,all,19
https://www.hltv.org/stats/players/21167/donk?maps=all,0.99,0.85,53.3,1.17,1.29,89.5,22.6,116.7,1.39,0.65,0.11,0.15,22.3,24.6,0.16,15.7,0.72,0.15,0.18,20.7,19.8,105.0,0.89,0.14,0.11,25.5,56.5,74.6,2.85,0.38,0.02,6.5,68.8,1m 6s,7.4,0.01,0.01,1.4,1.0,0.003,0.001,0.28,3.61,0.61,0.4,0.02,1.99,donk,all,18
https://www.hltv.org/stats/players/9816/aleksib?maps=all,0.35,0.62,43.3,0.84,0.93,71.8,14.3,91.3,0.87,0.63,0.11,0.14,22.2,27.0,0.17,21.0,0.31,0.09,0.12,19.7,21.6,116.0,0.46,0.09,0.11,20.2,46.7,73.9,3.08,0.41,0.02,8.6,55.3,1m 8s,6.7,0.02,0.02,3.0,1.5,0.004,0.003,0.92,8.04,1.94,0.81,0.07,2.45,Aleksib,all,28
https://www.hltv.org/stats/players/14759/im?maps=all,0.82,0.73,48.7,1.03,1.12,81.4,18.2,107.1,1.15,0.37,0.09,0.13,19.4,23.6,0.14,16.0,0.23,0.09,0.13,17.2,17.5,111.0,0.71,0.12,0.11,23.0,51.5,72.0,2.96,0.46,0.02,9.0,59.6,1m 4s,5.7,0.0,0.01,1.0,0.6,0.001,0.0005,0.38,3.67,0.64,0.47,0.03,2.17,iM,all,25
https://www.hltv.org/stats/players/18987/b1t?maps=all,0.68,0.7,47.6,0.96,1.12,75.9,17.3,97.6,1.24,0.42,0.09,0.13,20.7,22.7,0.13,19.2,0.33,0.1,0.13,18.5,19.0,108.0,0.69,0.12,0.1,21.5,53.7,74.3,2.51,0.48,0.02,8.1,59.3,1m 12s,9.2,0.01,0.01,1.8,1.0,0.003,0.002,0.54,3.93,0.62,0.62,0.04,2.12,b1t,all,22
https://www.hltv.org/stats/players/19206/jl?maps=all,0.78,0.72,48.4,1.0,1.12,78.7,18.2,101.9,1.11,0.44,0.09,0.14,20.3,24.6,0.15,17.3,0.36,0.1,0.14,18.8,19.6,108.0,0.6,0.11,0.1,20.7,51.8,74.1,2.71,0.52,0.02,8.6,69.3,1m 9s,6.1,0.12,0.07,9.0,4.9,0.02,0.01,0.56,4.61,0.87,0.56,0.04,2.25,jL,all,25
