full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr
https://www.hltv.org/stats/players/21879/a1pha,A1pha,United States,21 years,No team,1/100,0.65,0.43,59.0,76.4,35.6%,0.49,6.3%,70/100,0.11,0.18,21.2%,21.2%,0.16,14.9%,35/100,0.07,0.19,26.4%,28.3%,46.2%,2.17,5/100,0.03,6.7%,2.3%,0.006,0.0,20/100,0.05,0.09,21.3%,21.3%,137,23/100,0.01,6.9%,100.0%,0m 52s,0.8%,27/100,2.15,0.57,0.47,0.02,2.14
https://www.hltv.org/stats/players/24394/aapestt,Aapestt,Mongolia,18 years,No team,47/100,0.88,0.65,67.6,108.9,43.5%,0.91,17.4%,21/100,0.12,0.09,7.7%,7.7%,0.16,18.8%,28/100,0.06,0.19,24.6%,23.5%,50.0%,2.49,0/100,0.00,0.0%,-,0.0,0.0,99/100,0.16,0.23,35.6%,37.8%,104,85/100,0.04,15.9%,100.0%,0m 57s,4.8%,34/100,6.42,0.0,0.20,0.0,1.44
https://www.hltv.org/stats/players/13317/aaron,Aaron,Hungary,25 years,JiJieHao,67/100,1.04,0.69,77.6,103.5,46.5%,1.04,16.9%,53/100,0.10,0.15,24.4%,24.4%,0.17,15.7%,64/100,0.11,0.13,23.8%,46.1%,72.4%,2.84,2/100,0.02,2.3%,1.2%,0.004,0.001,30/100,0.10,0.13,18.4%,21.0%,113,36/100,0.02,9.1%,60.6%,1m 0s,4.9%,80/100,5.84,0.99,0.79,0.04,2.20full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr
https://www.hltv.org/stats/players/24394/aapestt,Aapestt,Mongolia,18 years,No team,47/100,0.88,0.65,67.6,108.9,43.5%,0.91,17.4%,21/100,0.12,0.09,7.7%,7.7%,0.16,18.8%,28/100,0.06,0.19,24.6%,23.5%,50.0%,2.49,0/100,0.00,0.0%,-,0.0,0.0,99/100,0.16,0.23,35.6%,37.8%,104,85/100,0.04,15.9%,100.0%,0m 57s,4.8%,34/100,6.42,0.0,0.20,0.0,1.44
https://www.hltv.org/stats/players/17562/abdi,abdi,Sweden,33 years,Metizport,5/100,0.75,0.50,59.1,76.0,36.9%,0.76,11.4%,39/100,0.09,0.14,23.4%,23.4%,0.13,19.7%,12/100,0.06,0.11,16.9%,36.0%,61.1%,2.24,4/100,0.03,5.7%,1.7%,0.003,0.005,26/100,0.09,0.10,20.6%,22.3%,118,37/100,0.02,8.5%,40.0%,1m 0s,6.1%,41/100,4.75,0.34,0.41,0.03,2.14
https://www.hltv.org/stats/players/23511/abiijxk,Abiijxk,Uruguay,20 years,No team,1/100,0.67,0.45,57.9,90.1,32.7%,0.70,8.9%,55/100,0.11,0.16,25.0%,25.0%,0.15,14.7%,21/100,0.06,0.14,20.8%,30.7%,43.5%,2.57,0/100,0.00,0.0%,-,0.0,0.0,60/100,0.11,0.12,26.5%,29.0%,129,53/100,0.02,14.1%,50.0%,0m 52s,1.2%,11/100,2.72,0.28,0.15,0.01,2.03
https://www.hltv.org/stats/players/21445/abiraju,abiraju,Russia,23 years,No team,53/100,1.03,0.67,75.2,99.7,46.2%,1.36,15.4%,58/100,0.12,0.14,27.8%,27.8%,0.16,17.2%,39/100,0.09,0.09,18.2%,49.3%,74.3%,2.68,3/100,0.03,3.8%,1.5%,0.005,0.005,29/100,0.11,0.11,16.9%,16.2%,113,46/100,0.02,12.6%,83.3%,1m 0s,8.1%,24/100,3.09,0.77,0.41,0.02,1.74
https://www.hltv.org/stats/players/20451/abizz,abizz,Argentina,20 years,ShindeN,40/100,0.95,0.64,71.0,95.8,43.7%,1.07,15.1%,31/100,0.09,0.13,25.1%,25.1%,0.13,17.0%,24/100,0.08,0.10,17.5%,42.9%,72.9%,2.60,1/100,0.01,2.0%,1.1%,0.002,0.001,30/100,0.09,0.12,19.6%,19.1%,112,50/100,0.02,12.6%,63.1%,1m 4s,4.7%,73/100,5.13,0.94,0.68,0.04,2.49
https://www.hltv.org/stats/players/20531/abm,ABM,Argentina,28 years,No team,37/100,0.96,0.62,71.4,95.7,41.9%,1.01,14.9%,70/100,0.11,0.16,28.5%,28.5%,0.13,17.6%,28/100,0.08,0.11,18.7%,42.9%,68.9%,2.82,0/100,0.00,0.2%,0.1%,0.0,0.0,34/100,0.09,0.13,20.7%,17.9%,116,44/100,0.02,10.1%,66.7%,1m 3s,5.2%,47/100,3.87,0.55,0.55,0.03,2.28
https://www.hltv.org/stats/players/24188/abp,abp,Canada,24 years,No team,38/100,1.06,0.62,79.4,96.5,50.0%,1.99,10.0%,72/100,0.10,0.20,0.0%,0.0%,0.25,22.5%,23/100,0.08,0.02,10.0%,75.0%,0.0%,3.05,0/100,0.00,0.0%,-,0.0,0.0,27/100,0.07,0.12,20.0%,20.0%,127,61/100,0.02,15.0%,100.0%,0m 59s,0.0%,12/100,2.58,0.0,0.20,0.02,2.34
