full_url,player_name,game_version,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_3.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,map,age,ct_firepower,ct_kills_per_round,ct_rounds_with_a_kill,ct_kills_per_round_win,ct_rating_3.0,ct_damage_per_round,ct_rounds_with_a_multi_kill,ct_damage_per_round_win,ct_pistol_round_rating,ct_entrying,ct_saved_by_teammate_per_round,ct_traded_deaths_per_round,ct_traded_deaths_percentage,ct_opening_deaths_traded_percentage,ct_assists_per_round,ct_support_rounds,ct_trading,ct_saved_teammate_per_round,ct_trade_kills_per_round,ct_trade_kills_percentage,ct_assisted_kills_percentage,ct_damage_per_kill,ct_opening,ct_opening_kills_per_round,ct_opening_deaths_per_round,ct_opening_attempts,ct_opening_success,ct_win_after_opening_kill,ct_attacks_per_round,ct_clutching,ct_clutch_points_per_round,ct_last_alive_percentage,ct_1on1_win_percentage,ct_time_alive_per_round,ct_saves_per_round_loss,ct_sniping,ct_sniper_kills_per_round,ct_sniper_kills_percentage,ct_rounds_with_sniper_kills_percentage,ct_sniper_multi_kill_rounds,ct_sniper_opening_kills_per_round,ct_utility,ct_utility_damage_per_round,ct_utility_kills_per_100_rounds,ct_flashes_thrown_per_round,ct_flash_assists_per_round,ct_time_opponent_flashed_per_round,t_firepower,t_kills_per_round,t_rounds_with_a_kill,t_kills_per_round_win,t_rating_3.0,t_damage_per_round,t_rounds_with_a_multi_kill,t_damage_per_round_win,t_pistol_round_rating,t_entrying,t_saved_by_teammate_per_round,t_traded_deaths_per_round,t_traded_deaths_percentage,t_opening_deaths_traded_percentage,t_assists_per_round,t_support_rounds,t_trading,t_saved_teammate_per_round,t_trade_kills_per_round,t_trade_kills_percentage,t_assisted_kills_percentage,t_damage_per_kill,t_opening,t_opening_kills_per_round,t_opening_deaths_per_round,t_opening_attempts,t_opening_success,t_win_after_opening_kill,t_attacks_per_round,t_clutching,t_clutch_points_per_round,t_last_alive_percentage,t_1on1_win_percentage,t_time_alive_per_round,t_saves_per_round_loss,t_sniping,t_sniper_kills_per_round,t_sniper_kills_percentage,t_rounds_with_sniper_kills_percentage,t_sniper_multi_kill_rounds,t_sniper_opening_kills_per_round,t_utility,t_utility_damage_per_round,t_utility_kills_per_100_rounds,t_flashes_thrown_per_round,t_flash_assists_per_round,t_time_opponent_flashed_per_round
https://www.hltv.org/stats/players/21266/1eer?maps=de_train&startDate=2023-09-27&endDate=2025-12-31,1eer,cs2,0.44,0.66,46.5,0.9,1.04,70.9,15.3,90.9,1.03,0.92,0.13,0.17,26.3,45.3,0.2,21.1,0.67,0.11,0.15,22.6,32.1,108.0,0.26,0.08,0.08,15.3,50.8,71.2,2.79,0.42,0.02,10.0,60.0,1m 6s,7.2,0.0,0.0,0.2,0.1,0.0,0.0,0.62,5.21,0.71,0.49,0.06,2.73,de_train,23,0.69,0.76,51.3,0.99,1.1,79.2,19.1,97.9,1.32,0.94,0.12,0.17,28.5,47.8,0.22,23.5,0.69,0.09,0.14,19.1,32.4,105.0,0.34,0.09,0.06,15.2,61.0,69.4,3.0,0.4,0.01,7.0,50.0,1m 5s,11.5,0.0,0.0,0.0,-,0.0,0.0,0.51,5.45,0.77,0.4,0.05,2.21,0.23,0.58,42.5,0.8,1.0,63.8,12.2,84.0,0.74,0.77,0.14,0.18,24.8,43.9,0.19,19.2,0.62,0.13,0.15,26.5,31.8,111.0,0.26,0.07,0.09,15.5,42.3,73.3,2.61,0.44,0.02,12.6,62.5,1m 7s,4.2,0.0,0.0,0.4,0.2,0.0,0.0,0.64,5.01,0.65,0.5,0.07,3.13
https://www.hltv.org/stats/players/21266/1eer?maps=de_nuke&startDate=2023-09-27&endDate=2025-12-31,1eer,cs2,0.45,0.67,47.3,1.0,0.98,75.3,13.4,98.1,1.17,0.77,0.11,0.16,23.2,35.0,0.19,17.0,0.59,0.09,0.15,22.8,30.7,113.0,0.4,0.09,0.07,16.3,56.5,73.1,3.06,0.5,0.02,9.5,0.0,1m 6s,5.5,0.0,0.0,0.0,-,0.0,0.0,0.35,4.82,0.71,0.17,0.01,2.93,de_nuke,23,0.55,0.72,47.5,1.08,1.02,82.1,15.4,108.8,1.26,0.93,0.12,0.18,26.9,28.6,0.25,19.1,0.48,0.08,0.12,16.4,31.9,115.0,0.6,0.12,0.09,20.4,57.6,78.9,3.3,0.08,0.0,7.4,0.0,1m 3s,6.4,0.0,0.0,0.0,-,0.0,0.0,0.19,4.3,0.0,0.15,0.008,2.56,0.27,0.6,47.1,0.87,0.94,66.4,10.7,81.1,1.08,0.33,0.1,0.13,18.6,50.0,0.12,14.0,0.73,0.11,0.2,32.9,28.8,110.0,0.21,0.06,0.05,10.7,53.8,57.1,2.75,0.83,0.05,12.4,0.0,1m 11s,4.4,0.0,0.0,0.0,-,0.0,0.0,0.52,5.52,1.65,0.24,0.02,3.15
https://www.hltv.org/stats/players/21266/1eer?maps=de_inferno&startDate=2023-09-27&endDate=2025-12-31,1eer,cs2,0.15,0.57,41.0,0.8,0.91,66.3,12.2,86.5,0.95,0.8,0.13,0.16,23.5,25.3,0.24,25.3,0.57,0.11,0.13,22.3,36.0,116.0,0.48,0.1,0.11,21.1,46.2,70.5,3.01,0.46,0.02,11.2,70.0,1m 14s,11.1,0.0,0.01,1.1,0.5,0.0008,0.0,0.76,9.03,2.26,0.54,0.05,2.55,de_inferno,23,0.32,0.64,42.5,0.91,0.93,72.8,15.5,95.7,0.85,0.87,0.12,0.15,23.5,30.0,0.25,28.2,0.6,0.1,0.11,17.7,36.8,114.0,0.43,0.1,0.1,20.6,49.3,67.6,3.35,0.59,0.02,11.6,50.0,1m 14s,17.8,0.0,0.01,0.9,0.4,0.001,0.0,0.84,10.44,2.09,0.47,0.06,3.23,0.07,0.5,39.4,0.68,0.88,59.7,8.9,77.2,1.05,0.63,0.13,0.17,23.5,21.2,0.23,22.3,0.58,0.12,0.14,28.2,35.0,120.0,0.54,0.09,0.12,21.6,43.3,73.8,2.66,0.38,0.02,10.9,100.0,1m 15s,4.1,0.0,0.01,1.2,0.6,0.0,0.0,0.72,7.58,2.45,0.62,0.04,2.03
https://www.hltv.org/stats/players/21266/1eer?maps=de_mirage&startDate=2023-09-27&endDate=2025-12-31,1eer,cs2,0.33,0.61,43.2,0.87,0.92,70.7,14.6,94.3,0.86,0.63,0.11,0.15,21.5,22.0,0.24,21.5,0.33,0.08,0.12,19.9,29.1,117.0,0.4,0.09,0.11,19.5,45.8,74.6,2.76,0.41,0.02,9.4,80.0,1m 3s,6.2,0.0,0.0,0.4,0.3,0.0,0.0,0.57,5.29,0.82,0.49,0.04,2.36,de_mirage,23,0.5,0.68,48.6,0.96,0.98,79.8,16.2,105.9,0.95,0.77,0.11,0.15,22.2,19.8,0.27,20.5,0.57,0.08,0.13,19.4,27.3,117.0,0.5,0.11,0.09,19.9,54.2,75.0,3.1,0.25,0.006,7.9,100.0,1m 2s,9.3,0.0,0.0,0.5,0.3,0.0,0.0,0.58,6.48,0.79,0.4,0.03,2.66,0.14,0.51,36.3,0.75,0.86,59.3,12.5,79.1,0.76,0.45,0.12,0.15,20.7,24.1,0.19,22.8,0.25,0.09,0.11,20.8,32.1,115.0,0.29,0.07,0.12,18.9,34.6,73.9,2.33,0.61,0.03,11.3,71.4,1m 5s,2.5,0.0,0.0,0.3,0.1,0.0,0.0,0.65,3.79,0.85,0.72,0.05,2.2
https://www.hltv.org/stats/players/21266/1eer?maps=de_dust2&startDate=2023-09-27&endDate=2025-12-31,1eer,cs2,0.21,0.57,40.5,0.79,0.93,69.3,13.0,88.9,0.95,0.77,0.14,0.15,22.1,27.9,0.25,23.9,0.48,0.11,0.12,20.7,30.9,121.0,0.2,0.07,0.09,15.6,44.6,75.0,2.8,0.5,0.02,7.6,53.8,1m 8s,7.3,0.0,0.0,0.5,0.3,0.0,0.0,0.91,8.11,1.24,0.76,0.06,2.63,de_dust2,23,0.36,0.63,43.1,0.9,0.95,77.8,14.9,101.2,1.02,0.68,0.11,0.13,19.6,24.3,0.29,23.4,0.65,0.11,0.12,18.8,31.4,124.0,0.24,0.08,0.08,15.8,49.0,77.5,3.28,0.51,0.02,7.0,44.4,1m 5s,11.1,0.0,0.0,0.2,0.1,0.0,0.0,0.92,12.25,1.53,0.6,0.06,2.83,0.11,0.52,37.7,0.68,0.91,60.2,10.9,76.5,0.88,0.77,0.16,0.17,24.7,31.2,0.22,24.4,0.41,0.12,0.12,23.1,30.1,117.0,0.22,0.06,0.09,15.4,39.8,71.7,2.29,0.5,0.03,8.3,75.0,1m 11s,3.0,0.0,0.0,0.9,0.5,0.0,0.0,0.77,3.7,0.93,0.96,0.06,2.5
https://www.hltv.org/stats/players/21266/1eer?maps=de_vertigo&startDate=2023-09-27&endDate=2025-12-31,1eer,cs2,0.38,0.6,39.7,0.83,0.97,70.1,15.9,91.7,0.79,0.88,0.14,0.17,24.3,28.8,0.24,23.5,0.58,0.09,0.14,23.4,30.7,117.0,0.19,0.07,0.08,15.0,48.0,66.7,2.91,0.74,0.03,12.0,66.7,1m 5s,5.9,0.0,0.0,0.5,0.3,0.0,0.0,0.86,8.9,1.95,0.61,0.06,3.16,de_vertigo,23,0.23,0.59,39.3,0.86,0.94,68.8,15.8,96.6,0.67,0.81,0.12,0.15,22.5,22.2,0.28,25.3,0.6,0.07,0.12,21.1,32.2,116.0,0.16,0.07,0.08,14.6,44.9,72.7,2.92,0.82,0.03,10.7,50.0,1m 4s,8.5,0.0,0.01,1.0,0.6,0.0,0.0,0.95,10.99,1.79,0.61,0.06,3.5,0.53,0.61,40.2,0.8,1.0,71.5,16.0,87.4,0.92,0.84,0.16,0.18,26.1,36.0,0.2,21.8,0.57,0.12,0.16,25.7,29.2,117.0,0.35,0.08,0.08,15.4,51.0,61.5,2.9,0.65,0.03,13.3,83.3,1m 6s,2.7,0.0,0.0,0.0,-,0.0,0.0,0.78,6.76,2.11,0.62,0.06,2.83
https://www.hltv.org/stats/players/21266/1eer?maps=de_ancient&startDate=2023-09-27&endDate=2025-12-31,1eer,cs2,0.4,0.63,44.1,0.85,1.0,73.1,14.6,93.1,0.99,0.87,0.14,0.17,24.4,25.5,0.25,22.4,0.54,0.11,0.13,21.2,30.5,116.0,0.42,0.09,0.09,18.2,50.3,78.6,3.11,0.59,0.03,10.6,66.7,1m 2s,5.6,0.0,0.0,0.2,0.1,0.0,0.0,0.69,6.75,0.8,0.54,0.04,2.3,de_ancient,23,0.41,0.66,45.4,0.92,0.99,77.3,15.7,100.1,0.98,0.86,0.13,0.15,23.8,22.0,0.29,24.6,0.56,0.09,0.12,17.8,30.7,118.0,0.49,0.11,0.09,19.5,55.0,75.5,3.39,0.36,0.01,9.1,61.9,0m 58s,8.2,0.0,0.0,0.1,0.1,0.0,0.0,0.53,8.11,0.35,0.27,0.03,2.85,0.4,0.61,43.0,0.79,1.02,69.4,13.6,87.0,1.0,0.76,0.15,0.18,25.0,28.4,0.21,20.5,0.53,0.12,0.15,24.4,30.2,114.0,0.4,0.08,0.09,17.1,45.6,82.3,2.88,0.7,0.04,11.8,71.4,1m 5s,3.3,0.0,0.0,0.2,0.1,0.0,0.0,0.77,5.56,1.2,0.73,0.05,2.1
https://www.hltv.org/stats/players/21266/1eer?maps=de_anubis&startDate=2023-09-27&endDate=2025-12-31,1eer,cs2,0.34,0.62,44.1,0.85,0.99,71.2,14.2,91.3,0.91,0.71,0.12,0.15,22.2,28.6,0.23,23.4,0.71,0.12,0.15,23.6,31.4,115.0,0.35,0.09,0.09,17.9,48.2,73.3,2.97,0.65,0.03,10.1,57.7,1m 9s,7.9,0.0,0.0,0.5,0.3,0.001,0.0,0.87,7.55,1.21,0.7,0.07,2.55,de_anubis,23,0.26,0.62,44.1,0.99,0.96,73.6,13.9,104.9,0.74,0.75,0.11,0.15,20.7,27.6,0.24,21.3,0.74,0.11,0.13,20.5,30.5,118.0,0.45,0.1,0.11,21.0,49.7,65.1,3.19,0.71,0.02,10.2,76.9,1m 6s,12.2,0.0,0.0,0.4,0.2,0.0,0.0,0.85,9.15,1.46,0.54,0.05,2.72,0.44,0.62,44.0,0.77,1.01,69.1,14.5,82.9,1.08,0.58,0.13,0.15,23.7,29.7,0.23,25.4,0.63,0.12,0.16,26.5,32.3,112.0,0.33,0.07,0.08,15.0,46.4,84.4,2.77,0.6,0.03,9.9,38.5,1m 11s,2.2,0.01,0.0,0.5,0.3,0.002,0.0,0.86,6.11,0.98,0.78,0.08,2.44
https://www.hltv.org/stats/players/21809/910?maps=de_nuke&startDate=2023-09-27&endDate=2025-12-31,910,cs2,0.55,0.69,48.0,0.9,1.01,70.6,16.5,86.4,0.93,0.13,0.08,0.1,16.0,23.9,0.12,18.4,0.37,0.1,0.13,18.9,25.8,102.0,0.53,0.1,0.09,18.7,54.3,76.3,1.82,0.67,0.03,15.2,52.4,1m 6s,7.0,0.92,0.34,48.7,24.4,0.08,0.06,0.35,2.4,0.44,0.49,0.03,2.72,de_nuke,23,0.73,0.79,54.0,1.01,1.07,77.9,19.7,93.3,1.12,0.04,0.05,0.06,11.1,6.1,0.11,18.1,0.36,0.07,0.12,14.6,26.5,98.0,0.76,0.14,0.07,20.9,68.4,76.4,1.73,0.57,0.02,12.9,40.0,1m 5s,11.3,0.92,0.48,60.5,34.2,0.12,0.1,0.26,2.18,0.54,0.31,0.02,3.14,0.22,0.57,41.0,0.73,0.93,62.1,12.9,76.3,0.74,0.47,0.12,0.15,20.5,36.8,0.12,18.9,0.57,0.13,0.15,25.9,24.5,109.0,0.19,0.05,0.11,16.0,32.7,75.8,1.92,0.74,0.04,17.8,63.6,1m 7s,3.0,0.72,0.17,29.2,12.9,0.04,0.02,0.57,2.66,0.32,0.75,0.05,2.54
https://www.hltv.org/stats/players/21809/910?maps=de_inferno&startDate=2023-09-27&endDate=2025-12-31,910,cs2,0.61,0.71,48.3,0.92,1.07,70.6,17.2,90.0,1.15,0.21,0.09,0.11,17.8,21.8,0.13,21.2,0.48,0.1,0.14,19.6,28.1,99.0,0.75,0.12,0.09,21.0,58.8,76.3,1.91,0.53,0.02,12.6,48.0,1m 17s,9.8,0.94,0.38,53.2,32.6,0.11,0.11,0.67,3.9,1.04,0.74,0.08,2.37,de_inferno,23,0.72,0.78,51.4,1.06,1.05,78.1,19.6,104.5,1.13,0.23,0.07,0.09,15.6,20.8,0.13,22.3,0.29,0.07,0.11,13.8,24.8,100.0,0.9,0.17,0.1,26.8,62.3,78.0,2.04,0.41,0.01,10.4,23.1,1m 13s,15.6,0.95,0.5,64.8,44.6,0.17,0.16,0.37,4.98,0.79,0.28,0.02,3.02,0.43,0.65,45.1,0.79,1.09,63.2,14.9,76.6,1.17,0.29,0.11,0.12,19.8,23.2,0.12,20.2,0.69,0.13,0.17,26.4,32.0,97.0,0.4,0.08,0.07,15.4,52.9,73.0,1.78,0.61,0.03,14.9,75.0,1m 20s,3.6,0.91,0.26,39.6,20.8,0.05,0.06,0.72,2.84,1.29,1.19,0.14,2.22
