full_url,firepower,entrying,trading,opening,clutching,sniping,utility,player_name,map
https://www.hltv.org/stats/players/2553/snax?maps=de_ancient,0.38,0.38,0.28,0.32,0.53,0.09,0.72,Snax,de_ancient
https://www.hltv.org/stats/players/7998/s1mple?maps=de_ancient,0.87,0.15,0.32,0.76,0.32,0.9,0.54,s1mple,de_ancient
https://www.hltv.org/stats/players/3741/niko?maps=de_ancient,0.96,0.28,0.44,0.8,0.46,0.01,0.61,NiKo,de_ancient
https://www.hltv.org/stats/players/3972/hunter?maps=de_ancient,0.73,0.44,0.51,0.5,0.44,0.0,0.84,huNter-,de_ancient
https://www.hltv.org/stats/players/11617/malbsmd?maps=de_ancient,0.94,0.68,0.52,0.87,0.27,0.0,0.57,malbsMd,de_ancient
https://www.hltv.org/stats/players/19230/m0nesy?maps=de_ancient,0.84,0.48,0.41,0.69,0.6,0.92,0.66,m0NESY,de_ancient
https://www.hltv.org/stats/players/7716/chopper?maps=de_ancient,0.3,0.65,0.08,0.41,0.32,0.0,0.8,chopper,de_ancient
https://www.hltv.org/stats/players/16920/sh1ro?maps=de_ancient,0.82,0.15,0.73,0.42,0.91,0.92,0.52,sh1ro,de_ancient
https://www.hltv.org/stats/players/18317/magixx?maps=de_ancient,0.63,0.7,0.36,0.57,0.49,0.0,0.74,magixx,de_ancient
https://www.hltv.org/stats/players/20423/zont1x?maps=de_ancient,0.49,0.58,0.33,0.62,0.43,0.0,0.72,zont1x,de_ancient
https://www.hltv.org/stats/players/21167/donk?maps=de_ancient,1.0,0.62,0.74,0.91,0.43,0.0,0.45,donk,de_ancient
https://www.hltv.org/stats/players/9816/aleksib?maps=de_ancient,0.14,0.48,0.42,0.41,0.27,0.0,0.89,Aleksib,de_ancient
https://www.hltv.org/stats/players/14759/im?maps=de_ancient,0.82,0.4,0.24,0.77,0.38,0.0,0.42,iM,de_ancient
