full_url,firepower,entrying,trading,opening,clutching,sniping,utility,player_name,map
https://www.hltv.org/stats/players/2553/snax?maps=de_anubis,0.16,0.18,0.43,0.24,0.8,0.08,0.73,Snax,de_anubis
https://www.hltv.org/stats/players/7998/s1mple?maps=de_anubis,0.58,0.13,0.7,0.64,0.72,0.89,0.52,s1mple,de_anubis
https://www.hltv.org/stats/players/3741/niko?maps=de_anubis,0.8,0.56,0.63,0.65,0.4,0.01,0.73,NiKo,de_anubis
https://www.hltv.org/stats/players/3972/hunter?maps=de_anubis,0.31,0.56,0.65,0.33,0.48,0.0,0.76,huNter-,de_anubis
https://www.hltv.org/stats/players/11617/malbsmd?maps=de_anubis,0.84,0.92,0.45,0.87,0.36,0.0,0.51,malbsMd,de_anubis
https://www.hltv.org/stats/players/19230/m0nesy?maps=de_anubis,0.95,0.4,0.67,0.82,0.92,0.94,0.54,m0NESY,de_anubis
https://www.hltv.org/stats/players/7716/chopper?maps=de_anubis,0.11,0.65,0.12,0.44,0.34,0.0,0.73,chopper,de_anubis
https://www.hltv.org/stats/players/16920/sh1ro?maps=de_anubis,0.78,0.17,0.8,0.33,0.92,0.92,0.39,sh1ro,de_anubis
https://www.hltv.org/stats/players/18317/magixx?maps=de_anubis,0.3,0.56,0.21,0.22,0.69,0.15,0.58,magixx,de_anubis
https://www.hltv.org/stats/players/20423/zont1x?maps=de_anubis,0.51,0.35,0.13,0.68,0.32,0.0,0.52,zont1x,de_anubis
https://www.hltv.org/stats/players/21167/donk?maps=de_anubis,0.99,0.74,0.76,0.9,0.29,0.01,0.18,donk,de_anubis
https://www.hltv.org/stats/players/9816/aleksib?maps=de_anubis,0.04,0.8,0.17,0.19,0.4,0.01,0.84,Aleksib,de_anubis
https://www.hltv.org/stats/players/14759/im?maps=de_anubis,0.54,0.29,0.15,0.61,0.71,0.0,0.46,iM,de_anubis
https://www.hltv.org/stats/players/18987/b1t?maps=de_anubis,0.67,0.64,0.34,0.77,0.66,0.0,0.58,b1t,de_anubis
https://www.hltv.org/stats/players/19206/jl?maps=de_anubis,0.92,0.64,0.6,0.82,0.28,0.02,0.63,jL,de_anubis
https://www.hltv.org/stats/players/20127/w0nderful?maps=de_anubis,0.73,0.22,0.82,0.39,0.89,0.92,0.47,w0nderful,de_anubis
https://www.hltv.org/stats/players/7322/apex?maps=de_anubis,0.1,0.4,0.46,0.31,0.53,0.0,0.9,apEX,de_anubis
https://www.hltv.org/stats/players/11893/zywoo?maps=de_anubis,0.93,0.25,0.65,0.79,0.69,0.7,0.61,ZywOo,de_anubis
https://www.hltv.org/stats/players/16693/flamez?maps=de_anubis,0.34,0.95,0.54,0.77,0.42,0.0,0.67,flameZ,de_anubis
https://www.hltv.org/stats/players/18221/spinx?maps=de_anubis,0.66,0.55,0.52,0.41,0.71,0.01,0.31,Spinx,de_anubis
https://www.hltv.org/stats/players/18462/mezii?maps=de_anubis,0.61,0.88,0.7,0.31,0.42,0.0,0.51,mezii,de_anubis
https://www.hltv.org/stats/players/429/karrigan?maps=de_anubis,0.16,0.59,0.06,0.75,0.18,0.0,0.69,karrigan,de_anubis
https://www.hltv.org/stats/players/8183/rain?maps=de_anubis,0.34,0.78,0.34,0.59,0.35,0.0,0.41,rain,de_anubis
https://www.hltv.org/stats/players/9960/frozen?maps=de_anubis,0.75,0.36,0.92,0.13,0.79,0.0,0.63,frozen,de_anubis
