full_url,firepower,entrying,trading,opening,clutching,sniping,utility,player_name,map
https://www.hltv.org/stats/players/2553/snax?maps=de_dust2,0.48,0.05,0.03,0.66,0.5,0.63,0.52,Snax,de_dust2
https://www.hltv.org/stats/players/7998/s1mple?maps=de_dust2,0.97,0.08,0.16,0.9,0.55,0.93,0.54,s1mple,de_dust2
https://www.hltv.org/stats/players/3741/niko?maps=de_dust2,0.96,0.15,0.21,0.89,0.32,0.45,0.69,NiKo,de_dust2
https://www.hltv.org/stats/players/3972/hunter?maps=de_dust2,0.83,0.38,0.38,0.57,0.43,0.01,0.77,huNter-,de_dust2
https://www.hltv.org/stats/players/11617/malbsmd?maps=de_dust2,0.74,0.67,0.36,0.65,0.32,0.0,0.54,malbsMd,de_dust2
https://www.hltv.org/stats/players/19230/m0nesy?maps=de_dust2,0.94,0.15,0.41,0.9,0.76,0.94,0.6,m0NESY,de_dust2
https://www.hltv.org/stats/players/7716/chopper?maps=de_dust2,0.55,0.74,0.18,0.59,0.44,0.0,0.83,chopper,de_dust2
https://www.hltv.org/stats/players/16920/sh1ro?maps=de_dust2,0.86,0.1,0.38,0.73,0.9,0.95,0.71,sh1ro,de_dust2
https://www.hltv.org/stats/players/18317/magixx?maps=de_dust2,0.44,0.63,0.37,0.44,0.37,0.01,0.74,magixx,de_dust2
https://www.hltv.org/stats/players/20423/zont1x?maps=de_dust2,0.23,0.52,0.49,0.34,0.46,0.03,0.72,zont1x,de_dust2
https://www.hltv.org/stats/players/21167/donk?maps=de_dust2,0.98,0.89,0.75,0.57,0.35,0.07,0.3,donk,de_dust2
https://www.hltv.org/stats/players/9816/aleksib?maps=de_dust2,0.25,0.65,0.25,0.38,0.44,0.03,0.96,Aleksib,de_dust2
https://www.hltv.org/stats/players/14759/im?maps=de_dust2,0.87,0.39,0.24,0.73,0.49,0.01,0.55,iM,de_dust2
https://www.hltv.org/stats/players/18987/b1t?maps=de_dust2,0.72,0.58,0.36,0.85,0.43,0.08,0.7,b1t,de_dust2
https://www.hltv.org/stats/players/19206/jl?maps=de_dust2,0.73,0.61,0.43,0.42,0.55,0.31,0.61,jL,de_dust2
https://www.hltv.org/stats/players/20127/w0nderful?maps=de_dust2,0.74,0.33,0.41,0.68,0.51,0.96,0.58,w0nderful,de_dust2
https://www.hltv.org/stats/players/7322/apex?maps=de_dust2,0.69,0.14,0.06,0.74,0.19,0.03,0.69,apEX,de_dust2
https://www.hltv.org/stats/players/11893/zywoo?maps=de_dust2,0.97,0.39,0.52,0.86,0.76,0.94,0.7,ZywOo,de_dust2
