full_url,firepower,entrying,trading,opening,clutching,sniping,utility,player_name,map
https://www.hltv.org/stats/players/2553/snax?maps=de_mirage,0.55,0.03,0.05,0.58,0.53,0.4,0.35,Snax,de_mirage
https://www.hltv.org/stats/players/7998/s1mple?maps=de_mirage,0.98,0.04,0.22,0.86,0.59,0.93,0.3,s1mple,de_mirage
https://www.hltv.org/stats/players/3741/niko?maps=de_mirage,0.97,0.07,0.16,0.87,0.44,0.09,0.48,NiKo,de_mirage
https://www.hltv.org/stats/players/3972/hunter?maps=de_mirage,0.94,0.37,0.42,0.62,0.44,0.01,0.72,huNter-,de_mirage
https://www.hltv.org/stats/players/11617/malbsmd?maps=de_mirage,0.94,0.65,0.36,0.83,0.34,0.0,0.56,malbsMd,de_mirage
https://www.hltv.org/stats/players/19230/m0nesy?maps=de_mirage,0.92,0.16,0.44,0.85,0.64,0.95,0.52,m0NESY,de_mirage
https://www.hltv.org/stats/players/7716/chopper?maps=de_mirage,0.37,0.43,0.08,0.47,0.49,0.0,0.53,chopper,de_mirage
https://www.hltv.org/stats/players/16920/sh1ro?maps=de_mirage,0.9,0.12,0.63,0.62,0.85,0.95,0.53,sh1ro,de_mirage
https://www.hltv.org/stats/players/18317/magixx?maps=de_mirage,0.3,0.43,0.27,0.29,0.48,0.02,0.54,magixx,de_mirage
https://www.hltv.org/stats/players/20423/zont1x?maps=de_mirage,0.69,0.39,0.37,0.45,0.56,0.0,0.51,zont1x,de_mirage
https://www.hltv.org/stats/players/21167/donk?maps=de_mirage,0.99,0.44,0.66,0.91,0.42,0.02,0.23,donk,de_mirage
https://www.hltv.org/stats/players/9816/aleksib?maps=de_mirage,0.41,0.4,0.18,0.51,0.42,0.06,0.86,Aleksib,de_mirage
https://www.hltv.org/stats/players/14759/im?maps=de_mirage,0.93,0.28,0.19,0.82,0.41,0.0,0.37,iM,de_mirage
https://www.hltv.org/stats/players/18987/b1t?maps=de_mirage,0.7,0.43,0.28,0.71,0.36,0.0,0.46,b1t,de_mirage
https://www.hltv.org/stats/players/19206/jl?maps=de_mirage,0.9,0.32,0.29,0.66,0.47,0.13,0.55,jL,de_mirage
https://www.hltv.org/stats/players/20127/w0nderful?maps=de_mirage,0.82,0.12,0.61,0.58,0.64,0.93,0.47,w0nderful,de_mirage
https://www.hltv.org/stats/players/7322/apex?maps=de_mirage,0.63,0.11,0.06,0.69,0.28,0.0,0.45,apEX,de_mirage
https://www.hltv.org/stats/players/11893/zywoo?maps=de_mirage,0.98,0.32,0.51,0.9,0.82,0.92,0.51,ZywOo,de_mirage
https://www.hltv.org/stats/players/16693/flamez?maps=de_mirage,0.74,0.75,0.27,0.76,0.48,0.0,0.72,flameZ,de_mirage
https://www.hltv.org/stats/players/18221/spinx?maps=de_mirage,0.83,0.32,0.42,0.56,0.59,0.03,0.29,Spinx,de_mirage
https://www.hltv.org/stats/players/18462/mezii?maps=de_mirage,0.61,0.19,0.51,0.27,0.77,0.08,0.62,mezii,de_mirage
https://www.hltv.org/stats/players/429/karrigan?maps=de_mirage,0.26,0.08,0.02,0.51,0.35,0.19,0.55,karrigan,de_mirage
https://www.hltv.org/stats/players/8183/rain?maps=de_mirage,0.66,0.32,0.1,0.73,0.28,0.0,0.36,rain,de_mirage
https://www.hltv.org/stats/players/9960/frozen?maps=de_mirage,0.95,0.42,0.42,0.62,0.68,0.06,0.5,frozen,de_mirage
https://www.hltv.org/stats/players/11816/ropz?maps=de_mirage,0.79,0.08,0.37,0.52,0.6,0.06,0.22,ropz,de_mirage
https://www.hltv.org/stats/players/18053/broky?maps=de_mirage,0.67,0.29,0.47,0.39,0.68,0.91,0.62,broky,de_mirage
https://www.hltv.org/stats/players/13666/brollan?maps=de_mirage,0.75,0.53,0.26,0.77,0.43,0.0,0.51,Brollan,de_mirage
https://www.hltv.org/stats/players/16820/siuhy?maps=de_mirage,0.56,0.5,0.13,0.67,0.28,0.01,0.64,siuhy,de_mirage
https://www.hltv.org/stats/players/18072/torzsi?maps=de_mirage,0.79,0.18,0.4,0.7,0.71,0.94,0.56,torzsi,de_mirage
https://www.hltv.org/stats/players/18850/jimpphat?maps=de_mirage,0.76,0.19,0.64,0.23,0.74,0.0,0.44,Jimpphat,de_mirage
https://www.hltv.org/stats/players/20312/xertion?maps=de_mirage,0.85,0.58,0.16,0.8,0.4,0.0,0.5,xertioN,de_mirage
https://www.hltv.org/stats/players/20194/blitz?maps=de_mirage,0.89,0.14,0.23,0.66,0.47,0.03,0.74,bLitz,de_mirage
https://www.hltv.org/stats/players/20275/techno?maps=de_mirage,0.32,0.42,0.13,0.26,0.67,0.0,0.32,Techno,de_mirage
https://www.hltv.org/stats/players/20903/senzu?maps=de_mirage,0.8,0.28,0.19,0.78,0.49,0.1,0.29,Senzu,de_mirage
https://www.hltv.org/stats/players/21001/mzinho?maps=de_mirage,0.48,0.48,0.09,0.35,0.52,0.0,0.64,mzinho,de_mirage
https://www.hltv.org/stats/players/21809/910?maps=de_mirage,0.77,0.21,0.49,0.6,0.72,0.93,0.31,910,de_mirage
https://www.hltv.org/stats/players/9436/nertz?maps=de_mirage,0.92,0.21,0.36,0.77,0.42,0.02,0.39,NertZ,de_mirage
https://www.hltv.org/stats/players/12018/teses?maps=de_mirage,0.63,0.51,0.42,0.38,0.48,0.0,0.6,TeSeS,de_mirage
https://www.hltv.org/stats/players/14148/sjuush?maps=de_mirage,0.61,0.41,0.29,0.53,0.38,0.03,0.61,sjuush,de_mirage
https://www.hltv.org/stats/players/17306/degster?maps=de_mirage,0.83,0.11,0.38,0.76,0.71,0.94,0.39,degster,de_mirage
https://www.hltv.org/stats/players/19677/kyxsan?maps=de_mirage,0.53,0.28,0.19,0.22,0.68,0.0,0.79,kyxsan,de_mirage
https://www.hltv.org/stats/players/4679/jks?maps=de_mirage,0.62,0.23,0.41,0.28,0.62,0.01,0.58,jks,de_mirage
https://www.hltv.org/stats/players/8520/naf?maps=de_mirage,0.82,0.14,0.3,0.41,0.58,0.09,0.69,NAF,de_mirage
https://www.hltv.org/stats/players/10394/twistzz?maps=de_mirage,0.8,0.53,0.52,0.39,0.64,0.03,0.55,Twistzz,de_mirage
https://www.hltv.org/stats/players/13915/yekindar?maps=de_mirage,0.91,0.18,0.15,0.88,0.32,0.1,0.44,YEKINDAR,de_mirage
https://www.hltv.org/stats/players/21763/ultimate?maps=de_mirage,0.66,0.09,0.3,0.81,0.49,0.94,0.47,ultimate,de_mirage
https://www.hltv.org/stats/players/2023/fallen?maps=de_mirage,0.6,0.12,0.12,0.63,0.58,0.93,0.58,FalleN,de_mirage
https://www.hltv.org/stats/players/10566/chelo?maps=de_mirage,0.62,0.41,0.27,0.73,0.38,0.05,0.39,chelo,de_mirage
https://www.hltv.org/stats/players/12553/yuurih?maps=de_mirage,0.8,0.37,0.45,0.42,0.43,0.0,0.67,yuurih,de_mirage
https://www.hltv.org/stats/players/15631/kscerato?maps=de_mirage,0.75,0.08,0.31,0.31,0.87,0.04,0.69,KSCERATO,de_mirage
https://www.hltv.org/stats/players/18676/skullz?maps=de_mirage,0.55,0.26,0.35,0.33,0.6,0.0,0.52,skullz,de_mirage
https://www.hltv.org/stats/players/7592/device?maps=de_mirage,0.85,0.05,0.06,0.74,0.47,0.75,0.3,device,de_mirage
