full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr
https://www.hltv.org/stats/players/16555/ax1le,Ax1Le,Russia,22 years,Cloud9,0.81,1.15,0.73,80.3,102.7,0.48,1.23,0.18,0.37,0.09,0.13,0.22,0.22,0.14,0.19,0.64,0.11,0.09,0.2,54.7%,0.76,3.0,0.03,0.02,0.03,0.02,0.005,0.003,0.27,0.1,0.13,0.17,0.18,111,0.44,0.02,0.09,0.64,0.67,0.1,0.74,5.37,1.12,0.73,0.04,2.18
https://www.hltv.org/stats/players/18850/jimpphat,Jimpphat,Finland,18 years,MOUZ,0.81,1.16,0.73,79.1,98.9,0.48,1.16,0.18,0.39,0.09,0.12,0.27,0.27,0.15,0.22,0.26,0.07,0.07,0.14,53.2%,0.76,3.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.68,0.12,0.16,0.22,0.22,108,0.7,0.03,0.12,0.64,0.69,0.11,0.48,4.91,1.02,0.44,0.03,2.26
https://www.hltv.org/stats/players/10994/stavn,stavn,Denmark,22 years,Astralis,0.81,1.12,0.73,81.1,105.4,0.49,1.12,0.18,0.42,0.1,0.13,0.24,0.24,0.15,0.16,0.65,0.11,0.1,0.21,52.3%,0.74,2.95,0.11,0.06,0.08,0.05,0.02,0.01,0.38,0.11,0.13,0.18,0.18,112,0.41,0.02,0.09,0.6,0.63,0.06,0.62,4.65,0.99,0.61,0.04,2.3
https://www.hltv.org/stats/players/15631/kscerato,KSCERATO,Brazil,25 years,FURIA,0.81,1.19,0.73,79.7,98.3,0.49,1.17,0.18,0.2,0.08,0.11,0.24,0.24,0.14,0.22,0.38,0.09,0.06,0.15,58.5%,0.75,3.09,0.03,0.02,0.03,0.02,0.005,0.003,0.45,0.1,0.15,0.2,0.2,109,0.72,0.03,0.13,0.6,0.67,0.11,0.8,5.76,1.34,0.72,0.05,2.36
https://www.hltv.org/stats/players/11816/ropz,ropz,Estonia,24 years,FaZe,0.81,1.15,0.74,78.4,99.5,0.49,1.15,0.18,0.08,0.07,0.1,0.18,0.18,0.11,0.19,0.47,0.1,0.08,0.18,55.5%,0.73,2.54,0.05,0.03,0.04,0.02,0.008,0.006,0.32,0.09,0.14,0.18,0.17,106,0.61,0.02,0.13,0.59,0.66,0.1,0.22,2.63,0.45,0.39,0.03,2.07
https://www.hltv.org/stats/players/20127/w0nderful,w0nderful,Ukraine,20 years,Natus Vincere,0.81,1.2,0.76,76.6,97.1,0.51,1.23,0.19,0.27,0.09,0.11,0.24,0.24,0.1,0.19,0.55,0.11,0.06,0.17,63.3%,0.74,2.12,0.91,0.32,0.42,0.25,0.08,0.07,0.64,0.12,0.16,0.21,0.21,101,0.71,0.03,0.14,0.56,0.77,0.13,0.48,3.24,0.68,0.59,0.05,2.28
https://www.hltv.org/stats/players/8711/sonic,Sonic,South Africa,26 years,Wildcard,0.81,1.09,0.73,79.0,98.4,0.49,,0.18,0.59,0.11,0.14,0.27,0.27,0.15,0.18,0.6,0.11,0.09,0.2,54.8%,0.73,2.71,0.26,0.12,0.17,0.09,0.03,0.03,0.58,0.12,0.15,0.21,0.2,106,0.52,0.02,0.11,0.62,0.59,0.06,0.68,4.46,0.96,0.69,0.05,2.35
https://www.hltv.org/stats/players/8950/kaze,kaze,Malaysia,30 years,Rare Atom,0.82,1.16,0.76,77.1,93.5,0.5,,0.19,0.19,0.08,0.11,0.22,0.22,0.11,0.19,0.61,0.11,0.07,0.18,62.3%,0.76,2.24,0.93,0.38,0.5,0.28,0.1,0.08,0.44,0.1,0.15,0.19,0.2,98,0.73,0.03,0.14,0.65,0.64,0.1,0.58,2.97,0.72,0.75,0.06,2.3
https://www.hltv.org/stats/players/5794/tabsen,tabseN,Germany,29 years,BIG,0.82,1.04,0.72,83.2,87.4,0.47,,0.18,0.19,0.1,0.11,0.18,0.18,0.16,0.16,0.7,0.12,0.12,0.24,49.1%,0.73,3.1,0.07,0.04,0.05,0.03,0.01,0.008,0.15,0.09,0.1,0.14,0.18,91,0.29,0.02,0.06,0.62,0.48,0.04,0.83,8.41,1.24,0.67,0.05,2.42
https://www.hltv.org/stats/players/20903/senzu,Senzu,Mongolia,18 years,The MongolZ,0.82,1.13,0.73,80.0,105.2,0.48,1.28,0.18,0.32,0.09,0.13,0.24,0.24,0.18,0.16,0.79,0.13,0.11,0.24,52.2%,0.76,2.56,0.11,0.07,0.09,0.05,0.01,0.01,0.29,0.1,0.13,0.17,0.23,109,0.44,0.02,0.1,0.64,0.6,0.05,0.37,4.56,0.86,0.37,0.02,2.01
