full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr
https://www.hltv.org/stats/players/19592/headtr1ck,headtr1ck,Ukraine,20 years,B8,0.72,1.15,0.73,75.3,96.0,0.49,1.1,0.18,0.29,0.09,0.11,0.24,0.24,0.13,0.2,0.39,0.09,0.06,0.15,60.0%,0.74,2.31,0.83,0.26,0.36,0.2,0.06,0.05,0.72,0.12,0.17,0.23,0.24,104,0.72,0.03,0.14,0.62,0.69,0.12,0.67,4.97,1.1,0.59,0.06,2.41
https://www.hltv.org/stats/players/7592/device,device,Denmark,29 years,Astralis,0.88,1.16,0.77,79.8,74.3,0.51,,0.2,0.04,0.08,0.07,0.12,0.12,0.13,0.16,0.83,0.13,0.09,0.23,58.9%,0.78,2.28,0.85,0.28,0.36,0.21,0.07,0.07,0.08,0.08,0.09,0.12,0.19,75,0.4,0.02,0.08,0.57,0.48,0.08,0.4,4.4,0.88,0.43,0.03,1.9
https://www.hltv.org/stats/players/18053/broky,broky,Latvia,23 years,FaZe,0.64,1.11,0.71,73.1,94.1,0.48,1.17,0.17,0.41,0.1,0.12,0.28,0.28,0.11,0.19,0.36,0.09,0.06,0.14,60.7%,0.75,2.16,0.87,0.28,0.39,0.22,0.07,0.05,0.58,0.11,0.15,0.22,0.2,103,0.65,0.02,0.13,0.65,0.69,0.11,0.63,3.53,0.72,0.85,0.06,2.15
https://www.hltv.org/stats/players/11139/alistair,aliStair,Australia,26 years,FlyQuest,0.67,1.13,0.71,73.9,93.6,0.48,1.12,0.18,0.25,0.09,0.11,0.21,0.21,0.12,0.18,0.81,0.13,0.1,0.23,56.1%,0.78,2.19,0.9,0.3,0.42,0.22,0.08,0.07,0.18,0.08,0.12,0.16,0.2,104,0.55,0.02,0.11,0.62,0.62,0.06,0.56,3.32,1.03,0.66,0.06,2.2
https://www.hltv.org/stats/players/23046/jambo,jambo,Ukraine,20 years,Passion UA,0.8,1.19,0.74,77.7,101.3,0.49,1.15,0.19,0.33,0.1,0.12,0.25,0.25,0.16,0.2,0.87,0.14,0.1,0.24,60.0%,0.72,2.14,0.89,0.3,0.4,0.23,0.08,0.08,0.44,0.1,0.14,0.19,0.25,106,0.65,0.03,0.12,0.56,0.65,0.09,0.52,3.35,0.89,0.59,0.06,2.43
https://www.hltv.org/stats/players/11893/zywoo,ZywOo,France,24 years,Vitality,0.98,1.33,0.84,87.4,113.1,0.53,1.43,0.22,0.42,0.09,0.13,0.25,0.25,0.13,0.17,0.89,0.15,0.09,0.24,61.9%,0.74,2.45,0.87,0.31,0.37,0.23,0.08,0.07,0.54,0.12,0.16,0.19,0.18,104,0.76,0.03,0.11,0.67,0.66,0.08,0.61,3.69,0.96,0.69,0.06,2.35
https://www.hltv.org/stats/players/13138/maka,Maka,France,27 years,3DMAX,0.68,1.12,0.71,74.6,97.6,0.48,1.09,0.18,0.25,0.09,0.12,0.21,0.21,0.12,0.18,0.78,0.13,0.1,0.22,56.6%,0.72,2.24,0.91,0.31,0.44,0.24,0.08,0.08,0.27,0.09,0.13,0.18,0.2,105,0.57,0.02,0.12,0.57,0.64,0.1,0.8,4.81,1.06,0.94,0.08,2.52
https://www.hltv.org/stats/players/8565/hen1,HEN1,Brazil,29 years,RED Canids,0.65,1.1,0.7,74.7,87.6,0.48,,0.17,0.11,0.08,0.09,0.2,0.2,0.13,0.21,0.53,0.1,0.06,0.17,61.8%,0.75,2.28,0.92,0.34,0.48,0.25,0.09,0.07,0.3,0.09,0.13,0.18,0.21,101,0.69,0.03,0.14,0.55,0.65,0.12,0.67,4.23,0.87,0.76,0.06,2.03
https://www.hltv.org/stats/players/20127/w0nderful,w0nderful,Ukraine,20 years,Natus Vincere,0.81,1.2,0.76,76.6,97.1,0.51,1.23,0.19,0.27,0.09,0.11,0.24,0.24,0.1,0.19,0.55,0.11,0.06,0.17,63.3%,0.74,2.12,0.91,0.32,0.42,0.25,0.08,0.07,0.64,0.12,0.16,0.21,0.21,101,0.71,0.03,0.14,0.56,0.77,0.13,0.48,3.24,0.68,0.59,0.05,2.28
https://www.hltv.org/stats/players/20462/story,story,Portugal,22 years,SAW,0.52,1.09,0.68,70.3,90.5,0.47,1.02,0.16,0.23,0.09,0.11,0.24,0.24,0.11,0.19,0.6,0.11,0.07,0.18,59.2%,0.76,2.09,0.91,0.32,0.46,0.25,0.08,0.07,0.46,0.1,0.14,0.21,0.22,103,0.63,0.02,0.13,0.57,0.67,0.09,0.72,3.95,0.81,0.85,0.1,2.69
