full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr
https://www.hltv.org/stats/players/13670/nawwk,nawwk,Sweden,27 years,fnatic,0.66,1.12,0.72,71.9,93.2,0.49,1.11,0.18,0.16,0.08,0.1,0.23,0.23,0.09,0.18,0.45,0.1,0.06,0.16,61.0%,0.76,1.93,0.92,0.33,0.45,0.26,0.09,0.06,0.55,0.11,0.15,0.21,0.21,99,0.8,0.03,0.16,0.54,0.71,0.11,0.4,2.69,0.72,0.52,0.05,2.41
https://www.hltv.org/stats/players/18850/jimpphat,Jimpphat,Finland,18 years,MOUZ,0.81,1.16,0.73,79.1,98.9,0.48,1.16,0.18,0.39,0.09,0.12,0.27,0.27,0.15,0.22,0.26,0.07,0.07,0.14,53.2%,0.76,3.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.68,0.12,0.16,0.22,0.22,108,0.7,0.03,0.12,0.64,0.69,0.11,0.48,4.91,1.02,0.44,0.03,2.26
https://www.hltv.org/stats/players/15662/zorte,zorte,Russia,26 years,BetBoom,0.68,1.14,0.72,73.1,93.8,0.49,1.17,0.18,0.22,0.09,0.11,0.22,0.22,0.09,0.18,0.72,0.12,0.08,0.2,61.1%,0.74,1.87,0.92,0.35,0.49,0.27,0.09,0.09,0.53,0.11,0.15,0.21,0.18,101,0.65,0.02,0.13,0.58,0.66,0.11,0.61,2.86,0.66,0.89,0.08,2.39
https://www.hltv.org/stats/players/15631/kscerato,KSCERATO,Brazil,25 years,FURIA,0.81,1.19,0.73,79.7,98.3,0.49,1.17,0.18,0.2,0.08,0.11,0.24,0.24,0.14,0.22,0.38,0.09,0.06,0.15,58.5%,0.75,3.09,0.03,0.02,0.03,0.02,0.005,0.003,0.45,0.1,0.15,0.2,0.2,109,0.72,0.03,0.13,0.6,0.67,0.11,0.8,5.76,1.34,0.72,0.05,2.36
https://www.hltv.org/stats/players/7964/cadian,cadiaN,Denmark,29 years,Astralis,0.56,1.04,0.69,72.5,82.3,0.47,,0.16,0.15,0.09,0.1,0.2,0.2,0.11,0.18,0.77,0.12,0.09,0.22,56.9%,0.76,2.19,0.92,0.33,0.48,0.26,0.08,0.08,0.13,0.08,0.11,0.16,0.18,92,0.51,0.02,0.12,0.57,0.58,0.11,0.79,5.16,1.02,0.78,0.07,2.29
https://www.hltv.org/stats/players/18717/lucaozy,Lucaozy,Brazil,23 years,MIBR,0.77,1.14,0.73,78.4,101.3,0.49,1.15,0.18,0.35,0.09,0.13,0.24,0.24,0.14,0.18,0.68,0.11,0.1,0.22,52.3%,0.73,2.71,0.04,0.03,0.04,0.02,0.006,0.004,0.43,0.1,0.14,0.2,0.19,108,0.42,0.02,0.1,0.6,0.62,0.11,0.41,3.73,0.84,0.5,0.03,2.03
https://www.hltv.org/stats/players/19750/drop,drop,Brazil,20 years,MIBR,0.29,1.01,0.61,67.9,86.6,0.42,1.07,0.14,0.71,0.11,0.15,0.33,0.33,0.15,0.23,0.33,0.09,0.09,0.18,48.0%,0.73,2.6,0.0,0.0,0.0,0.0,0.0004,0.0002,0.35,0.1,0.12,0.2,0.24,112,0.45,0.02,0.09,0.64,0.67,0.11,0.48,4.58,1.02,0.49,0.03,2.11
https://www.hltv.org/stats/players/18053/broky,broky,Latvia,23 years,FaZe,0.64,1.11,0.71,73.1,94.1,0.48,1.17,0.17,0.41,0.1,0.12,0.28,0.28,0.11,0.19,0.36,0.09,0.06,0.14,60.7%,0.75,2.16,0.87,0.28,0.39,0.22,0.07,0.05,0.58,0.11,0.15,0.22,0.2,103,0.65,0.02,0.13,0.65,0.69,0.11,0.63,3.53,0.72,0.85,0.06,2.15
https://www.hltv.org/stats/players/12732/fl1t,FL1T,Russia,23 years,Virtus.pro,0.79,1.13,0.72,80.2,102.7,0.49,1.1,0.18,0.29,0.09,0.12,0.2,0.2,0.15,0.18,0.44,0.09,0.09,0.18,51.8%,0.73,3.02,0.03,0.02,0.03,0.02,0.005,0.004,0.46,0.1,0.14,0.2,0.19,111,0.48,0.02,0.1,0.62,0.63,0.11,0.56,5.07,1.21,0.49,0.04,2.47
https://www.hltv.org/stats/players/19694/nqz,nqz,Brazil,19 years,paiN,0.59,1.13,0.71,70.9,89.7,0.48,1.13,0.17,0.19,0.08,0.1,0.24,0.24,0.1,0.21,0.49,0.1,0.07,0.17,59.7%,0.75,1.99,0.92,0.36,0.5,0.27,0.09,0.07,0.55,0.1,0.15,0.22,0.22,100,0.67,0.03,0.12,0.59,0.7,0.12,0.59,3.14,0.74,0.71,0.07,2.4
