full_url,player,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,clutching,utility
https://www.hltv.org/stats/players/22345/pandi7o,pandi7o,0.51,1.02,0.65,74.0,101.6,0.4529999999999999,1.17,0.156,0.79,0.12,0.16,0.314,0.314,0.19,0.188,0.48,0.1,0.13,0.223,42.7%,0.7190000000000001,2.71,0.01,0.01,0.016,0.008,0.003,0.003,0.4,0.37,0.35
https://www.hltv.org/stats/players/21124/xezr,xezr,0.44,1.01,0.64,72.4,96.9,0.445,0.99,0.153,0.78,0.12,0.16,0.298,0.298,0.19,0.186,0.59,0.1,0.13,0.231,45.3%,0.747,2.65,0.01,0.01,0.016,0.008,0.002,0.002,0.48,0.31,0.3
https://www.hltv.org/stats/players/17002/sark,sark,0.38,0.96,0.65,69.2,92.1,0.452,0.94,0.148,0.28,0.09,0.13,0.262,0.262,0.11,0.173,0.27,0.08,0.09,0.1669999999999999,47.9%,0.7140000000000001,2.5,0.01,0.01,0.02,0.009,0.003,0.0,0.7,0.6,0.2
https://www.hltv.org/stats/players/24136/realyummy,Realyummy,0.72,1.01,0.72,78.6,104.2,0.472,,0.1669999999999999,0.42,0.12,0.12,0.294,0.294,0.18,0.208,0.3,0.08,0.12,0.201,41.4%,0.583,2.78,0.01,0.01,0.019,0.0139999999999999,0.0,0.007,0.35,0.9,0.2
https://www.hltv.org/stats/players/13157/jerry,Jerry,0.59,1.06,0.67,76.0,97.9,0.4629999999999999,0.97,0.161,0.59,0.1,0.15,0.246,0.246,0.15,0.179,0.56,0.1,0.1,0.208,49.9%,0.7290000000000001,2.91,0.01,0.01,0.015,0.009,0.002,0.001,0.29,0.32,0.54
https://www.hltv.org/stats/players/19207/eiza,EIZA,0.48,1.0,0.66,71.5,94.7,0.4579999999999999,1.01,0.159,0.5,0.1,0.14,0.257,0.257,0.12,0.165,0.38,0.09,0.09,0.181,49.6%,0.7190000000000001,2.53,0.01,0.01,0.018,0.012,0.002,0.001,0.48,0.28,0.24
https://www.hltv.org/stats/players/23840/k1rsanje,k1rsanje,0.26,0.98,0.64,68.6,81.7,0.4379999999999999,,0.124,0.92,0.17,0.19,0.235,0.235,0.21,0.157,0.71,0.12,0.14,0.264,46.9%,0.467,2.88,0.01,0.02,0.026,0.017,0.0,0.008,0.66,0.18,0.5
https://www.hltv.org/stats/players/24687/e1543,e1543,0.31,1.01,0.67,70.5,86.9,0.508,,0.111,0.97,0.14,0.17,0.5,0.5,0.14,0.143,0.27,0.08,0.13,0.206,38.5%,0.4,2.52,0.01,0.02,0.024,0.016,0.0,0.02,0.03,0.34,0.25
https://www.hltv.org/stats/players/21447/xdeniszera,xdENiSZERA,0.63,1.12,0.69,77.1,99.6,0.485,1.15,0.16,0.54,0.11,0.13,0.3,0.3,0.19,0.201,0.55,0.1,0.08,0.188,55.3%,0.754,2.86,0.01,0.01,0.018,0.012,0.002,0.0,0.78,0.46,0.48
https://www.hltv.org/stats/players/22326/kaide,Kaide,0.84,1.13,0.74,81.9,108.2,0.499,1.03,0.181,0.3,0.09,0.13,0.1889999999999999,0.1889999999999999,0.2,0.1669999999999999,0.78,0.13,0.12,0.249,51.3%,0.696,2.95,0.01,0.01,0.016,0.008,0.002,0.002,0.46,0.43,0.66
