full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr,is_igl
https://www.hltv.org/stats/players/16693/flamez,flameZ,Israel,21 years,Vitality,0.71,1.12,0.7,77.9,101.0,0.47,1.12,0.17,0.77,0.11,0.16,0.3,0.3,0.15,0.19,0.73,0.12,0.12,0.24,49.4%,0.73,2.9,0.0,0.01,0.01,0.0,0.0008,0.0005,0.45,0.11,0.14,0.2,0.19,111,0.49,0.02,0.08,0.67,0.63,0.07,0.81,5.73,1.05,0.84,0.05,2.08,False
https://www.hltv.org/stats/players/11140/ins,INS,Australia,26 years,FlyQuest,0.92,1.2,0.76,86.0,108.0,0.5,1.23,0.2,0.41,0.1,0.13,0.23,0.23,0.18,0.18,0.71,0.12,0.1,0.22,53.5%,0.77,3.39,0.05,0.03,0.04,0.02,0.007,0.006,0.25,0.09,0.13,0.17,0.2,113,0.5,0.02,0.1,0.62,0.61,0.04,0.81,8.9,1.97,0.65,0.04,2.19,False
https://www.hltv.org/stats/players/16599/swisher,Swisher,United States,26 years,M80,0.78,1.11,0.72,80.3,102.9,0.48,1.14,0.18,0.54,0.1,0.14,0.25,0.25,0.17,0.18,0.58,0.11,0.11,0.21,49.5%,0.73,3.17,0.01,0.01,0.02,0.01,0.003,0.002,0.44,0.11,0.14,0.2,0.2,112,0.42,0.02,0.08,0.63,0.59,0.05,0.81,5.72,1.26,0.71,0.06,2.4,False
https://www.hltv.org/stats/players/7412/gla1ve,gla1ve,Denmark,29 years,ENCE,0.48,0.97,0.65,73.4,79.2,0.45,,0.16,0.27,0.1,0.12,0.22,0.22,0.16,0.19,0.54,0.1,0.11,0.21,48.6%,0.75,2.92,0.03,0.02,0.03,0.02,0.006,0.005,0.09,0.08,0.09,0.14,0.21,95,0.32,0.02,0.07,0.62,0.53,0.04,0.81,6.01,1.25,0.79,0.05,1.97,True
https://www.hltv.org/stats/players/150/maj3r,MAJ3R,Turkey,33 years,Eternal Fire,0.39,0.94,0.63,71.9,88.8,0.44,,0.15,0.25,0.09,0.12,0.21,0.21,0.14,0.2,0.43,0.09,0.1,0.19,48.4%,0.73,2.73,0.07,0.04,0.07,0.04,0.009,0.01,0.15,0.08,0.11,0.17,0.19,111,0.41,0.02,0.1,0.53,0.61,0.07,0.82,5.33,1.09,0.84,0.08,2.31,True
https://www.hltv.org/stats/players/5794/tabsen,tabseN,Germany,29 years,BIG,0.82,1.04,0.72,83.2,87.4,0.47,,0.18,0.19,0.1,0.11,0.18,0.18,0.16,0.16,0.7,0.12,0.12,0.24,49.1%,0.73,3.1,0.07,0.04,0.05,0.03,0.01,0.008,0.15,0.09,0.1,0.14,0.18,91,0.29,0.02,0.06,0.62,0.48,0.04,0.83,8.41,1.24,0.67,0.05,2.42,True
https://www.hltv.org/stats/players/630/mutiris,MUTiRiS,Portugal,31 years,SAW,0.6,0.99,0.67,76.2,83.6,0.46,,0.16,0.21,0.1,0.11,0.21,0.21,0.15,0.18,0.53,0.1,0.1,0.2,50.0%,0.74,2.96,0.0,0.0,0.0,0.0,0.0005,0.0006,0.2,0.09,0.11,0.16,0.21,95,0.34,0.02,0.08,0.61,0.52,0.05,0.83,5.98,1.0,0.8,0.04,2.56,True
https://www.hltv.org/stats/players/19899/krimbo,Krimbo,Germany,22 years,BIG,0.66,1.12,0.7,75.9,96.0,0.48,1.12,0.17,0.14,0.08,0.1,0.22,0.22,0.13,0.21,0.38,0.09,0.07,0.16,55.0%,0.72,2.78,0.06,0.03,0.05,0.02,0.008,0.006,0.39,0.1,0.14,0.2,0.2,109,0.77,0.03,0.15,0.6,0.68,0.12,0.84,6.64,1.29,0.67,0.06,2.49,False
https://www.hltv.org/stats/players/20304/staehr,Staehr,Denmark,20 years,Astralis,0.65,1.08,0.68,77.9,102.2,0.46,1.13,0.16,0.33,0.09,0.13,0.23,0.23,0.15,0.18,0.65,0.11,0.11,0.22,50.0%,0.72,2.99,0.0,0.0,0.01,0.0,0.0007,0.0,0.34,0.1,0.13,0.19,0.18,114,0.43,0.02,0.1,0.62,0.64,0.08,0.85,6.91,0.83,0.78,0.04,2.34,False
https://www.hltv.org/stats/players/16486/ztr,ztr,Sweden,21 years,GamerLegion,0.39,0.99,0.63,70.8,92.9,0.44,0.88,0.15,0.48,0.1,0.14,0.24,0.24,0.15,0.18,0.34,0.08,0.1,0.19,45.0%,0.74,2.89,0.0,0.0,0.01,0.0,0.001,0.0005,0.45,0.1,0.13,0.21,0.22,112,0.55,0.02,0.1,0.69,0.62,0.06,0.85,6.25,1.23,0.71,0.06,2.51,True
