full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age,ct_firepower,ct_kills_per_round,ct_rounds_with_a_kill,ct_kills_per_round_win,ct_rating_1.0,ct_damage_per_round,ct_rounds_with_a_multi_kill,ct_damage_per_round_win,ct_pistol_round_rating,ct_entrying,ct_saved_by_teammate_per_round,ct_traded_deaths_per_round,ct_traded_deaths_percentage,ct_opening_deaths_traded_percentage,ct_assists_per_round,ct_support_rounds,ct_trading,ct_saved_teammate_per_round,ct_trade_kills_per_round,ct_trade_kills_percentage,ct_assisted_kills_percentage,ct_damage_per_kill,ct_opening,ct_opening_kills_per_round,ct_opening_deaths_per_round,ct_opening_attempts,ct_opening_success,ct_win_after_opening_kill,ct_attacks_per_round,ct_clutching,ct_clutch_points_per_round,ct_last_alive_percentage,ct_1on1_win_percentage,ct_time_alive_per_round,ct_saves_per_round_loss,ct_sniping,ct_sniper_kills_per_round,ct_sniper_kills_percentage,ct_rounds_with_sniper_kills_percentage,ct_sniper_multi_kill_rounds,ct_sniper_opening_kills_per_round,ct_utility,ct_utility_damage_per_round,ct_utility_kills_per_100_rounds,ct_flashes_thrown_per_round,ct_flash_assists_per_round,ct_time_opponent_flashed_per_round,t_firepower,t_kills_per_round,t_rounds_with_a_kill,t_kills_per_round_win,t_rating_1.0,t_damage_per_round,t_rounds_with_a_multi_kill,t_damage_per_round_win,t_pistol_round_rating,t_entrying,t_saved_by_teammate_per_round,t_traded_deaths_per_round,t_traded_deaths_percentage,t_opening_deaths_traded_percentage,t_assists_per_round,t_support_rounds,t_trading,t_saved_teammate_per_round,t_trade_kills_per_round,t_trade_kills_percentage,t_assisted_kills_percentage,t_damage_per_kill,t_opening,t_opening_kills_per_round,t_opening_deaths_per_round,t_opening_attempts,t_opening_success,t_win_after_opening_kill,t_attacks_per_round,t_clutching,t_clutch_points_per_round,t_last_alive_percentage,t_1on1_win_percentage,t_time_alive_per_round,t_saves_per_round_loss,t_sniping,t_sniper_kills_per_round,t_sniper_kills_percentage,t_rounds_with_sniper_kills_percentage,t_sniper_multi_kill_rounds,t_sniper_opening_kills_per_round,t_utility,t_utility_damage_per_round,t_utility_kills_per_100_rounds,t_flashes_thrown_per_round,t_flash_assists_per_round,t_time_opponent_flashed_per_round,team
https://www.hltv.org/stats/players/2553/snax?maps=de_ancient,0.35,0.01,0.44,0.05,0.01,0.72,0.14,0.0,0.0,0.42,0.1,0.13,0.19,0.27,0.17,0.2,0.25,0.09,0.12,0.19,0.22,1.15,0.3,0.08,0.11,0.0,0.44,0.65,0.03,0.51,0.02,0.12,0.0,1.03,0.08,0.08,0.05,0.07,0.03,0.01,0.005,0.72,0.0,0.89,0.64,0.05,2.17,Snax,de_ancient,31.0,0.45,0.01,0.47,0.05,0.01,0.77,0.16,0.53,0.03,0.47,0.08,0.12,0.18,0.27,0.19,0.22,0.35,0.08,0.11,0.16,0.22,1.13,0.28,0.09,0.08,0.17,0.51,0.65,0.0,0.54,0.02,0.1,0.0,1.07,0.12,0.07,0.06,0.08,0.04,0.01,0.008,0.66,0.64,0.95,0.49,0.04,2.19,0.25,0.01,0.41,0.04,0.01,0.66,0.12,0.47,0.03,0.41,0.12,0.14,0.2,0.27,0.15,0.18,0.32,0.1,0.12,0.22,0.2,1.18,0.41,0.08,0.13,0.21,0.39,0.66,0.0,0.49,0.02,0.13,0.0,1.0,0.04,0.1,0.04,0.06,0.03,0.01,0.002,0.77,0.48,0.82,0.8,0.05,2.16,other
https://www.hltv.org/stats/players/7998/s1mple?maps=de_ancient,0.85,0.02,0.53,0.05,0.01,0.79,0.19,0.0,0.0,0.15,0.08,0.1,0.17,0.23,0.1,0.16,0.33,0.09,0.14,0.18,0.16,1.04,0.75,0.13,0.07,0.0,0.64,0.77,0.02,0.31,0.008,0.1,0.0,1.23,0.13,0.9,0.31,0.41,0.23,0.08,0.06,0.54,0.0,0.57,0.8,0.04,1.98,s1mple,de_ancient,27.0,0.93,0.02,0.58,0.06,0.01,0.86,0.23,0.58,0.06,0.29,0.06,0.09,0.18,0.24,0.1,0.19,0.38,0.08,0.13,0.15,0.17,1.0,0.85,0.16,0.05,0.22,0.75,0.8,0.0,0.3,0.006,0.08,0.0,1.23,0.24,0.92,0.46,0.53,0.33,0.11,0.1,0.63,0.39,1.04,0.76,0.06,2.09,0.49,0.01,0.46,0.05,0.01,0.7,0.15,0.52,0.05,0.18,0.11,0.11,0.16,0.22,0.09,0.13,0.46,0.11,0.15,0.24,0.15,1.11,0.43,0.09,0.09,0.18,0.48,0.7,0.0,0.36,0.01,0.13,0.0,1.22,0.03,0.5,0.14,0.22,0.1,0.03,0.02,0.5,0.12,0.0,1.02,0.04,1.89,other
https://www.hltv.org/stats/players/3741/niko?maps=de_ancient,0.95,0.02,0.5,0.06,0.01,0.87,0.2,0.0,0.0,0.26,0.09,0.12,0.19,0.22,0.18,0.18,0.42,0.11,0.14,0.18,0.21,1.1,0.83,0.13,0.11,0.0,0.55,0.72,0.03,0.49,0.02,0.11,0.0,1.1,0.08,0.01,0.01,0.01,0.01,0.002,0.002,0.65,0.0,0.65,0.58,0.03,2.1,NiKo,de_ancient,28.0,0.93,0.02,0.51,0.06,0.01,0.91,0.22,0.63,0.05,0.42,0.07,0.11,0.19,0.27,0.19,0.2,0.52,0.1,0.13,0.16,0.22,1.09,0.81,0.15,0.09,0.24,0.62,0.71,0.0,0.39,0.01,0.09,0.0,1.1,0.1,0.01,0.02,0.02,0.01,0.002,0.003,0.78,0.7,0.57,0.6,0.04,2.38,0.9,0.02,0.5,0.05,0.01,0.82,0.19,0.59,0.04,0.22,0.1,0.12,0.18,0.19,0.16,0.15,0.43,0.12,0.15,0.2,0.19,1.1,0.77,0.12,0.14,0.26,0.46,0.74,0.0,0.57,0.03,0.13,0.0,1.08,0.05,0.01,0.01,0.01,0.0,0.002,0.0,0.55,0.43,0.73,0.62,0.02,1.83,other
https://www.hltv.org/stats/players/3972/hunter?maps=de_ancient,0.72,0.01,0.47,0.05,0.01,0.79,0.17,0.0,0.0,0.43,0.09,0.13,0.2,0.24,0.18,0.2,0.51,0.11,0.14,0.2,0.23,1.12,0.48,0.1,0.08,0.0,0.54,0.74,0.03,0.46,0.02,0.09,0.0,1.08,0.07,0.0,0.0,0.0,0.0,0.0005,0.0,0.86,0.0,0.88,0.76,0.05,2.32,huNter-,de_ancient,29.0,0.73,0.01,0.49,0.05,0.01,0.85,0.18,0.6,0.04,0.47,0.08,0.12,0.19,0.25,0.22,0.22,0.61,0.1,0.14,0.19,0.23,1.14,0.47,0.11,0.09,0.19,0.55,0.72,0.0,0.47,0.02,0.06,0.0,1.07,0.11,0.0,0.0,0.0,0.0,0.0009,0.0,0.91,0.95,1.14,0.71,0.05,2.57,0.6,0.01,0.45,0.05,0.01,0.73,0.16,0.52,0.04,0.43,0.11,0.15,0.21,0.24,0.14,0.19,0.49,0.13,0.15,0.23,0.23,1.11,0.48,0.09,0.08,0.17,0.52,0.78,0.0,0.48,0.02,0.12,0.0,1.12,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.46,0.58,0.9,0.05,2.12,other
https://www.hltv.org/stats/players/11617/malbsmd?maps=de_ancient,0.92,0.02,0.49,0.06,0.01,0.84,0.2,0.0,0.0,0.66,0.12,0.15,0.21,0.26,0.19,0.16,0.53,0.11,0.15,0.2,0.22,1.1,0.86,0.15,0.14,0.0,0.51,0.7,0.03,0.29,0.01,0.07,0.0,0.97,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.8,0.49,0.03,2.19,malbsMd,de_ancient,22.0,0.9,0.02,0.52,0.06,0.01,0.89,0.22,0.62,0.04,0.71,0.11,0.14,0.2,0.26,0.22,0.19,0.69,0.1,0.16,0.19,0.23,1.11,0.79,0.14,0.11,0.26,0.56,0.7,0.0,0.28,0.01,0.07,0.0,0.97,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.77,1.16,0.46,0.04,2.41,0.87,0.02,0.47,0.05,0.01,0.8,0.19,0.6,0.04,0.55,0.13,0.16,0.22,0.25,0.17,0.13,0.43,0.13,0.15,0.2,0.21,1.09,0.87,0.15,0.17,0.32,0.47,0.71,0.0,0.31,0.02,0.07,0.0,0.95,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.38,0.43,0.52,0.03,1.99,other
https://www.hltv.org/stats/players/19230/m0nesy?maps=de_ancient,0.85,0.02,0.5,0.06,0.01,0.78,0.2,0.0,0.0,0.47,0.11,0.12,0.2,0.34,0.11,0.18,0.44,0.1,0.15,0.19,0.21,1.01,0.7,0.12,0.08,0.0,0.61,0.74,0.02,0.63,0.03,0.11,0.0,1.15,0.08,0.92,0.35,0.45,0.25,0.09,0.07,0.66,0.0,0.94,0.85,0.08,2.29,m0NESY,de_ancient,20.0,0.77,0.02,0.5,0.06,0.01,0.79,0.21,0.54,0.04,0.51,0.08,0.12,0.2,0.31,0.13,0.2,0.38,0.08,0.12,0.15,0.22,1.0,0.76,0.14,0.09,0.22,0.62,0.74,0.0,0.67,0.02,0.1,0.0,1.15,0.12,0.91,0.41,0.52,0.3,0.11,0.09,0.67,0.4,0.81,0.68,0.09,2.72,0.86,0.02,0.5,0.05,0.01,0.76,0.19,0.55,0.05,0.46,0.13,0.13,0.2,0.38,0.1,0.15,0.58,0.13,0.17,0.23,0.19,1.01,0.57,0.1,0.07,0.17,0.59,0.74,0.0,0.59,0.03,0.12,0.0,1.15,0.03,0.92,0.29,0.37,0.2,0.07,0.05,0.71,0.31,1.08,1.11,0.08,2.03,other
https://www.hltv.org/stats/players/7716/chopper?maps=de_ancient,0.27,0.01,0.43,0.04,0.01,0.69,0.14,0.0,0.0,0.67,0.11,0.15,0.22,0.28,0.16,0.21,0.08,0.08,0.09,0.15,0.2,1.13,0.39,0.09,0.1,0.0,0.47,0.75,0.03,0.32,0.01,0.08,0.0,1.12,0.07,0.0,0.01,0.01,0.01,0.0008,0.0004,0.79,0.0,0.33,0.94,0.08,2.25,chopper,de_ancient,28.0,0.51,0.01,0.5,0.05,0.01,0.79,0.16,0.52,0.03,0.67,0.09,0.13,0.22,0.23,0.19,0.21,0.17,0.07,0.09,0.12,0.21,1.13,0.56,0.11,0.09,0.21,0.54,0.75,0.0,0.31,0.01,0.06,0.0,1.07,0.09,0.0,0.01,0.01,0.01,0.002,0.0,0.83,0.76,0.4,0.62,0.06,2.51,0.09,0.01,0.37,0.04,0.01,0.58,0.11,0.42,0.03,0.61,0.13,0.16,0.23,0.33,0.13,0.21,0.16,0.08,0.1,0.19,0.2,1.14,0.25,0.06,0.11,0.17,0.37,0.75,0.0,0.36,0.02,0.09,0.0,1.15,0.05,0.0,0.0,0.01,0.01,0.0,0.0008,0.66,0.26,0.25,1.3,0.1,2.13,other
https://www.hltv.org/stats/players/16920/sh1ro?maps=de_ancient,0.83,0.02,0.52,0.05,0.01,0.76,0.2,0.0,0.0,0.16,0.08,0.1,0.18,0.23,0.1,0.2,0.72,0.12,0.17,0.22,0.24,0.96,0.41,0.09,0.05,0.0,0.67,0.77,0.02,0.92,0.04,0.14,0.0,1.23,0.16,0.92,0.36,0.45,0.28,0.09,0.07,0.55,0.0,0.78,0.64,0.05,2.33,sh1ro,de_ancient,23.0,0.81,0.02,0.56,0.05,0.01,0.78,0.22,0.51,0.05,0.16,0.06,0.08,0.16,0.14,0.11,0.22,0.63,0.1,0.15,0.18,0.25,0.93,0.55,0.12,0.04,0.16,0.75,0.78,0.0,0.74,0.02,0.12,0.0,1.22,0.23,0.93,0.49,0.57,0.38,0.13,0.1,0.56,0.36,0.96,0.52,0.05,2.67,0.78,0.02,0.48,0.05,0.01,0.73,0.18,0.51,0.04,0.24,0.1,0.12,0.19,0.3,0.1,0.19,0.78,0.15,0.2,0.27,0.23,1.0,0.3,0.07,0.05,0.12,0.56,0.77,0.0,0.95,0.06,0.16,0.0,1.27,0.1,0.88,0.24,0.32,0.18,0.05,0.03,0.58,0.32,0.61,0.74,0.05,2.08,other
https://www.hltv.org/stats/players/18317/magixx?maps=de_ancient,0.6,0.01,0.46,0.05,0.01,0.77,0.16,0.0,0.0,0.71,0.12,0.15,0.23,0.29,0.19,0.23,0.34,0.1,0.13,0.19,0.21,1.15,0.56,0.1,0.09,0.0,0.54,0.76,0.03,0.46,0.02,0.09,0.0,1.13,0.08,0.0,0.01,0.01,0.01,0.0004,0.0,0.73,0.0,0.93,0.6,0.03,2.05,magixx,de_ancient,21.0,0.65,0.01,0.49,0.05,0.01,0.82,0.18,0.54,0.05,0.71,0.1,0.13,0.23,0.22,0.21,0.26,0.4,0.09,0.11,0.16,0.23,1.13,0.53,0.11,0.06,0.18,0.64,0.77,0.0,0.37,0.01,0.08,0.0,1.13,0.12,0.0,0.01,0.01,0.01,0.0008,0.0,0.81,0.95,1.34,0.59,0.03,2.02,0.47,0.01,0.43,0.04,0.01,0.72,0.14,0.52,0.03,0.63,0.13,0.16,0.23,0.33,0.16,0.19,0.41,0.12,0.14,0.22,0.18,1.18,0.56,0.09,0.12,0.21,0.45,0.75,0.0,0.54,0.03,0.11,0.0,1.13,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.67,0.59,0.49,0.63,0.03,2.07,other
https://www.hltv.org/stats/players/20423/zont1x?maps=de_ancient,0.48,0.01,0.44,0.04,0.01,0.74,0.15,0.0,0.0,0.53,0.12,0.13,0.2,0.29,0.2,0.24,0.37,0.1,0.13,0.2,0.23,1.15,0.6,0.11,0.12,0.0,0.48,0.77,0.03,0.43,0.02,0.09,0.0,1.1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.85,0.62,0.05,2.24,zont1x,de_ancient,19.0,0.51,0.01,0.48,0.05,0.01,0.8,0.16,0.52,0.05,0.55,0.09,0.12,0.2,0.32,0.21,0.24,0.38,0.09,0.11,0.16,0.21,1.15,0.71,0.13,0.1,0.23,0.56,0.79,0.0,0.35,0.01,0.08,0.0,1.05,0.08,0.0,0.0,0.01,0.01,0.0,0.0,0.73,0.82,0.77,0.46,0.05,2.27,0.41,0.01,0.41,0.04,0.01,0.69,0.14,0.48,0.04,0.49,0.15,0.13,0.2,0.27,0.18,0.23,0.47,0.11,0.14,0.24,0.25,1.15,0.44,0.08,0.13,0.21,0.39,0.74,0.0,0.49,0.02,0.1,0.0,1.17,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.5,0.93,0.78,0.04,2.22,other
