full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age,ct_firepower,ct_kills_per_round,ct_rounds_with_a_kill,ct_kills_per_round_win,ct_rating_1.0,ct_damage_per_round,ct_rounds_with_a_multi_kill,ct_damage_per_round_win,ct_pistol_round_rating,ct_entrying,ct_saved_by_teammate_per_round,ct_traded_deaths_per_round,ct_traded_deaths_percentage,ct_opening_deaths_traded_percentage,ct_assists_per_round,ct_support_rounds,ct_trading,ct_saved_teammate_per_round,ct_trade_kills_per_round,ct_trade_kills_percentage,ct_assisted_kills_percentage,ct_damage_per_kill,ct_opening,ct_opening_kills_per_round,ct_opening_deaths_per_round,ct_opening_attempts,ct_opening_success,ct_win_after_opening_kill,ct_attacks_per_round,ct_clutching,ct_clutch_points_per_round,ct_last_alive_percentage,ct_1on1_win_percentage,ct_time_alive_per_round,ct_saves_per_round_loss,ct_sniping,ct_sniper_kills_per_round,ct_sniper_kills_percentage,ct_rounds_with_sniper_kills_percentage,ct_sniper_multi_kill_rounds,ct_sniper_opening_kills_per_round,ct_utility,ct_utility_damage_per_round,ct_utility_kills_per_100_rounds,ct_flashes_thrown_per_round,ct_flash_assists_per_round,ct_time_opponent_flashed_per_round,t_firepower,t_kills_per_round,t_rounds_with_a_kill,t_kills_per_round_win,t_rating_1.0,t_damage_per_round,t_rounds_with_a_multi_kill,t_damage_per_round_win,t_pistol_round_rating,t_entrying,t_saved_by_teammate_per_round,t_traded_deaths_per_round,t_traded_deaths_percentage,t_opening_deaths_traded_percentage,t_assists_per_round,t_support_rounds,t_trading,t_saved_teammate_per_round,t_trade_kills_per_round,t_trade_kills_percentage,t_assisted_kills_percentage,t_damage_per_kill,t_opening,t_opening_kills_per_round,t_opening_deaths_per_round,t_opening_attempts,t_opening_success,t_win_after_opening_kill,t_attacks_per_round,t_clutching,t_clutch_points_per_round,t_last_alive_percentage,t_1on1_win_percentage,t_time_alive_per_round,t_saves_per_round_loss,t_sniping,t_sniper_kills_per_round,t_sniper_kills_percentage,t_rounds_with_sniper_kills_percentage,t_sniper_multi_kill_rounds,t_sniper_opening_kills_per_round,t_utility,t_utility_damage_per_round,t_utility_kills_per_100_rounds,t_flashes_thrown_per_round,t_flash_assists_per_round,t_time_opponent_flashed_per_round,team
https://www.hltv.org/stats/players/2553/snax?maps=de_dust2,0.44,0.01,0.45,0.05,0.01,0.7,0.16,0.0,0.0,0.05,0.08,0.08,0.12,0.12,0.15,0.19,0.03,0.07,0.07,0.1,0.18,0.74,0.64,0.11,0.11,0.0,0.51,0.72,0.02,0.48,0.03,0.08,0.0,0.75,0.07,0.59,0.2,0.3,0.15,0.05,0.05,0.57,0.0,1.19,0.59,0.05,2.4,Snax,de_dust2,31.0,0.36,0.01,0.46,0.05,0.01,0.72,0.16,0.34,0.04,0.05,0.05,0.07,0.11,0.09,0.15,0.16,0.02,0.04,0.06,0.08,0.18,0.74,0.67,0.13,0.1,0.23,0.55,0.73,0.0,0.43,0.02,0.07,0.0,0.77,0.13,0.59,0.19,0.42,0.18,0.06,0.07,0.56,0.5,0.99,0.47,0.05,2.31,0.49,0.01,0.43,0.05,0.01,0.69,0.15,0.32,0.03,0.03,0.06,0.09,0.12,0.15,0.14,0.12,0.07,0.06,0.08,0.12,0.18,0.74,0.56,0.1,0.11,0.21,0.46,0.72,0.0,0.52,0.03,0.09,0.0,0.72,0.02,0.62,0.12,0.29,0.12,0.04,0.03,0.58,0.3,0.78,0.71,0.05,2.46,other
https://www.hltv.org/stats/players/7998/s1mple?maps=de_dust2,0.97,0.02,0.53,0.06,0.01,0.85,0.21,0.0,0.0,0.07,0.08,0.09,0.15,0.1,0.11,0.15,0.16,0.09,0.11,0.14,0.16,0.87,0.9,0.15,0.09,0.0,0.61,0.77,0.02,0.55,0.03,0.1,0.0,1.02,0.1,0.93,0.4,0.49,0.3,0.11,0.1,0.54,0.0,0.64,0.74,0.06,2.15,s1mple,de_dust2,27.0,0.92,0.02,0.54,0.06,0.01,0.87,0.22,0.53,0.05,0.17,0.06,0.09,0.15,0.09,0.12,0.15,0.16,0.06,0.1,0.12,0.17,0.85,0.91,0.17,0.1,0.27,0.64,0.76,0.0,0.48,0.02,0.08,0.0,0.98,0.17,0.92,0.39,0.54,0.32,0.13,0.12,0.59,0.39,0.61,0.63,0.05,2.26,0.96,0.02,0.52,0.06,0.01,0.84,0.21,0.51,0.03,0.05,0.08,0.09,0.14,0.1,0.11,0.12,0.2,0.1,0.12,0.15,0.14,0.89,0.79,0.13,0.09,0.22,0.58,0.78,0.0,0.61,0.03,0.12,0.0,1.05,0.03,0.94,0.3,0.45,0.27,0.1,0.08,0.52,0.11,0.48,0.86,0.07,2.07,other
https://www.hltv.org/stats/players/3741/niko?maps=de_dust2,0.96,0.02,0.52,0.06,0.01,0.87,0.21,0.0,0.0,0.16,0.09,0.11,0.16,0.18,0.14,0.15,0.21,0.1,0.11,0.14,0.16,0.93,0.88,0.15,0.12,0.0,0.56,0.72,0.03,0.33,0.02,0.07,0.0,0.97,0.07,0.42,0.16,0.2,0.12,0.05,0.05,0.7,0.0,0.64,0.85,0.05,1.89,NiKo,de_dust2,28.0,0.91,0.02,0.53,0.06,0.01,0.91,0.21,0.57,0.05,0.19,0.06,0.09,0.16,0.16,0.16,0.15,0.19,0.07,0.1,0.12,0.16,0.95,0.89,0.17,0.1,0.27,0.63,0.71,0.0,0.34,0.01,0.06,0.0,0.95,0.12,0.59,0.23,0.31,0.2,0.07,0.07,0.82,0.74,0.81,0.68,0.06,2.0,0.95,0.02,0.5,0.06,0.01,0.82,0.21,0.51,0.04,0.16,0.09,0.12,0.17,0.19,0.12,0.11,0.25,0.1,0.13,0.16,0.15,0.91,0.8,0.12,0.13,0.26,0.48,0.74,0.0,0.35,0.02,0.08,0.0,0.97,0.02,0.16,0.06,0.08,0.05,0.02,0.02,0.52,0.17,0.43,0.99,0.04,1.81,other
https://www.hltv.org/stats/players/3972/hunter?maps=de_dust2,0.82,0.02,0.48,0.05,0.01,0.8,0.19,0.0,0.0,0.38,0.1,0.13,0.19,0.25,0.13,0.17,0.37,0.11,0.13,0.18,0.18,1.06,0.56,0.1,0.1,0.0,0.52,0.76,0.03,0.43,0.02,0.08,0.0,1.08,0.07,0.01,0.01,0.02,0.01,0.001,0.002,0.77,0.0,1.08,0.73,0.04,2.32,huNter-,de_dust2,29.0,0.8,0.02,0.49,0.06,0.01,0.85,0.2,0.59,0.04,0.4,0.08,0.11,0.18,0.24,0.15,0.19,0.39,0.08,0.12,0.15,0.2,1.07,0.58,0.12,0.09,0.2,0.57,0.73,0.0,0.37,0.01,0.07,0.0,1.05,0.12,0.0,0.01,0.02,0.01,0.002,0.002,0.74,0.79,1.54,0.46,0.04,2.72,0.75,0.01,0.46,0.05,0.01,0.75,0.18,0.53,0.03,0.38,0.11,0.14,0.2,0.26,0.11,0.14,0.43,0.12,0.15,0.21,0.17,1.04,0.52,0.09,0.1,0.2,0.47,0.79,0.0,0.47,0.03,0.09,0.0,1.1,0.02,0.02,0.01,0.02,0.01,0.001,0.001,0.65,0.31,0.64,0.97,0.04,2.13,other
https://www.hltv.org/stats/players/11617/malbsmd?maps=de_dust2,0.75,0.02,0.47,0.05,0.01,0.77,0.18,0.0,0.0,0.76,0.12,0.16,0.22,0.31,0.15,0.14,0.33,0.1,0.13,0.18,0.2,1.07,0.68,0.11,0.11,0.0,0.52,0.76,0.03,0.37,0.02,0.07,0.0,1.02,0.05,0.0,0.0,0.01,0.0,0.001,0.0,0.59,0.0,1.07,0.63,0.05,2.4,malbsMd,de_dust2,22.0,0.64,0.01,0.47,0.06,0.01,0.79,0.18,0.58,0.04,0.62,0.1,0.13,0.2,0.22,0.16,0.17,0.43,0.09,0.12,0.16,0.21,1.08,0.48,0.11,0.08,0.19,0.57,0.69,0.0,0.44,0.02,0.07,0.0,1.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.56,1.49,0.47,0.04,2.22,0.78,0.02,0.47,0.05,0.01,0.75,0.18,0.55,0.04,0.77,0.14,0.18,0.24,0.37,0.13,0.12,0.37,0.12,0.14,0.2,0.19,1.06,0.79,0.12,0.13,0.25,0.48,0.81,0.0,0.35,0.02,0.07,0.0,1.0,0.01,0.01,0.01,0.01,0.0,0.002,0.0,0.56,0.23,0.65,0.77,0.05,2.51,other
https://www.hltv.org/stats/players/19230/m0nesy?maps=de_dust2,0.96,0.02,0.53,0.06,0.01,0.85,0.21,0.0,0.0,0.15,0.08,0.1,0.18,0.17,0.12,0.17,0.46,0.11,0.15,0.18,0.18,1.04,0.91,0.15,0.09,0.0,0.63,0.78,0.02,0.75,0.03,0.12,0.0,1.23,0.08,0.95,0.48,0.58,0.34,0.12,0.12,0.6,0.0,0.32,0.85,0.12,2.79,m0NESY,de_dust2,20.0,0.92,0.02,0.55,0.06,0.01,0.87,0.22,0.6,0.05,0.38,0.08,0.1,0.19,0.19,0.12,0.18,0.51,0.1,0.13,0.16,0.19,1.02,0.93,0.17,0.09,0.27,0.66,0.8,0.0,0.68,0.02,0.09,0.0,1.18,0.14,0.93,0.51,0.6,0.37,0.13,0.14,0.61,0.29,0.37,0.72,0.11,2.68,0.94,0.02,0.5,0.06,0.01,0.82,0.2,0.59,0.04,0.1,0.08,0.1,0.17,0.14,0.12,0.17,0.47,0.13,0.16,0.2,0.17,1.06,0.81,0.13,0.09,0.22,0.61,0.75,0.0,0.77,0.04,0.14,0.0,1.28,0.02,0.97,0.44,0.57,0.32,0.11,0.11,0.61,0.13,0.27,0.97,0.12,2.87,other
https://www.hltv.org/stats/players/7716/chopper?maps=de_dust2,0.53,0.01,0.45,0.05,0.01,0.74,0.16,0.0,0.0,0.76,0.12,0.15,0.24,0.26,0.14,0.19,0.18,0.09,0.11,0.17,0.19,1.09,0.6,0.11,0.12,0.0,0.48,0.72,0.03,0.43,0.02,0.07,0.0,1.1,0.07,0.0,0.01,0.01,0.01,0.001,0.0003,0.82,0.0,1.09,0.98,0.08,2.44,chopper,de_dust2,28.0,0.66,0.01,0.49,0.05,0.01,0.82,0.18,0.54,0.04,0.7,0.1,0.14,0.22,0.21,0.18,0.2,0.29,0.08,0.11,0.15,0.2,1.1,0.69,0.13,0.1,0.22,0.57,0.71,0.0,0.3,0.01,0.06,0.0,1.07,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.85,2.05,0.67,0.07,2.59,0.36,0.01,0.42,0.04,0.01,0.66,0.14,0.45,0.03,0.69,0.14,0.17,0.24,0.3,0.11,0.17,0.23,0.1,0.11,0.19,0.17,1.07,0.48,0.09,0.13,0.22,0.39,0.72,0.0,0.52,0.03,0.09,0.0,1.13,0.02,0.02,0.01,0.02,0.01,0.002,0.0007,0.63,0.2,0.13,1.23,0.08,2.36,other
https://www.hltv.org/stats/players/16920/sh1ro?maps=de_dust2,0.87,0.02,0.5,0.05,0.01,0.82,0.19,0.0,0.0,0.1,0.08,0.09,0.17,0.18,0.14,0.22,0.39,0.1,0.14,0.19,0.19,1.07,0.74,0.13,0.06,0.0,0.69,0.77,0.02,0.9,0.04,0.15,0.0,1.27,0.17,0.95,0.48,0.63,0.37,0.12,0.11,0.7,0.0,0.84,0.89,0.08,2.19,sh1ro,de_dust2,23.0,0.8,0.02,0.52,0.06,0.01,0.83,0.2,0.59,0.04,0.2,0.07,0.08,0.17,0.15,0.15,0.22,0.46,0.09,0.13,0.16,0.19,1.05,0.82,0.15,0.06,0.22,0.7,0.76,0.0,0.75,0.02,0.12,0.0,1.23,0.25,0.94,0.54,0.68,0.4,0.14,0.14,0.82,0.66,1.11,0.84,0.08,2.14,0.85,0.02,0.49,0.05,0.01,0.8,0.18,0.54,0.04,0.12,0.09,0.09,0.17,0.22,0.14,0.21,0.42,0.11,0.15,0.21,0.18,1.09,0.59,0.1,0.05,0.16,0.67,0.79,0.0,0.94,0.06,0.18,0.0,1.32,0.08,0.97,0.43,0.58,0.34,0.1,0.09,0.59,0.16,0.55,0.96,0.08,2.24,other
https://www.hltv.org/stats/players/18317/magixx?maps=de_dust2,0.42,0.01,0.44,0.04,0.01,0.7,0.16,0.0,0.0,0.65,0.11,0.14,0.23,0.29,0.13,0.22,0.35,0.1,0.12,0.19,0.19,1.08,0.42,0.09,0.1,0.0,0.49,0.79,0.02,0.37,0.01,0.08,0.0,1.18,0.1,0.01,0.01,0.02,0.01,0.002,0.004,0.74,0.0,1.05,0.82,0.05,2.53,magixx,de_dust2,21.0,0.35,0.01,0.44,0.05,0.01,0.72,0.16,0.48,0.04,0.4,0.08,0.11,0.2,0.19,0.14,0.27,0.28,0.08,0.1,0.16,0.19,1.11,0.32,0.09,0.08,0.17,0.52,0.73,0.0,0.41,0.01,0.07,0.0,1.15,0.15,0.0,0.01,0.01,0.01,0.002,0.001,0.68,0.7,1.52,0.49,0.04,1.81,0.47,0.01,0.43,0.05,0.01,0.67,0.15,0.48,0.04,0.76,0.14,0.17,0.27,0.36,0.11,0.18,0.5,0.13,0.15,0.23,0.2,1.06,0.56,0.09,0.11,0.2,0.46,0.84,0.0,0.37,0.02,0.09,0.0,1.22,0.04,0.04,0.02,0.03,0.02,0.002,0.007,0.66,0.22,0.61,1.11,0.06,2.85,other
https://www.hltv.org/stats/players/20423/zont1x?maps=de_dust2,0.21,0.01,0.42,0.04,0.01,0.68,0.13,0.0,0.0,0.5,0.11,0.13,0.21,0.22,0.17,0.25,0.46,0.1,0.13,0.22,0.25,1.15,0.29,0.08,0.08,0.0,0.52,0.72,0.03,0.44,0.02,0.08,0.0,1.2,0.08,0.03,0.02,0.03,0.02,0.003,0.005,0.69,0.0,1.59,0.6,0.05,2.23,zont1x,de_dust2,19.0,0.29,0.01,0.45,0.04,0.01,0.72,0.15,0.47,0.04,0.51,0.09,0.12,0.2,0.12,0.19,0.26,0.65,0.1,0.13,0.2,0.27,1.13,0.29,0.09,0.05,0.14,0.62,0.66,0.0,0.76,0.03,0.08,0.0,1.18,0.12,0.04,0.04,0.06,0.03,0.007,0.01,0.67,0.79,2.26,0.43,0.04,2.01,0.17,0.01,0.4,0.04,0.01,0.64,0.11,0.44,0.02,0.48,0.13,0.14,0.22,0.26,0.15,0.24,0.39,0.1,0.13,0.24,0.22,1.17,0.37,0.08,0.1,0.17,0.44,0.79,0.0,0.25,0.007,0.08,0.0,1.22,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.59,0.28,0.96,0.74,0.06,2.36,other
