full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age,ct_firepower,ct_kills_per_round,ct_rounds_with_a_kill,ct_kills_per_round_win,ct_rating_1.0,ct_damage_per_round,ct_rounds_with_a_multi_kill,ct_damage_per_round_win,ct_pistol_round_rating,ct_entrying,ct_saved_by_teammate_per_round,ct_traded_deaths_per_round,ct_traded_deaths_percentage,ct_opening_deaths_traded_percentage,ct_assists_per_round,ct_support_rounds,ct_trading,ct_saved_teammate_per_round,ct_trade_kills_per_round,ct_trade_kills_percentage,ct_assisted_kills_percentage,ct_damage_per_kill,ct_opening,ct_opening_kills_per_round,ct_opening_deaths_per_round,ct_opening_attempts,ct_opening_success,ct_win_after_opening_kill,ct_attacks_per_round,ct_clutching,ct_clutch_points_per_round,ct_last_alive_percentage,ct_1on1_win_percentage,ct_time_alive_per_round,ct_saves_per_round_loss,ct_sniping,ct_sniper_kills_per_round,ct_sniper_kills_percentage,ct_rounds_with_sniper_kills_percentage,ct_sniper_multi_kill_rounds,ct_sniper_opening_kills_per_round,ct_utility,ct_utility_damage_per_round,ct_utility_kills_per_100_rounds,ct_flashes_thrown_per_round,ct_flash_assists_per_round,ct_time_opponent_flashed_per_round,t_firepower,t_kills_per_round,t_rounds_with_a_kill,t_kills_per_round_win,t_rating_1.0,t_damage_per_round,t_rounds_with_a_multi_kill,t_damage_per_round_win,t_pistol_round_rating,t_entrying,t_saved_by_teammate_per_round,t_traded_deaths_per_round,t_traded_deaths_percentage,t_opening_deaths_traded_percentage,t_assists_per_round,t_support_rounds,t_trading,t_saved_teammate_per_round,t_trade_kills_per_round,t_trade_kills_percentage,t_assisted_kills_percentage,t_damage_per_kill,t_opening,t_opening_kills_per_round,t_opening_deaths_per_round,t_opening_attempts,t_opening_success,t_win_after_opening_kill,t_attacks_per_round,t_clutching,t_clutch_points_per_round,t_last_alive_percentage,t_1on1_win_percentage,t_time_alive_per_round,t_saves_per_round_loss,t_sniping,t_sniper_kills_per_round,t_sniper_kills_percentage,t_rounds_with_sniper_kills_percentage,t_sniper_multi_kill_rounds,t_sniper_opening_kills_per_round,t_utility,t_utility_damage_per_round,t_utility_kills_per_100_rounds,t_flashes_thrown_per_round,t_flash_assists_per_round,t_time_opponent_flashed_per_round,team
https://www.hltv.org/stats/players/2553/snax?maps=de_inferno,0.45,0.01,0.45,0.05,0.01,0.7,0.16,0.0,0.0,0.14,0.1,0.09,0.13,0.16,0.14,0.19,0.08,0.09,0.08,0.12,0.21,0.7,0.53,0.1,0.11,0.0,0.48,0.71,0.03,0.43,0.02,0.07,0.0,0.77,0.08,0.16,0.09,0.13,0.07,0.02,0.02,0.63,0.0,1.39,0.48,0.04,2.39,Snax,de_inferno,31.0,0.49,0.01,0.48,0.05,0.01,0.73,0.17,0.31,0.04,0.06,0.05,0.07,0.12,0.13,0.16,0.15,0.04,0.04,0.06,0.09,0.23,0.67,0.55,0.12,0.09,0.21,0.55,0.68,0.0,0.43,0.02,0.06,0.0,0.78,0.15,0.23,0.11,0.26,0.1,0.03,0.03,0.69,0.83,1.25,0.4,0.03,2.91,0.36,0.01,0.41,0.05,0.01,0.67,0.14,0.34,0.03,0.08,0.08,0.1,0.14,0.18,0.12,0.11,0.11,0.07,0.09,0.15,0.18,0.74,0.48,0.09,0.13,0.21,0.4,0.76,0.0,0.44,0.03,0.08,0.0,0.77,0.02,0.12,0.04,0.1,0.03,0.01,0.008,0.57,0.43,0.49,0.6,0.04,2.04,other
https://www.hltv.org/stats/players/7998/s1mple?maps=de_inferno,0.95,0.02,0.52,0.06,0.01,0.83,0.21,0.0,0.0,0.1,0.08,0.09,0.15,0.14,0.11,0.17,0.37,0.12,0.13,0.16,0.18,0.84,0.88,0.15,0.1,0.0,0.6,0.73,0.02,0.64,0.03,0.09,0.0,1.08,0.13,0.78,0.26,0.32,0.19,0.07,0.07,0.55,0.0,0.62,0.61,0.04,2.31,s1mple,de_inferno,27.0,0.93,0.02,0.54,0.06,0.01,0.87,0.23,0.51,0.04,0.12,0.06,0.09,0.15,0.11,0.12,0.16,0.19,0.07,0.1,0.12,0.18,0.84,0.91,0.19,0.11,0.3,0.64,0.7,0.0,0.42,0.01,0.07,0.0,1.07,0.2,0.82,0.3,0.43,0.26,0.11,0.11,0.5,0.46,0.64,0.42,0.04,2.85,0.91,0.02,0.5,0.06,0.01,0.8,0.19,0.48,0.03,0.1,0.08,0.1,0.16,0.18,0.1,0.13,0.49,0.13,0.16,0.21,0.18,0.84,0.65,0.11,0.09,0.2,0.53,0.79,0.0,0.77,0.05,0.12,0.0,1.1,0.04,0.48,0.12,0.19,0.12,0.03,0.03,0.59,0.3,0.52,0.83,0.05,2.04,other
https://www.hltv.org/stats/players/3741/niko?maps=de_inferno,0.88,0.02,0.49,0.05,0.01,0.83,0.19,0.0,0.0,0.15,0.09,0.1,0.16,0.17,0.15,0.19,0.25,0.11,0.11,0.15,0.17,0.94,0.87,0.14,0.11,0.0,0.55,0.74,0.03,0.5,0.02,0.09,0.0,1.03,0.08,0.06,0.04,0.05,0.03,0.008,0.007,0.81,0.0,1.16,0.64,0.05,2.35,NiKo,de_inferno,28.0,0.9,0.02,0.51,0.06,0.01,0.9,0.21,0.5,0.05,0.13,0.06,0.08,0.14,0.16,0.18,0.19,0.21,0.08,0.1,0.12,0.19,0.94,0.86,0.16,0.09,0.25,0.63,0.72,0.0,0.57,0.02,0.09,0.0,1.03,0.13,0.07,0.05,0.07,0.04,0.01,0.01,0.88,1.12,1.6,0.53,0.05,2.96,0.75,0.01,0.46,0.05,0.01,0.76,0.17,0.48,0.04,0.19,0.1,0.12,0.17,0.19,0.12,0.14,0.3,0.12,0.13,0.18,0.16,0.95,0.78,0.12,0.14,0.26,0.47,0.76,0.0,0.46,0.02,0.1,0.0,1.05,0.03,0.05,0.02,0.04,0.02,0.004,0.002,0.77,0.61,0.57,0.77,0.05,1.93,other
https://www.hltv.org/stats/players/3972/hunter?maps=de_inferno,0.89,0.02,0.5,0.05,0.01,0.83,0.2,0.0,0.0,0.56,0.11,0.14,0.21,0.24,0.15,0.18,0.53,0.12,0.15,0.2,0.19,1.09,0.64,0.11,0.09,0.0,0.56,0.76,0.03,0.45,0.02,0.08,0.0,1.2,0.09,0.0,0.0,0.0,0.0,0.0005,0.0002,0.7,0.0,1.14,0.62,0.05,2.1,huNter-,de_inferno,29.0,0.9,0.02,0.53,0.06,0.01,0.89,0.21,0.6,0.05,0.62,0.09,0.13,0.21,0.22,0.17,0.2,0.47,0.09,0.13,0.16,0.21,1.08,0.68,0.13,0.07,0.21,0.64,0.71,0.0,0.34,0.01,0.06,0.0,1.18,0.15,0.0,0.0,0.0,0.0,0.0006,0.0004,0.78,0.8,1.38,0.47,0.05,2.98,0.79,0.01,0.47,0.05,0.01,0.77,0.18,0.54,0.04,0.47,0.13,0.14,0.21,0.25,0.12,0.16,0.63,0.14,0.17,0.24,0.17,1.09,0.54,0.09,0.1,0.19,0.48,0.82,0.0,0.55,0.03,0.11,0.0,1.23,0.02,0.0,0.0,0.01,0.0,0.0004,0.0,0.52,0.29,0.85,0.78,0.04,1.58,other
https://www.hltv.org/stats/players/11617/malbsmd?maps=de_inferno,0.88,0.02,0.47,0.06,0.01,0.81,0.2,0.0,0.0,0.82,0.12,0.17,0.24,0.26,0.16,0.17,0.39,0.11,0.13,0.18,0.19,1.09,0.89,0.15,0.13,0.0,0.53,0.75,0.03,0.41,0.02,0.07,0.0,1.08,0.06,0.0,0.0,0.01,0.0,0.001,0.0004,0.62,0.0,1.58,0.46,0.03,2.25,malbsMd,de_inferno,22.0,0.82,0.02,0.49,0.06,0.01,0.84,0.21,0.59,0.04,0.7,0.1,0.14,0.22,0.23,0.19,0.22,0.4,0.09,0.12,0.15,0.23,1.09,0.85,0.15,0.1,0.25,0.61,0.75,0.0,0.57,0.02,0.08,0.0,1.12,0.11,0.0,0.01,0.01,0.0,0.001,0.0007,0.75,1.12,2.22,0.42,0.04,2.8,0.85,0.02,0.45,0.06,0.01,0.78,0.19,0.6,0.04,0.84,0.15,0.2,0.27,0.28,0.12,0.12,0.48,0.14,0.15,0.2,0.15,1.1,0.87,0.15,0.17,0.31,0.47,0.75,0.0,0.32,0.02,0.06,0.0,1.07,0.02,0.0,0.0,0.0,0.0,0.0008,0.0,0.58,0.57,0.89,0.53,0.02,1.83,other
https://www.hltv.org/stats/players/19230/m0nesy?maps=de_inferno,0.8,0.02,0.5,0.05,0.01,0.76,0.19,0.0,0.0,0.31,0.1,0.11,0.2,0.2,0.11,0.21,0.59,0.12,0.16,0.21,0.19,1.01,0.79,0.13,0.08,0.0,0.64,0.72,0.02,0.56,0.02,0.1,0.0,1.33,0.15,0.91,0.33,0.43,0.24,0.08,0.08,0.61,0.0,0.73,0.75,0.08,2.32,m0NESY,de_inferno,20.0,0.88,0.02,0.54,0.06,0.01,0.84,0.21,0.6,0.05,0.29,0.07,0.1,0.18,0.18,0.11,0.22,0.52,0.09,0.14,0.16,0.2,1.0,0.88,0.17,0.07,0.24,0.72,0.71,0.0,0.48,0.01,0.09,0.0,1.32,0.25,0.92,0.44,0.53,0.32,0.12,0.12,0.53,0.39,0.74,0.45,0.05,3.01,0.59,0.01,0.47,0.05,0.01,0.69,0.16,0.49,0.04,0.39,0.12,0.13,0.21,0.21,0.1,0.2,0.67,0.14,0.17,0.26,0.18,1.03,0.55,0.1,0.08,0.18,0.54,0.75,0.0,0.61,0.03,0.12,0.0,1.35,0.05,0.86,0.21,0.31,0.17,0.05,0.04,0.65,0.26,0.71,1.02,0.1,2.01,other
https://www.hltv.org/stats/players/7716/chopper?maps=de_inferno,0.35,0.01,0.42,0.05,0.01,0.7,0.15,0.0,0.0,0.78,0.12,0.16,0.23,0.31,0.13,0.19,0.19,0.09,0.11,0.18,0.19,1.11,0.6,0.11,0.13,0.0,0.45,0.7,0.03,0.5,0.02,0.08,0.0,1.17,0.08,0.0,0.0,0.01,0.0,0.0008,0.0004,0.83,0.0,1.52,0.68,0.05,2.21,chopper,de_inferno,28.0,0.49,0.01,0.45,0.05,0.01,0.77,0.17,0.52,0.04,0.44,0.08,0.12,0.19,0.26,0.16,0.24,0.27,0.08,0.1,0.15,0.21,1.11,0.52,0.11,0.1,0.21,0.53,0.62,0.0,0.58,0.02,0.09,0.0,1.17,0.14,0.0,0.01,0.01,0.0,0.001,0.0004,0.85,1.07,2.03,0.55,0.04,2.52,0.21,0.01,0.39,0.04,0.01,0.63,0.13,0.46,0.03,0.87,0.16,0.2,0.27,0.34,0.1,0.15,0.27,0.1,0.12,0.21,0.16,1.1,0.66,0.1,0.16,0.26,0.39,0.79,0.0,0.46,0.02,0.07,0.0,1.15,0.02,0.0,0.0,0.01,0.0,0.0004,0.0004,0.78,0.52,0.92,0.8,0.06,2.0,other
https://www.hltv.org/stats/players/16920/sh1ro?maps=de_inferno,0.81,0.02,0.5,0.05,0.01,0.78,0.19,0.0,0.0,0.17,0.09,0.1,0.18,0.17,0.11,0.23,0.55,0.1,0.16,0.21,0.19,1.03,0.68,0.12,0.06,0.0,0.66,0.75,0.02,0.84,0.03,0.14,0.0,1.38,0.21,0.93,0.41,0.54,0.31,0.1,0.1,0.8,0.0,1.18,0.77,0.08,2.49,sh1ro,de_inferno,23.0,0.77,0.02,0.52,0.06,0.01,0.8,0.2,0.55,0.04,0.2,0.07,0.08,0.17,0.14,0.11,0.26,0.37,0.08,0.12,0.15,0.2,1.01,0.84,0.16,0.06,0.22,0.72,0.72,0.0,0.61,0.02,0.11,0.0,1.38,0.32,0.93,0.51,0.63,0.38,0.13,0.14,0.81,0.59,1.29,0.63,0.07,2.96,0.76,0.02,0.48,0.05,0.01,0.75,0.17,0.51,0.04,0.26,0.11,0.11,0.2,0.21,0.1,0.2,0.74,0.13,0.2,0.28,0.18,1.04,0.4,0.08,0.06,0.14,0.56,0.81,0.0,0.93,0.05,0.18,0.0,1.38,0.09,0.93,0.31,0.42,0.24,0.07,0.05,0.82,0.43,1.07,0.97,0.08,2.19,other
https://www.hltv.org/stats/players/18317/magixx?maps=de_inferno,0.37,0.01,0.45,0.05,0.01,0.69,0.15,0.0,0.0,0.78,0.12,0.15,0.24,0.3,0.11,0.2,0.54,0.11,0.14,0.22,0.19,1.08,0.34,0.09,0.09,0.0,0.49,0.72,0.03,0.34,0.01,0.09,0.0,1.27,0.1,0.0,0.01,0.01,0.0,0.0008,0.0,0.54,0.0,1.22,0.47,0.04,2.31,magixx,de_inferno,21.0,0.45,0.01,0.46,0.05,0.01,0.75,0.16,0.53,0.04,0.71,0.1,0.13,0.22,0.25,0.14,0.24,0.55,0.09,0.13,0.19,0.22,1.1,0.29,0.09,0.08,0.16,0.53,0.69,0.0,0.4,0.01,0.07,0.0,1.23,0.16,0.0,0.01,0.01,0.0,0.0008,0.0,0.54,0.83,1.85,0.26,0.03,2.73,0.27,0.01,0.43,0.04,0.01,0.63,0.13,0.45,0.04,0.75,0.15,0.17,0.25,0.33,0.07,0.16,0.59,0.13,0.16,0.26,0.16,1.06,0.45,0.08,0.11,0.19,0.44,0.75,0.0,0.34,0.01,0.1,0.0,1.3,0.02,0.01,0.0,0.01,0.0,0.0008,0.0,0.45,0.18,0.56,0.69,0.05,2.16,other
https://www.hltv.org/stats/players/20423/zont1x?maps=de_inferno,0.71,0.01,0.46,0.05,0.01,0.76,0.18,0.0,0.0,0.37,0.1,0.13,0.2,0.17,0.13,0.21,0.73,0.13,0.16,0.23,0.21,1.09,0.29,0.08,0.08,0.0,0.51,0.68,0.03,0.51,0.02,0.08,0.0,1.23,0.13,0.01,0.01,0.02,0.01,0.002,0.0,0.66,0.0,1.36,0.48,0.05,2.55,zont1x,de_inferno,19.0,0.65,0.01,0.49,0.06,0.01,0.82,0.18,0.57,0.05,0.54,0.09,0.12,0.21,0.14,0.17,0.22,0.7,0.12,0.14,0.19,0.23,1.11,0.27,0.09,0.07,0.16,0.55,0.64,0.0,0.4,0.01,0.06,0.0,1.22,0.2,0.0,0.01,0.01,0.01,0.0,0.0,0.66,0.87,1.98,0.36,0.05,2.62,0.66,0.01,0.42,0.04,0.01,0.7,0.18,0.46,0.04,0.3,0.1,0.13,0.2,0.21,0.08,0.19,0.77,0.15,0.19,0.28,0.18,1.05,0.38,0.08,0.09,0.16,0.48,0.74,0.0,0.64,0.03,0.1,0.0,1.23,0.03,0.03,0.01,0.02,0.01,0.004,0.0,0.6,0.31,0.6,0.71,0.07,2.52,other
