full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age,ct_firepower,ct_kills_per_round,ct_rounds_with_a_kill,ct_kills_per_round_win,ct_rating_1.0,ct_damage_per_round,ct_rounds_with_a_multi_kill,ct_damage_per_round_win,ct_pistol_round_rating,ct_entrying,ct_saved_by_teammate_per_round,ct_traded_deaths_per_round,ct_traded_deaths_percentage,ct_opening_deaths_traded_percentage,ct_assists_per_round,ct_support_rounds,ct_trading,ct_saved_teammate_per_round,ct_trade_kills_per_round,ct_trade_kills_percentage,ct_assisted_kills_percentage,ct_damage_per_kill,ct_opening,ct_opening_kills_per_round,ct_opening_deaths_per_round,ct_opening_attempts,ct_opening_success,ct_win_after_opening_kill,ct_attacks_per_round,ct_clutching,ct_clutch_points_per_round,ct_last_alive_percentage,ct_1on1_win_percentage,ct_time_alive_per_round,ct_saves_per_round_loss,ct_sniping,ct_sniper_kills_per_round,ct_sniper_kills_percentage,ct_rounds_with_sniper_kills_percentage,ct_sniper_multi_kill_rounds,ct_sniper_opening_kills_per_round,ct_utility,ct_utility_damage_per_round,ct_utility_kills_per_100_rounds,ct_flashes_thrown_per_round,ct_flash_assists_per_round,ct_time_opponent_flashed_per_round,t_firepower,t_kills_per_round,t_rounds_with_a_kill,t_kills_per_round_win,t_rating_1.0,t_damage_per_round,t_rounds_with_a_multi_kill,t_damage_per_round_win,t_pistol_round_rating,t_entrying,t_saved_by_teammate_per_round,t_traded_deaths_per_round,t_traded_deaths_percentage,t_opening_deaths_traded_percentage,t_assists_per_round,t_support_rounds,t_trading,t_saved_teammate_per_round,t_trade_kills_per_round,t_trade_kills_percentage,t_assisted_kills_percentage,t_damage_per_kill,t_opening,t_opening_kills_per_round,t_opening_deaths_per_round,t_opening_attempts,t_opening_success,t_win_after_opening_kill,t_attacks_per_round,t_clutching,t_clutch_points_per_round,t_last_alive_percentage,t_1on1_win_percentage,t_time_alive_per_round,t_saves_per_round_loss,t_sniping,t_sniper_kills_per_round,t_sniper_kills_percentage,t_rounds_with_sniper_kills_percentage,t_sniper_multi_kill_rounds,t_sniper_opening_kills_per_round,t_utility,t_utility_damage_per_round,t_utility_kills_per_100_rounds,t_flashes_thrown_per_round,t_flash_assists_per_round,t_time_opponent_flashed_per_round,team
https://www.hltv.org/stats/players/2553/snax?maps=de_nuke,0.69,0.01,0.48,0.05,0.01,0.77,0.17,0.0,0.0,0.09,0.08,0.1,0.16,0.17,0.14,0.17,0.1,0.08,0.11,0.15,0.17,0.96,0.73,0.12,0.1,0.0,0.54,0.77,0.03,0.56,0.03,0.11,0.0,0.75,0.07,0.23,0.12,0.16,0.09,0.03,0.03,0.52,0.0,0.97,0.51,0.03,2.51,Snax,de_nuke,31.0,0.84,0.02,0.53,0.05,0.01,0.84,0.2,0.48,0.04,0.16,0.05,0.09,0.16,0.15,0.17,0.18,0.14,0.06,0.09,0.12,0.18,0.92,0.88,0.16,0.09,0.24,0.65,0.79,0.0,0.47,0.02,0.08,0.0,0.92,0.12,0.3,0.15,0.22,0.13,0.05,0.05,0.52,0.56,0.93,0.4,0.02,2.77,0.41,0.01,0.43,0.05,0.01,0.69,0.14,0.47,0.02,0.1,0.08,0.11,0.15,0.19,0.11,0.12,0.19,0.08,0.12,0.19,0.14,1.02,0.41,0.08,0.11,0.19,0.42,0.72,0.0,0.62,0.04,0.14,0.0,0.58,0.03,0.15,0.06,0.11,0.05,0.01,0.01,0.54,0.37,0.62,0.6,0.03,2.34,other
https://www.hltv.org/stats/players/7998/s1mple?maps=de_nuke,0.98,0.02,0.55,0.06,0.01,0.86,0.23,0.0,0.0,0.06,0.07,0.1,0.15,0.12,0.1,0.13,0.35,0.1,0.14,0.16,0.17,0.87,0.85,0.14,0.08,0.0,0.64,0.76,0.02,0.59,0.03,0.12,0.0,1.0,0.07,0.71,0.24,0.28,0.18,0.06,0.06,0.34,0.0,0.64,0.51,0.03,2.23,s1mple,de_nuke,27.0,0.99,0.02,0.59,0.06,0.01,0.92,0.26,0.53,0.05,0.12,0.05,0.09,0.15,0.09,0.11,0.13,0.25,0.07,0.12,0.12,0.17,0.84,0.95,0.2,0.08,0.28,0.71,0.76,0.0,0.48,0.02,0.08,0.0,0.95,0.14,0.86,0.35,0.43,0.3,0.11,0.11,0.18,0.29,0.62,0.26,0.01,2.26,0.94,0.02,0.51,0.06,0.01,0.8,0.21,0.53,0.03,0.07,0.08,0.1,0.15,0.15,0.08,0.1,0.45,0.11,0.17,0.21,0.18,0.9,0.46,0.09,0.08,0.16,0.53,0.75,0.0,0.66,0.03,0.15,0.0,1.05,0.02,0.21,0.07,0.1,0.07,0.02,0.02,0.48,0.2,0.62,0.73,0.04,2.21,other
https://www.hltv.org/stats/players/3741/niko?maps=de_nuke,0.95,0.02,0.51,0.06,0.01,0.88,0.2,0.0,0.0,0.08,0.08,0.1,0.15,0.14,0.15,0.15,0.16,0.09,0.11,0.14,0.16,1.0,0.91,0.16,0.13,0.0,0.55,0.74,0.03,0.47,0.02,0.1,0.0,0.97,0.07,0.01,0.01,0.02,0.01,0.003,0.003,0.6,0.0,0.63,0.59,0.02,3.0,NiKo,de_nuke,28.0,0.98,0.02,0.55,0.06,0.01,0.98,0.23,0.61,0.04,0.13,0.05,0.09,0.15,0.11,0.19,0.17,0.1,0.06,0.09,0.1,0.16,1.03,0.94,0.21,0.11,0.32,0.65,0.74,0.0,0.36,0.01,0.06,0.0,0.98,0.13,0.0,0.01,0.01,0.01,0.002,0.003,0.63,0.68,0.8,0.41,0.01,4.22,0.77,0.01,0.47,0.05,0.01,0.76,0.17,0.53,0.04,0.12,0.09,0.12,0.16,0.17,0.11,0.11,0.32,0.11,0.14,0.19,0.15,0.97,0.75,0.12,0.16,0.27,0.43,0.72,0.0,0.57,0.03,0.13,0.0,0.97,0.02,0.03,0.01,0.02,0.01,0.003,0.004,0.52,0.21,0.38,0.79,0.04,2.36,other
https://www.hltv.org/stats/players/3972/hunter?maps=de_nuke,0.89,0.02,0.5,0.06,0.01,0.82,0.2,0.0,0.0,0.5,0.1,0.14,0.21,0.24,0.15,0.16,0.54,0.11,0.16,0.21,0.19,1.08,0.68,0.11,0.1,0.0,0.53,0.78,0.03,0.5,0.02,0.09,0.0,1.07,0.05,0.0,0.0,0.0,0.0,0.0002,0.0,0.55,0.0,1.03,0.5,0.03,2.26,huNter-,de_nuke,29.0,0.92,0.02,0.54,0.06,0.01,0.9,0.22,0.58,0.04,0.66,0.09,0.14,0.22,0.24,0.18,0.19,0.5,0.09,0.14,0.17,0.2,1.08,0.72,0.13,0.09,0.22,0.6,0.79,0.0,0.41,0.01,0.06,0.0,1.05,0.08,0.0,0.0,0.0,0.0,0.0003,0.0,0.39,0.67,1.34,0.26,0.007,1.66,0.71,0.01,0.46,0.05,0.01,0.74,0.17,0.56,0.03,0.37,0.11,0.14,0.2,0.24,0.11,0.13,0.64,0.13,0.18,0.26,0.18,1.08,0.56,0.09,0.11,0.21,0.45,0.77,0.0,0.59,0.03,0.12,0.0,1.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.35,0.7,0.77,0.05,2.46,other
https://www.hltv.org/stats/players/11617/malbsmd?maps=de_nuke,0.79,0.02,0.49,0.05,0.01,0.78,0.18,0.0,0.0,0.48,0.11,0.14,0.2,0.26,0.12,0.15,0.42,0.11,0.14,0.19,0.18,1.06,0.62,0.11,0.1,0.0,0.52,0.71,0.03,0.51,0.02,0.1,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0003,0.0,0.29,0.0,0.7,0.31,0.02,2.46,malbsMd,de_nuke,22.0,0.82,0.02,0.52,0.05,0.01,0.83,0.2,0.55,0.04,0.36,0.07,0.11,0.18,0.21,0.14,0.19,0.2,0.07,0.1,0.13,0.18,1.05,0.59,0.12,0.07,0.2,0.62,0.7,0.0,0.7,0.03,0.09,0.0,1.03,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.49,0.77,0.24,0.02,2.39,0.63,0.01,0.46,0.05,0.01,0.72,0.16,0.56,0.03,0.6,0.14,0.17,0.21,0.29,0.1,0.11,0.73,0.16,0.18,0.26,0.18,1.07,0.6,0.1,0.13,0.23,0.44,0.72,0.0,0.37,0.02,0.1,0.0,0.98,0.01,0.0,0.0,0.0,0.0,0.0005,0.0,0.35,0.29,0.63,0.4,0.02,2.5,other
https://www.hltv.org/stats/players/19230/m0nesy?maps=de_nuke,0.91,0.02,0.52,0.06,0.01,0.8,0.21,0.0,0.0,0.24,0.09,0.11,0.18,0.26,0.1,0.18,0.54,0.12,0.15,0.19,0.2,1.0,0.74,0.13,0.06,0.0,0.66,0.78,0.02,0.66,0.03,0.12,0.0,1.22,0.09,0.93,0.4,0.49,0.28,0.1,0.08,0.37,0.0,0.38,0.45,0.06,2.85,m0NESY,de_nuke,20.0,0.94,0.02,0.56,0.06,0.01,0.86,0.24,0.55,0.05,0.27,0.07,0.09,0.18,0.21,0.11,0.2,0.49,0.09,0.14,0.16,0.21,0.97,0.86,0.17,0.05,0.22,0.77,0.78,0.0,0.78,0.03,0.1,0.0,1.2,0.15,0.94,0.56,0.63,0.39,0.16,0.13,0.34,0.21,0.18,0.36,0.05,2.97,0.73,0.01,0.48,0.05,0.01,0.73,0.17,0.54,0.03,0.3,0.11,0.12,0.19,0.3,0.09,0.15,0.66,0.14,0.17,0.25,0.19,1.04,0.39,0.08,0.08,0.16,0.5,0.77,0.0,0.55,0.02,0.16,0.0,1.23,0.03,0.78,0.21,0.3,0.15,0.04,0.03,0.52,0.28,0.6,0.6,0.08,2.78,other
https://www.hltv.org/stats/players/7716/chopper?maps=de_nuke,0.41,0.01,0.46,0.05,0.01,0.7,0.15,0.0,0.0,0.47,0.1,0.13,0.21,0.25,0.13,0.19,0.19,0.08,0.12,0.18,0.19,1.06,0.34,0.09,0.1,0.0,0.47,0.74,0.03,0.58,0.03,0.09,0.0,1.12,0.06,0.0,0.0,0.01,0.0,0.0005,0.0005,0.39,0.0,0.77,0.52,0.04,2.02,chopper,de_nuke,28.0,0.43,0.01,0.5,0.05,0.01,0.74,0.16,0.48,0.04,0.42,0.08,0.11,0.19,0.22,0.14,0.21,0.29,0.07,0.11,0.15,0.22,1.04,0.36,0.1,0.07,0.17,0.56,0.71,0.0,0.55,0.02,0.08,0.0,1.1,0.09,0.0,0.01,0.01,0.0,0.001,0.0,0.17,0.38,0.83,0.21,0.01,1.44,0.37,0.01,0.41,0.04,0.01,0.67,0.14,0.48,0.03,0.5,0.12,0.15,0.22,0.26,0.11,0.17,0.26,0.09,0.12,0.2,0.16,1.09,0.38,0.08,0.12,0.2,0.39,0.77,0.0,0.59,0.03,0.1,0.0,1.13,0.02,0.0,0.0,0.01,0.0,0.0,0.001,0.58,0.27,0.71,0.81,0.06,2.18,other
https://www.hltv.org/stats/players/16920/sh1ro?maps=de_nuke,0.64,0.01,0.51,0.05,0.01,0.74,0.17,0.0,0.0,0.07,0.08,0.09,0.16,0.11,0.13,0.19,0.51,0.11,0.15,0.21,0.22,1.03,0.41,0.09,0.05,0.0,0.63,0.75,0.02,0.82,0.03,0.15,0.0,1.23,0.12,0.83,0.27,0.37,0.23,0.06,0.06,0.28,0.0,0.98,0.36,0.03,2.43,sh1ro,de_nuke,23.0,0.71,0.02,0.53,0.05,0.01,0.78,0.2,0.54,0.03,0.1,0.06,0.07,0.14,0.1,0.15,0.2,0.43,0.09,0.12,0.16,0.22,1.02,0.59,0.12,0.06,0.18,0.66,0.73,0.0,0.76,0.02,0.12,0.0,1.23,0.21,0.91,0.38,0.5,0.33,0.09,0.09,0.19,0.33,0.9,0.21,0.01,2.6,0.49,0.01,0.49,0.05,0.01,0.7,0.14,0.49,0.03,0.14,0.09,0.11,0.17,0.13,0.12,0.18,0.63,0.12,0.17,0.26,0.23,1.05,0.29,0.06,0.05,0.11,0.57,0.8,0.0,0.83,0.04,0.18,0.0,1.23,0.05,0.55,0.15,0.22,0.13,0.03,0.03,0.47,0.32,1.06,0.51,0.05,2.35,other
https://www.hltv.org/stats/players/18317/magixx?maps=de_nuke,0.29,0.01,0.44,0.04,0.01,0.68,0.14,0.0,0.0,0.79,0.11,0.16,0.26,0.32,0.13,0.21,0.25,0.09,0.11,0.18,0.2,1.09,0.33,0.08,0.09,0.0,0.47,0.76,0.02,0.5,0.02,0.09,0.0,1.15,0.08,0.0,0.01,0.01,0.01,0.001,0.001,0.14,0.0,0.43,0.24,0.01,1.88,magixx,de_nuke,21.0,0.27,0.01,0.46,0.04,0.01,0.7,0.15,0.46,0.03,0.61,0.08,0.13,0.23,0.28,0.14,0.25,0.15,0.06,0.08,0.13,0.22,1.09,0.25,0.08,0.06,0.14,0.57,0.76,0.0,0.54,0.02,0.09,0.0,1.15,0.14,0.0,0.01,0.01,0.01,0.002,0.0008,0.13,0.38,0.4,0.14,0.005,1.28,0.32,0.01,0.42,0.04,0.01,0.65,0.14,0.47,0.03,0.83,0.14,0.19,0.28,0.34,0.12,0.17,0.49,0.12,0.14,0.24,0.18,1.1,0.52,0.09,0.13,0.22,0.42,0.77,0.0,0.48,0.02,0.09,0.0,1.15,0.03,0.01,0.01,0.01,0.01,0.001,0.001,0.22,0.21,0.46,0.33,0.02,2.12,other
https://www.hltv.org/stats/players/20423/zont1x?maps=de_nuke,0.65,0.01,0.47,0.05,0.01,0.77,0.17,0.0,0.0,0.27,0.09,0.12,0.19,0.19,0.15,0.22,0.17,0.08,0.12,0.17,0.2,1.12,0.45,0.1,0.1,0.0,0.5,0.68,0.03,0.47,0.02,0.09,0.0,1.12,0.08,0.0,0.0,0.01,0.0,0.001,0.0006,0.23,0.0,0.79,0.25,0.02,2.19,zont1x,de_nuke,19.0,0.73,0.02,0.51,0.05,0.01,0.82,0.19,0.51,0.04,0.3,0.07,0.1,0.18,0.2,0.17,0.27,0.19,0.06,0.1,0.13,0.22,1.09,0.38,0.1,0.06,0.16,0.62,0.68,0.0,0.64,0.02,0.09,0.0,1.13,0.14,0.0,0.01,0.01,0.01,0.002,0.001,0.24,0.52,1.19,0.15,0.002,1.13,0.5,0.01,0.43,0.05,0.01,0.72,0.15,0.54,0.03,0.33,0.12,0.14,0.19,0.18,0.14,0.17,0.31,0.1,0.13,0.21,0.17,1.16,0.56,0.1,0.13,0.23,0.42,0.68,0.0,0.37,0.02,0.09,0.0,1.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.24,0.41,0.34,0.04,2.66,other
