full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age,ct_firepower,ct_kills_per_round,ct_rounds_with_a_kill,ct_kills_per_round_win,ct_rating_1.0,ct_damage_per_round,ct_rounds_with_a_multi_kill,ct_damage_per_round_win,ct_pistol_round_rating,ct_entrying,ct_saved_by_teammate_per_round,ct_traded_deaths_per_round,ct_traded_deaths_percentage,ct_opening_deaths_traded_percentage,ct_assists_per_round,ct_support_rounds,ct_trading,ct_saved_teammate_per_round,ct_trade_kills_per_round,ct_trade_kills_percentage,ct_assisted_kills_percentage,ct_damage_per_kill,ct_opening,ct_opening_kills_per_round,ct_opening_deaths_per_round,ct_opening_attempts,ct_opening_success,ct_win_after_opening_kill,ct_attacks_per_round,ct_clutching,ct_clutch_points_per_round,ct_last_alive_percentage,ct_1on1_win_percentage,ct_time_alive_per_round,ct_saves_per_round_loss,ct_sniping,ct_sniper_kills_per_round,ct_sniper_kills_percentage,ct_rounds_with_sniper_kills_percentage,ct_sniper_multi_kill_rounds,ct_sniper_opening_kills_per_round,ct_utility,ct_utility_damage_per_round,ct_utility_kills_per_100_rounds,ct_flashes_thrown_per_round,ct_flash_assists_per_round,ct_time_opponent_flashed_per_round,t_firepower,t_kills_per_round,t_rounds_with_a_kill,t_kills_per_round_win,t_rating_1.0,t_damage_per_round,t_rounds_with_a_multi_kill,t_damage_per_round_win,t_pistol_round_rating,t_entrying,t_saved_by_teammate_per_round,t_traded_deaths_per_round,t_traded_deaths_percentage,t_opening_deaths_traded_percentage,t_assists_per_round,t_support_rounds,t_trading,t_saved_teammate_per_round,t_trade_kills_per_round,t_trade_kills_percentage,t_assisted_kills_percentage,t_damage_per_kill,t_opening,t_opening_kills_per_round,t_opening_deaths_per_round,t_opening_attempts,t_opening_success,t_win_after_opening_kill,t_attacks_per_round,t_clutching,t_clutch_points_per_round,t_last_alive_percentage,t_1on1_win_percentage,t_time_alive_per_round,t_saves_per_round_loss,t_sniping,t_sniper_kills_per_round,t_sniper_kills_percentage,t_rounds_with_sniper_kills_percentage,t_sniper_multi_kill_rounds,t_sniper_opening_kills_per_round,t_utility,t_utility_damage_per_round,t_utility_kills_per_100_rounds,t_flashes_thrown_per_round,t_flash_assists_per_round,t_time_opponent_flashed_per_round,team
https://www.hltv.org/stats/players/2553/snax?maps=de_vertigo,0.75,0.01,0.48,0.05,0.01,0.79,0.17,0.0,0.0,0.21,0.09,0.12,0.18,0.15,0.16,0.18,0.15,0.08,0.11,0.16,0.2,1.11,0.74,0.12,0.11,0.0,0.54,0.7,0.03,0.48,0.02,0.12,0.0,1.07,0.08,0.43,0.16,0.23,0.14,0.04,0.04,0.78,0.0,1.64,0.6,0.05,2.46,Snax,de_vertigo,31.0,0.64,0.01,0.49,0.05,0.01,0.8,0.18,0.57,0.04,0.35,0.08,0.11,0.17,0.14,0.18,0.2,0.26,0.07,0.11,0.14,0.21,1.1,0.65,0.13,0.1,0.22,0.56,0.67,0.0,0.53,0.02,0.1,0.0,1.05,0.12,0.4,0.2,0.27,0.15,0.05,0.05,0.81,0.72,1.37,0.53,0.05,3.02,0.77,0.01,0.48,0.05,0.01,0.78,0.17,0.57,0.03,0.2,0.1,0.12,0.18,0.17,0.14,0.16,0.22,0.09,0.12,0.18,0.17,1.12,0.77,0.12,0.12,0.24,0.51,0.73,0.0,0.46,0.02,0.13,0.0,1.1,0.04,0.46,0.13,0.19,0.12,0.03,0.03,0.77,0.65,1.92,0.7,0.05,2.04,other
https://www.hltv.org/stats/players/7998/s1mple?maps=de_vertigo,0.4,0.01,0.45,0.05,0.01,0.7,0.14,0.0,0.0,0.15,0.07,0.12,0.16,0.17,0.16,0.15,0.87,0.13,0.17,0.26,0.29,1.03,0.84,0.13,0.12,0.0,0.52,0.77,0.02,0.53,0.02,0.12,0.0,1.08,0.05,0.63,0.22,0.33,0.13,0.05,0.07,0.27,0.0,1.02,0.49,0.02,1.82,s1mple,de_vertigo,27.0,0.65,0.02,0.49,0.06,0.01,0.76,0.18,0.53,0.02,0.25,0.06,0.1,0.15,0.33,0.18,0.2,0.79,0.08,0.18,0.24,0.32,0.99,0.69,0.12,0.12,0.24,0.5,1.0,0.0,0.82,0.04,0.08,0.0,1.05,0.12,0.87,0.39,0.5,0.22,0.08,0.12,0.37,0.25,2.04,0.39,0.04,2.5,0.17,0.01,0.41,0.03,0.01,0.63,0.1,0.36,0.01,0.19,0.08,0.14,0.17,0.0,0.14,0.1,0.79,0.18,0.16,0.29,0.25,1.1,0.83,0.14,0.12,0.26,0.54,0.57,0.0,0.2,0.0,0.16,0.0,1.1,0.0,0.18,0.06,0.11,0.04,0.02,0.02,0.2,0.04,0.0,0.59,0.0,1.37,other
https://www.hltv.org/stats/players/3741/niko?maps=de_vertigo,0.76,0.01,0.48,0.05,0.01,0.79,0.18,0.0,0.0,0.16,0.08,0.11,0.17,0.2,0.15,0.17,0.24,0.09,0.12,0.17,0.18,1.13,0.76,0.12,0.13,0.0,0.5,0.7,0.03,0.69,0.03,0.12,0.0,1.12,0.07,0.03,0.02,0.03,0.02,0.005,0.003,0.75,0.0,1.1,0.63,0.04,2.44,NiKo,de_vertigo,28.0,0.58,0.01,0.48,0.05,0.01,0.79,0.18,0.56,0.04,0.49,0.08,0.13,0.19,0.2,0.17,0.19,0.23,0.06,0.1,0.15,0.22,1.13,0.75,0.13,0.12,0.25,0.54,0.74,0.0,0.56,0.02,0.1,0.0,1.15,0.12,0.02,0.02,0.03,0.01,0.005,0.004,0.87,0.8,1.23,0.64,0.04,2.72,0.84,0.02,0.48,0.05,0.01,0.8,0.18,0.58,0.04,0.09,0.09,0.1,0.14,0.2,0.13,0.15,0.42,0.13,0.14,0.2,0.15,1.13,0.7,0.11,0.14,0.25,0.45,0.65,0.0,0.77,0.04,0.14,0.0,1.08,0.02,0.04,0.02,0.03,0.02,0.004,0.001,0.64,0.41,0.96,0.69,0.03,2.19,other
https://www.hltv.org/stats/players/3972/hunter?maps=de_vertigo,0.88,0.02,0.49,0.06,0.01,0.82,0.2,0.0,0.0,0.45,0.1,0.13,0.2,0.26,0.14,0.16,0.52,0.11,0.15,0.2,0.18,1.09,0.63,0.11,0.1,0.0,0.51,0.78,0.03,0.37,0.01,0.08,0.0,1.13,0.07,0.0,0.0,0.0,0.0,0.0007,0.0,0.79,0.0,0.98,0.74,0.03,2.03,huNter-,de_vertigo,29.0,0.83,0.02,0.49,0.06,0.01,0.86,0.2,0.58,0.04,0.4,0.07,0.12,0.18,0.2,0.17,0.18,0.73,0.12,0.15,0.2,0.2,1.1,0.45,0.1,0.08,0.19,0.55,0.74,0.0,0.48,0.02,0.07,0.0,1.17,0.11,0.0,0.01,0.01,0.0,0.0007,0.0,0.84,0.89,1.11,0.58,0.03,2.69,0.86,0.02,0.48,0.06,0.01,0.79,0.18,0.59,0.04,0.51,0.12,0.15,0.22,0.29,0.12,0.15,0.37,0.11,0.15,0.2,0.16,1.08,0.74,0.11,0.12,0.23,0.48,0.81,0.0,0.33,0.01,0.1,0.0,1.1,0.02,0.0,0.0,0.0,0.0,0.0006,0.0,0.66,0.39,0.84,0.89,0.03,1.6,other
https://www.hltv.org/stats/players/11617/malbsmd?maps=de_vertigo,0.91,0.02,0.5,0.06,0.01,0.83,0.2,0.0,0.0,0.81,0.11,0.18,0.26,0.28,0.18,0.16,0.45,0.12,0.14,0.18,0.22,1.09,0.74,0.12,0.12,0.0,0.49,0.75,0.03,0.55,0.03,0.08,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,1.03,0.46,0.04,2.47,malbsMd,de_vertigo,22.0,0.78,0.02,0.5,0.06,0.01,0.81,0.2,0.56,0.07,0.74,0.09,0.16,0.23,0.26,0.17,0.18,0.83,0.13,0.16,0.2,0.28,1.05,0.66,0.13,0.11,0.24,0.53,0.65,0.0,0.75,0.03,0.08,0.0,0.98,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.65,1.32,0.39,0.03,2.61,0.93,0.02,0.5,0.05,0.01,0.85,0.19,0.62,0.04,0.79,0.13,0.19,0.28,0.29,0.18,0.15,0.24,0.1,0.12,0.16,0.17,1.13,0.75,0.11,0.13,0.24,0.46,0.85,0.0,0.36,0.02,0.08,0.0,1.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.52,0.76,0.49,0.04,2.37,other
https://www.hltv.org/stats/players/19230/m0nesy?maps=de_vertigo,0.9,0.02,0.51,0.06,0.01,0.8,0.2,0.0,0.0,0.29,0.1,0.11,0.19,0.25,0.11,0.18,0.55,0.12,0.16,0.2,0.18,1.02,0.78,0.13,0.08,0.0,0.6,0.73,0.02,0.66,0.03,0.12,0.0,0.83,0.09,0.93,0.37,0.46,0.28,0.1,0.08,0.7,0.0,0.8,0.72,0.09,2.98,m0NESY,de_vertigo,20.0,0.83,0.02,0.52,0.06,0.01,0.82,0.21,0.57,0.06,0.35,0.08,0.1,0.17,0.24,0.11,0.19,0.6,0.1,0.15,0.18,0.2,1.01,0.8,0.15,0.09,0.24,0.63,0.68,0.0,0.66,0.02,0.11,0.0,0.48,0.15,0.92,0.42,0.52,0.32,0.12,0.1,0.74,0.46,0.97,0.7,0.09,3.34,0.9,0.02,0.5,0.05,0.01,0.79,0.2,0.56,0.04,0.33,0.11,0.13,0.2,0.26,0.11,0.17,0.55,0.14,0.17,0.21,0.16,1.02,0.67,0.11,0.08,0.19,0.58,0.8,0.0,0.74,0.04,0.12,0.0,1.2,0.03,0.93,0.31,0.4,0.24,0.08,0.06,0.67,0.31,0.62,0.79,0.09,2.65,other
https://www.hltv.org/stats/players/7716/chopper?maps=de_vertigo,0.37,0.01,0.44,0.04,0.01,0.7,0.15,0.0,0.0,0.91,0.13,0.17,0.25,0.34,0.13,0.18,0.27,0.1,0.12,0.18,0.2,1.1,0.36,0.09,0.09,0.0,0.49,0.72,0.03,0.4,0.02,0.08,0.0,1.18,0.06,0.0,0.0,0.01,0.0,0.0006,0.0,0.92,0.0,1.37,0.86,0.08,2.73,chopper,de_vertigo,28.0,0.41,0.01,0.46,0.05,0.01,0.74,0.17,0.51,0.03,0.87,0.12,0.16,0.24,0.29,0.15,0.18,0.41,0.08,0.11,0.17,0.22,1.09,0.47,0.11,0.09,0.2,0.54,0.68,0.0,0.45,0.01,0.07,0.0,1.13,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.8,1.54,0.7,0.07,2.98,0.32,0.01,0.42,0.04,0.01,0.65,0.14,0.46,0.04,0.85,0.15,0.18,0.27,0.38,0.12,0.18,0.29,0.11,0.12,0.2,0.18,1.12,0.3,0.07,0.09,0.16,0.43,0.78,0.0,0.38,0.02,0.1,0.0,1.25,0.04,0.01,0.0,0.01,0.0,0.001,0.0,0.89,0.47,1.19,1.03,0.09,2.56,other
https://www.hltv.org/stats/players/16920/sh1ro?maps=de_vertigo,0.87,0.02,0.52,0.05,0.01,0.78,0.2,0.0,0.0,0.24,0.09,0.1,0.19,0.24,0.1,0.2,0.75,0.12,0.18,0.23,0.22,0.99,0.47,0.1,0.06,0.0,0.63,0.79,0.02,0.9,0.04,0.14,0.0,1.3,0.14,0.94,0.42,0.52,0.32,0.11,0.07,0.7,0.0,0.81,0.65,0.06,2.56,sh1ro,de_vertigo,23.0,0.8,0.02,0.53,0.06,0.01,0.8,0.21,0.53,0.04,0.4,0.08,0.1,0.2,0.24,0.11,0.2,0.7,0.1,0.16,0.2,0.22,0.98,0.65,0.12,0.07,0.19,0.64,0.79,0.0,0.86,0.03,0.12,0.0,1.25,0.2,0.93,0.5,0.62,0.38,0.14,0.1,0.75,0.58,0.99,0.53,0.06,3.23,0.87,0.02,0.51,0.05,0.01,0.76,0.19,0.51,0.04,0.2,0.1,0.1,0.19,0.24,0.1,0.2,0.75,0.15,0.2,0.26,0.21,1.0,0.34,0.07,0.04,0.12,0.62,0.79,0.0,0.89,0.05,0.16,0.0,1.35,0.09,0.94,0.34,0.44,0.26,0.09,0.05,0.62,0.39,0.64,0.71,0.05,2.05,other
https://www.hltv.org/stats/players/18317/magixx?maps=de_vertigo,0.35,0.01,0.45,0.04,0.01,0.71,0.14,0.0,0.0,0.56,0.11,0.13,0.22,0.3,0.16,0.22,0.33,0.1,0.12,0.2,0.2,1.14,0.57,0.11,0.09,0.0,0.53,0.75,0.03,0.62,0.02,0.12,0.0,1.22,0.1,0.01,0.01,0.02,0.01,0.0006,0.003,0.66,0.0,1.52,0.56,0.02,2.02,magixx,de_vertigo,21.0,0.48,0.01,0.48,0.05,0.01,0.78,0.16,0.52,0.04,0.69,0.1,0.13,0.22,0.3,0.19,0.24,0.53,0.1,0.12,0.18,0.22,1.15,0.54,0.11,0.1,0.21,0.54,0.74,0.0,0.62,0.02,0.11,0.0,1.18,0.15,0.0,0.01,0.01,0.01,0.0,0.004,0.68,0.68,0.5,0.56,0.02,1.71,0.21,0.01,0.42,0.04,0.01,0.64,0.12,0.45,0.02,0.42,0.11,0.14,0.21,0.31,0.12,0.2,0.3,0.09,0.13,0.22,0.19,1.13,0.58,0.1,0.09,0.19,0.52,0.76,0.0,0.61,0.03,0.13,0.0,1.25,0.06,0.02,0.01,0.02,0.01,0.001,0.003,0.68,0.55,2.59,0.59,0.02,2.32,other
https://www.hltv.org/stats/players/20423/zont1x?maps=de_vertigo,0.81,0.02,0.48,0.05,0.01,0.83,0.18,0.0,0.0,0.33,0.09,0.13,0.19,0.17,0.17,0.18,0.17,0.09,0.11,0.15,0.18,1.15,0.85,0.14,0.11,0.0,0.56,0.75,0.03,0.48,0.02,0.08,0.0,1.1,0.06,0.01,0.01,0.02,0.02,0.002,0.004,0.56,0.0,1.06,0.42,0.03,2.53,zont1x,de_vertigo,19.0,0.76,0.01,0.5,0.05,0.01,0.88,0.19,0.61,0.03,0.41,0.08,0.12,0.18,0.14,0.21,0.2,0.35,0.08,0.11,0.15,0.2,1.19,0.86,0.16,0.11,0.27,0.59,0.73,0.0,0.51,0.02,0.07,0.0,1.03,0.11,0.02,0.02,0.02,0.02,0.005,0.007,0.55,0.84,1.1,0.3,0.02,2.78,0.76,0.01,0.46,0.05,0.01,0.77,0.17,0.57,0.03,0.33,0.11,0.14,0.2,0.2,0.13,0.17,0.18,0.1,0.1,0.15,0.16,1.11,0.71,0.11,0.11,0.22,0.51,0.78,0.0,0.47,0.02,0.08,0.0,1.17,0.02,0.0,0.01,0.01,0.01,0.0,0.0,0.54,0.4,1.01,0.53,0.04,2.38,other
