full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr
https://www.hltv.org/stats/players/21163/susp,susp,Sweden,19 years,Wildcard,0.64,1.09,0.68,77.0,99.5,46.0%,1.14,16.6%,0.45,0.1,0.13,23.3%,23.3%,0.18,20.1%,0.69,0.12,0.12,24.0%,48.3%,71.4%,2.9,0.0,0.01,0.8%,0.4%,0.0009,0.001,0.39,0.11,0.13,19.1%,21.5%,114,0.47,0.02,8.6%,60.0%,1m 4s,5.6%,0.42,5.0,0.66,0.4,0.02,1.91
https://www.hltv.org/stats/players/630/mutiris,MUTiRiS,Portugal,31 years,SAW,0.6,0.99,0.67,76.2,83.6,46.4%,,16.2%,0.21,0.1,0.11,20.8%,20.8%,0.15,17.9%,0.53,0.1,0.1,20.2%,50.0%,73.7%,2.96,0.0,0.0,0.5%,0.3%,0.0005,0.0006,0.2,0.09,0.11,16.5%,20.9%,95,0.34,0.02,8.4%,61.1%,0m 55s,5.3%,0.83,5.98,1.0,0.8,0.04,2.56
https://www.hltv.org/stats/players/11617/malbsmd,malbsMd,Guatemala,22 years,G2,0.88,1.14,0.76,81.6,107.8,49.2%,1.26,19.4%,0.68,0.11,0.15,26.4%,26.4%,0.14,15.0%,0.81,0.13,0.12,24.8%,52.3%,73.0%,2.73,0.0,0.0,0.4%,0.3%,0.0004,0.0002,0.41,0.11,0.14,18.2%,18.6%,108,0.36,0.02,8.1%,61.9%,1m 1s,4.4%,0.54,5.37,1.02,0.46,0.03,2.26
https://www.hltv.org/stats/players/23643/esenthial,esenthial,Ukraine,18 years,B8,0.25,0.95,0.6,65.6,84.6,42.3%,0.94,14.3%,0.88,0.12,0.17,34.5%,34.5%,0.17,22.1%,0.34,0.08,0.1,18.6%,45.3%,74.5%,2.26,0.0,0.0,0.3%,0.1%,0.0,0.0,0.57,0.11,0.14,22.5%,28.0%,109,0.51,0.02,9.4%,65.7%,1m 3s,6.8%,0.15,3.0,0.51,0.26,0.02,1.83
https://www.hltv.org/stats/players/7716/chopper,chopper,Russia,27 years,Spirit,0.4,0.95,0.64,70.8,88.6,44.3%,,15.1%,0.56,0.11,0.14,25.5%,25.5%,0.13,19.0%,0.45,0.09,0.11,20.3%,46.8%,71.5%,2.63,0.0,0.01,0.9%,0.5%,0.0008,0.0006,0.14,0.08,0.11,16.7%,18.8%,108,0.42,0.02,8.7%,54.9%,1m 6s,6.1%,0.69,4.42,0.88,0.73,0.05,2.27
https://www.hltv.org/stats/players/16811/mistem,MisteM,South Africa,23 years,Ninjas in Pyjamas,0.57,1.03,0.67,74.0,96.8,45.2%,0.96,16.5%,0.39,0.09,0.13,23.4%,23.4%,0.13,17.2%,0.52,0.1,0.11,21.3%,46.9%,72.9%,2.68,0.0,0.01,1.2%,0.6%,0.002,0.001,0.26,0.09,0.12,18.6%,18.4%,110,0.52,0.02,10.0%,59.2%,1m 0s,4.5%,0.75,4.57,0.61,0.82,0.08,2.45
https://www.hltv.org/stats/players/21708/npl,npl,Ukraine,19 years,B8,0.74,1.12,0.71,78.9,103.0,47.5%,1.21,17.4%,0.75,0.12,0.15,27.8%,27.8%,0.19,18.8%,0.66,0.11,0.12,23.0%,49.0%,72.0%,2.89,0.0,0.0,0.5%,0.3%,0.0007,0.0004,0.66,0.12,0.16,22.0%,22.9%,111,0.45,0.02,8.4%,66.9%,1m 3s,6.5%,0.44,4.58,0.75,0.46,0.03,2.03
https://www.hltv.org/stats/players/20994/fl4mus,FL4MUS,Russia,20 years,GamerLegion,0.68,1.06,0.69,76.7,102.4,46.5%,1.12,17.4%,0.56,0.1,0.15,25.6%,25.6%,0.17,17.4%,0.72,0.12,0.12,23.8%,49.5%,73.5%,2.77,0.0,0.0,0.4%,0.2%,0.0,0.0,0.36,0.11,0.13,18.4%,22.6%,111,0.39,0.02,8.2%,61.3%,1m 3s,4.7%,0.42,4.35,0.56,0.45,0.02,2.37
https://www.hltv.org/stats/players/20423/zont1x,zont1x,Ukraine,19 years,Spirit,0.62,1.1,0.68,77.3,97.1,46.2%,1.14,16.3%,0.41,0.1,0.13,21.0%,21.0%,0.16,21.1%,0.56,0.1,0.1,20.4%,51.5%,72.6%,3.02,0.0,0.01,1.2%,0.7%,0.001,0.001,0.28,0.1,0.12,18.1%,19.7%,114,0.44,0.02,8.3%,72.2%,1m 7s,7.3%,0.52,5.38,1.12,0.42,0.03,2.31
https://www.hltv.org/stats/players/20358/volt,volt,Romania,23 years,GamerLegion,0.49,1.04,0.66,73.0,93.8,44.9%,1.06,15.6%,0.56,0.11,0.14,26.6%,26.6%,0.15,20.7%,0.37,0.09,0.1,18.4%,48.3%,70.7%,2.69,0.0,0.01,1.2%,0.6%,0.001,0.001,0.6,0.12,0.15,22.3%,21.4%,111,0.54,0.02,10.1%,63.9%,1m 7s,7.1%,0.55,4.55,0.81,0.56,0.03,2.23
