full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age
https://www.hltv.org/stats/players/2553/snax?maps=de_train,0.7,0.46,0.48,0.51,0.29,0.76,0.18,0.23,0.43,0.04,0.07,0.08,0.13,0.14,0.12,0.16,0.06,0.07,0.1,0.14,0.17,0.79,0.58,0.11,0.1,0.21,0.5,0.74,0.03,0.48,0.02,0.09,0,0.0,0.05,0.52,0.18,0.26,0.14,0.05,0.04,0.52,4.42,1.01,0.55,0.03,2.1,Snax,de_train,31.0
https://www.hltv.org/stats/players/2553/snax?maps=de_nuke,0.7,0.46,0.48,0.45,0.29,0.77,0.17,0.44,0.39,0.09,0.07,0.1,0.16,0.17,0.14,0.17,0.1,0.08,0.11,0.15,0.16,0.96,0.74,0.12,0.1,0.22,0.55,0.77,0.03,0.57,0.03,0.11,0,0.0,0.07,0.24,0.12,0.17,0.09,0.03,0.03,0.52,4.61,0.94,0.51,0.03,2.51,Snax,de_nuke,31.0
https://www.hltv.org/stats/players/2553/snax?maps=de_inferno,0.46,0.32,0.45,0.4,0.18,0.7,0.16,0.03,0.51,0.13,0.1,0.09,0.13,0.16,0.14,0.19,0.08,0.08,0.08,0.11,0.2,0.69,0.53,0.1,0.11,0.21,0.48,0.72,0.03,0.41,0.02,0.07,0,0.0,0.08,0.16,0.09,0.14,0.07,0.02,0.02,0.62,6.27,1.35,0.47,0.03,2.38,Snax,de_inferno,31.0
https://www.hltv.org/stats/players/2553/snax?maps=de_mirage,0.55,0.38,0.47,0.4,0.24,0.72,0.16,0.08,0.48,0.03,0.07,0.08,0.12,0.14,0.12,0.18,0.05,0.07,0.08,0.12,0.19,0.72,0.57,0.11,0.1,0.21,0.51,0.74,0.02,0.53,0.03,0.08,0,0.0,0.06,0.4,0.15,0.22,0.12,0.04,0.03,0.35,3.55,1.06,0.48,0.02,1.67,Snax,de_mirage,31.0
https://www.hltv.org/stats/players/2553/snax?maps=de_dust2,0.47,0.3,0.45,0.36,0.16,0.71,0.16,0.05,0.51,0.05,0.08,0.08,0.12,0.12,0.14,0.19,0.03,0.07,0.06,0.1,0.18,0.72,0.65,0.11,0.11,0.22,0.51,0.73,0.02,0.5,0.03,0.08,0,0.0,0.07,0.62,0.2,0.31,0.15,0.05,0.05,0.53,3.83,1.12,0.57,0.04,2.41,Snax,de_dust2,31.0
https://www.hltv.org/stats/players/2553/snax?maps=de_vertigo,0.75,0.46,0.48,0.47,0.43,0.79,0.17,0.69,0.55,0.21,0.09,0.12,0.18,0.15,0.16,0.18,0.15,0.08,0.11,0.16,0.2,1.11,0.74,0.12,0.11,0.23,0.54,0.7,0.03,0.48,0.02,0.12,0,0.0,0.08,0.43,0.16,0.23,0.14,0.04,0.04,0.78,6.83,1.64,0.6,0.05,2.46,Snax,de_vertigo,31.0
https://www.hltv.org/stats/players/2553/snax?maps=de_ancient,0.35,0.22,0.44,0.23,0.14,0.72,0.14,0.5,0.39,0.4,0.1,0.13,0.19,0.26,0.16,0.2,0.27,0.09,0.12,0.19,0.21,1.15,0.31,0.09,0.11,0.19,0.45,0.65,0.03,0.52,0.02,0.12,0,0.0,0.08,0.09,0.05,0.08,0.04,0.01,0.005,0.72,5.53,0.87,0.64,0.05,2.19,Snax,de_ancient,31.0
https://www.hltv.org/stats/players/2553/snax?maps=de_anubis,0.16,0.05,0.4,0.09,0.08,0.66,0.13,0.43,0.37,0.18,0.09,0.11,0.16,0.19,0.15,0.23,0.43,0.1,0.12,0.22,0.24,1.18,0.24,0.07,0.11,0.19,0.4,0.7,0.03,0.8,0.04,0.09,0,0.0,0.09,0.08,0.04,0.07,0.04,0.01,0.003,0.73,5.72,0.49,0.69,0.04,1.97,Snax,de_anubis,31.0
https://www.hltv.org/stats/players/7998/s1mple?maps=de_train,0.99,0.95,0.56,0.85,0.82,0.88,0.23,0.7,0.68,0.11,0.08,0.1,0.17,0.16,0.1,0.13,0.38,0.1,0.15,0.17,0.16,0.91,0.81,0.14,0.08,0.21,0.64,0.76,0.02,0.75,0.03,0.12,0,0.0,0.07,0.93,0.39,0.44,0.28,0.11,0.08,0.37,1.69,0.35,0.59,0.03,2.27,s1mple,de_train,27.0
https://www.hltv.org/stats/players/7998/s1mple?maps=de_nuke,0.98,0.86,0.55,0.83,0.71,0.86,0.23,0.59,0.74,0.06,0.07,0.1,0.15,0.12,0.1,0.13,0.35,0.1,0.14,0.16,0.17,0.87,0.85,0.14,0.08,0.22,0.64,0.76,0.02,0.59,0.03,0.12,0,0.0,0.07,0.71,0.24,0.28,0.18,0.06,0.06,0.34,2.41,0.64,0.51,0.03,2.23,s1mple,de_nuke,27.0
