full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age,team
https://www.hltv.org/stats/players/2553/snax?maps=all,0.6,0.41,0.47,0.51,0.28,0.74,0.17,0.08,0.17,0.07,0.08,0.09,0.13,0.15,0.14,0.18,0.06,0.08,0.09,0.12,0.19,0.78,0.61,0.11,0.11,0.21,0.51,0.73,0.03,0.48,0.02,0.09,0.63,0.77,0.07,0.31,0.13,0.19,0.1,0.03,0.03,0.51,0,1.13,0.51,0.03,2.02,Snax,all,31.0,other
https://www.hltv.org/stats/players/7998/s1mple?maps=all,0.97,1.0,0.54,0.98,0.79,0.85,0.22,0.48,0.62,0.06,0.08,0.09,0.14,0.12,0.1,0.14,0.26,0.11,0.12,0.14,0.17,0.8,0.87,0.14,0.09,0.23,0.62,0.75,0.02,0.56,0.03,0.1,0.64,0.97,0.09,0.88,0.32,0.38,0.24,0.09,0.08,0.37,0,0.51,0.56,0.03,2.03,s1mple,all,27.0,other
https://www.hltv.org/stats/players/3741/niko?maps=all,0.94,0.78,0.51,0.81,0.58,0.85,0.2,0.61,0.71,0.11,0.08,0.1,0.16,0.17,0.14,0.16,0.2,0.1,0.11,0.14,0.16,0.94,0.87,0.14,0.12,0.26,0.55,0.73,0.03,0.47,0.02,0.09,0.6,0.95,0.06,0.11,0.06,0.08,0.05,0.02,0.02,0.64,0,0.74,0.64,0.04,2.04,NiKo,all,28.0,other
https://www.hltv.org/stats/players/3972/hunter?maps=all,0.88,0.63,0.5,0.67,0.47,0.82,0.19,0.78,0.52,0.47,0.1,0.14,0.2,0.24,0.15,0.17,0.49,0.11,0.15,0.2,0.19,1.08,0.63,0.11,0.09,0.2,0.54,0.76,0.03,0.45,0.02,0.09,0.59,1.1,0.07,0.0,0.01,0.01,0.01,0.002,0.0007,0.69,0,1.09,0.62,0.03,2.04,huNter-,all,29.0,other
https://www.hltv.org/stats/players/11617/malbsmd?maps=all,0.87,0.63,0.49,0.72,0.56,0.81,0.19,0.82,0.71,0.69,0.11,0.16,0.22,0.26,0.15,0.15,0.41,0.11,0.14,0.18,0.19,1.08,0.81,0.13,0.12,0.25,0.52,0.73,0.03,0.39,0.02,0.08,0.62,1.02,0.04,0.0,0.0,0.0,0.0,0.0004,0.0002,0.54,0,1.02,0.47,0.03,2.26,malbsMd,all,22.0,other
https://www.hltv.org/stats/players/19230/m0nesy?maps=all,0.89,0.78,0.51,0.72,0.79,0.8,0.2,0.74,0.72,0.26,0.09,0.11,0.19,0.23,0.11,0.18,0.51,0.11,0.15,0.2,0.19,1.02,0.82,0.14,0.08,0.22,0.63,0.75,0.02,0.67,0.03,0.11,0.58,1.18,0.1,0.93,0.39,0.49,0.29,0.1,0.09,0.58,0,0.55,0.7,0.08,2.54,m0NESY,all,19.0,other
https://www.hltv.org/stats/players/7716/chopper?maps=all,0.4,0.22,0.44,0.3,0.12,0.71,0.15,0.46,0.19,0.57,0.11,0.14,0.21,0.26,0.13,0.19,0.14,0.08,0.11,0.17,0.19,1.08,0.45,0.1,0.11,0.2,0.47,0.72,0.03,0.47,0.02,0.09,0.56,1.1,0.06,0.0,0.01,0.01,0.0,0.0008,0.0006,0.69,0,0.87,0.74,0.05,2.26,chopper,all,28.0,other
https://www.hltv.org/stats/players/16920/sh1ro?maps=all,0.85,0.7,0.51,0.63,0.81,0.78,0.19,0.64,0.72,0.15,0.08,0.1,0.18,0.21,0.11,0.21,0.61,0.11,0.16,0.21,0.2,1.01,0.59,0.11,0.06,0.17,0.66,0.77,0.02,0.87,0.04,0.15,0.65,1.28,0.16,0.94,0.43,0.55,0.33,0.11,0.09,0.65,0,0.86,0.71,0.07,2.37,sh1ro,all,23.0,other
https://www.hltv.org/stats/players/18317/magixx?maps=all,0.37,0.22,0.44,0.26,0.35,0.7,0.15,0.45,0.48,0.65,0.11,0.14,0.23,0.3,0.13,0.22,0.34,0.1,0.13,0.2,0.19,1.1,0.37,0.09,0.09,0.18,0.5,0.76,0.02,0.47,0.02,0.09,0.61,1.2,0.1,0.03,0.02,0.03,0.02,0.004,0.003,0.51,0,0.84,0.53,0.03,2.28,magixx,all,21.0,other
https://www.hltv.org/stats/players/20423/zont1x?maps=all,0.62,0.37,0.46,0.4,0.47,0.77,0.16,0.61,0.47,0.4,0.1,0.13,0.2,0.21,0.17,0.22,0.28,0.1,0.12,0.18,0.2,1.14,0.55,0.1,0.1,0.2,0.51,0.73,0.03,0.46,0.02,0.08,0.7,1.13,0.08,0.0,0.01,0.01,0.01,0.001,0.001,0.52,0,1.17,0.43,0.03,2.29,zont1x,all,19.0,other
https://www.hltv.org/stats/players/21167/donk?maps=all,0.99,1.0,0.53,1.0,0.91,0.9,0.23,1.0,0.93,0.65,0.11,0.15,0.22,0.25,0.16,0.16,0.72,0.15,0.18,0.21,0.2,1.05,0.89,0.14,0.11,0.26,0.56,0.75,0.03,0.38,0.02,0.06,0.69,1.1,0.07,0.01,0.01,0.01,0.01,0.003,0.001,0.28,0,0.61,0.4,0.02,1.99,donk,all,18.0,other
https://www.hltv.org/stats/players/9816/aleksib?maps=all,0.35,0.15,0.43,0.23,0.07,0.72,0.14,0.51,0.03,0.63,0.11,0.14,0.22,0.27,0.17,0.21,0.31,0.09,0.12,0.2,0.22,1.16,0.46,0.09,0.11,0.2,0.47,0.74,0.03,0.41,0.02,0.09,0.55,1.13,0.07,0.02,0.02,0.03,0.02,0.004,0.003,0.92,0,1.94,0.81,0.07,2.45,Aleksib,all,28.0,navi
https://www.hltv.org/stats/players/14759/im?maps=all,0.82,0.56,0.49,0.67,0.51,0.81,0.18,0.82,0.52,0.37,0.09,0.13,0.19,0.24,0.14,0.16,0.23,0.09,0.13,0.17,0.18,1.11,0.71,0.12,0.11,0.23,0.52,0.72,0.03,0.46,0.02,0.09,0.6,1.07,0.06,0.0,0.01,0.01,0.01,0.001,0.0005,0.38,0,0.64,0.47,0.03,2.17,iM,all,25.0,navi
https://www.hltv.org/stats/players/18987/b1t?maps=all,0.68,0.44,0.48,0.51,0.51,0.76,0.17,0.63,0.67,0.42,0.09,0.13,0.21,0.23,0.13,0.19,0.33,0.1,0.13,0.18,0.19,1.08,0.69,0.12,0.1,0.22,0.54,0.74,0.03,0.48,0.02,0.08,0.59,1.2,0.09,0.01,0.01,0.02,0.01,0.003,0.002,0.54,0,0.62,0.62,0.04,2.12,b1t,all,22.0,navi
https://www.hltv.org/stats/players/19206/jl?maps=all,0.78,0.52,0.48,0.6,0.51,0.79,0.18,0.72,0.45,0.44,0.09,0.14,0.2,0.25,0.15,0.17,0.36,0.1,0.14,0.19,0.2,1.08,0.6,0.11,0.1,0.21,0.52,0.74,0.03,0.52,0.02,0.09,0.69,1.15,0.06,0.12,0.07,0.09,0.05,0.02,0.01,0.56,0,0.87,0.56,0.04,2.25,jL,all,25.0,navi
https://www.hltv.org/stats/players/20127/w0nderful?maps=all,0.79,0.67,0.51,0.6,0.67,0.76,0.18,0.62,0.64,0.27,0.09,0.11,0.19,0.24,0.11,0.19,0.63,0.12,0.16,0.21,0.22,1.01,0.55,0.11,0.06,0.17,0.63,0.74,0.02,0.72,0.03,0.14,0.55,1.35,0.13,0.91,0.32,0.42,0.24,0.08,0.07,0.49,0,0.67,0.6,0.05,2.29,w0nderful,all,20.0,navi
https://www.hltv.org/stats/players/7322/apex?maps=all,0.66,0.41,0.46,0.51,0.21,0.77,0.17,0.13,0.16,0.16,0.1,0.1,0.14,0.16,0.17,0.16,0.1,0.09,0.09,0.13,0.19,0.8,0.68,0.11,0.12,0.23,0.48,0.76,0.03,0.25,0.01,0.06,0.6,0.78,0.04,0.0,0.01,0.01,0.01,0.001,0.002,0.58,0,1.13,0.44,0.05,2.39,apEX,all,32.0,vitality
https://www.hltv.org/stats/players/11893/zywoo?maps=all,0.98,0.96,0.53,0.93,1.0,0.88,0.22,0.93,1.0,0.43,0.09,0.13,0.21,0.25,0.13,0.17,0.55,0.12,0.16,0.19,0.18,1.04,0.89,0.15,0.09,0.24,0.62,0.74,0.02,0.8,0.04,0.11,0.69,1.15,0.08,0.86,0.31,0.37,0.23,0.08,0.07,0.62,0,0.96,0.69,0.06,2.34,ZywOo,all,24.0,vitality
