full_url,player,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,clutching,utility
https://www.hltv.org/stats/players/11893/zywoo,ZywOo,0.98,1.33,0.84,87.4,113.2,0.531,1.43,0.223,0.42,0.09,0.13,0.247,0.247,0.13,0.16699999999999998,0.89,0.15,0.09,0.243,61.9%,0.736,2.45,0.87,0.31,0.369,0.22899999999999998,0.08,0.07,0.54,0.76,0.61
https://www.hltv.org/stats/players/3741/niko,NiKo,0.94,1.15,0.79,85.4,95.6,0.508,,0.203,0.11,0.08,0.1,0.166,0.166,0.14,0.155,0.86,0.14,0.12,0.256,54.9%,0.732,2.84,0.11,0.06,0.08199999999999999,0.048,0.02,0.02,0.2,0.43,0.64
https://www.hltv.org/stats/players/21879/a1pha,A1pha,0.01,0.65,0.43,59.0,76.4,0.35600000000000004,0.49,0.063,0.7,0.11,0.18,0.212,0.212,0.16,0.149,0.35,0.07,0.19,0.264,28.3%,0.462,2.17,0.05,0.03,0.067,0.023,0.006,0.0,0.2,0.23,0.27
https://www.hltv.org/stats/players/24394/aapestt,Aapestt,0.47,0.88,0.65,67.6,108.9,0.435,,0.174,0.21,0.12,0.09,0.077,0.077,0.16,0.188,0.28,0.06,0.19,0.24600000000000002,23.5%,0.5,2.49,0.0,0.0,0.0,,0.0,0.0,0.99,0.85,0.34
https://www.hltv.org/stats/players/13317/aaron,Aaron,0.67,1.04,0.69,77.6,103.6,0.466,1.04,0.16899999999999998,0.53,0.1,0.15,0.245,0.245,0.17,0.157,0.64,0.11,0.13,0.239,46.1%,0.7240000000000001,2.84,0.02,0.02,0.023,0.012,0.004,0.001,0.3,0.37,0.8
https://www.hltv.org/stats/players/23060/abby,abby,0.57,1.03,0.69,72.4,93.7,0.46,0.99,0.165,0.47,0.11,0.13,0.267,0.267,0.14,0.16899999999999998,0.41,0.09,0.1,0.192,46.5%,0.775,2.54,0.29,0.13,0.18899999999999997,0.099,0.03,0.02,0.51,0.55,0.36
https://www.hltv.org/stats/players/17562/abdi,abdi,0.05,0.75,0.5,59.1,76.0,0.369,0.76,0.114,0.39,0.09,0.14,0.23399999999999999,0.23399999999999999,0.13,0.19699999999999998,0.12,0.06,0.11,0.16899999999999998,36.0%,0.611,2.24,0.04,0.03,0.057,0.017,0.003,0.005,0.26,0.37,0.41
https://www.hltv.org/stats/players/23511/abiijxk,Abiijxk,0.01,0.67,0.45,57.9,90.1,0.327,0.7,0.08900000000000001,0.55,0.11,0.16,0.25,0.25,0.15,0.147,0.21,0.06,0.14,0.20800000000000002,30.7%,0.435,2.57,0.0,0.0,0.0,,0.0,0.0,0.6,0.53,0.11
https://www.hltv.org/stats/players/21445/abiraju,abiraju,0.53,1.03,0.67,75.2,99.7,0.462,1.36,0.154,0.58,0.12,0.14,0.278,0.278,0.16,0.172,0.39,0.09,0.09,0.182,49.3%,0.743,2.68,0.03,0.03,0.038,0.015,0.005,0.005,0.29,0.46,0.24
https://www.hltv.org/stats/players/20451/abizz,abizz,0.4,0.95,0.64,71.0,95.8,0.43700000000000006,1.07,0.151,0.31,0.09,0.13,0.251,0.251,0.13,0.17,0.24,0.08,0.1,0.175,42.9%,0.7290000000000001,2.6,0.01,0.01,0.02,0.011000000000000001,0.002,0.001,0.3,0.5,0.73
