full_url,player,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,clutching,utility
https://www.hltv.org/stats/players/11893/zywoo,ZywOo,0.98,1.33,0.84,87.4,113.2,53.1%,1.43,22.3%,0.42,0.09,0.13,24.7%,24.7%,0.13,16.7%,0.89,0.15,0.09,24.3%,61.9%,73.6%,2.45,0.87,0.31,36.9%,22.9%,0.08,0.07,0.54,0.76,0.61
https://www.hltv.org/stats/players/3741/niko,NiKo,0.94,1.15,0.79,85.4,95.6,50.8%,,20.3%,0.11,0.08,0.1,16.6%,16.6%,0.14,15.5%,0.86,0.14,0.12,25.6%,54.9%,73.2%,2.84,0.11,0.06,8.2%,4.8%,0.02,0.02,0.2,0.43,0.64
https://www.hltv.org/stats/players/21879/a1pha,A1pha,0.01,0.65,0.43,59.0,76.4,35.6%,0.49,6.3%,0.7,0.11,0.18,21.2%,21.2%,0.16,14.9%,0.35,0.07,0.19,26.4%,28.3%,46.2%,2.17,0.05,0.03,6.7%,2.3%,0.006,0.0,0.2,0.23,0.27
https://www.hltv.org/stats/players/24394/aapestt,Aapestt,0.47,0.88,0.65,67.6,108.9,43.5%,,17.4%,0.21,0.12,0.09,7.7%,7.7%,0.16,18.8%,0.28,0.06,0.19,24.6%,23.5%,50.0%,2.49,0.0,0.0,0.0%,-,0.0,0.0,0.99,0.85,0.34
https://www.hltv.org/stats/players/13317/aaron,Aaron,0.67,1.04,0.69,77.6,103.6,46.6%,1.04,16.9%,0.53,0.1,0.15,24.5%,24.5%,0.17,15.7%,0.64,0.11,0.13,23.9%,46.1%,72.4%,2.84,0.02,0.02,2.3%,1.2%,0.004,0.001,0.3,0.37,0.8
https://www.hltv.org/stats/players/23060/abby,abby,0.57,1.03,0.69,72.4,93.7,46.0%,0.99,16.5%,0.47,0.11,0.13,26.7%,26.7%,0.14,16.9%,0.41,0.09,0.1,19.2%,46.5%,77.5%,2.54,0.29,0.13,18.9%,9.9%,0.03,0.02,0.51,0.55,0.36
https://www.hltv.org/stats/players/17562/abdi,abdi,0.05,0.75,0.5,59.1,76.0,36.9%,0.76,11.4%,0.39,0.09,0.14,23.4%,23.4%,0.13,19.7%,0.12,0.06,0.11,16.9%,36.0%,61.1%,2.24,0.04,0.03,5.7%,1.7%,0.003,0.005,0.26,0.37,0.41
https://www.hltv.org/stats/players/23511/abiijxk,Abiijxk,0.01,0.67,0.45,57.9,90.1,32.7%,0.7,8.9%,0.55,0.11,0.16,25.0%,25.0%,0.15,14.7%,0.21,0.06,0.14,20.8%,30.7%,43.5%,2.57,0.0,0.0,0.0%,-,0.0,0.0,0.6,0.53,0.11
https://www.hltv.org/stats/players/21445/abiraju,abiraju,0.53,1.03,0.67,75.2,99.7,46.2%,1.36,15.4%,0.58,0.12,0.14,27.8%,27.8%,0.16,17.2%,0.39,0.09,0.09,18.2%,49.3%,74.3%,2.68,0.03,0.03,3.8%,1.5%,0.005,0.005,0.29,0.46,0.24
https://www.hltv.org/stats/players/20451/abizz,abizz,0.4,0.95,0.64,71.0,95.8,43.7%,1.07,15.1%,0.31,0.09,0.13,25.1%,25.1%,0.13,17.0%,0.24,0.08,0.1,17.5%,42.9%,72.9%,2.6,0.01,0.01,2.0%,1.1%,0.002,0.001,0.3,0.5,0.73
