full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr,is_igl
https://www.hltv.org/stats/players/2553/snax,Snax,Poland,31 years,G2,62/100,1.02,0.69,74.1,68.7,47.1%,,16.8%,6/100,0.08,0.09,15.0%,15.0%,0.13,17.5%,62/100,0.11,0.11,21.5%,50.9%,73.2%,2.64,32/100,0.14,19.6%,10.5%,0.04,0.03,6/100,0.08,0.09,12.4%,18.8%,77,42/100,0.02,8.6%,60.9%,0m 45s,6.6%,50/100,4.7,1.13,0.5,0.03,2.01,True
https://www.hltv.org/stats/players/3741/niko,NiKo,Bosnia and Herzegovina,27 years,G2,94/100,1.15,0.79,85.4,95.7,50.8%,,20.3%,11/100,0.08,0.1,16.6%,16.6%,0.14,15.6%,86/100,0.14,0.12,25.6%,54.9%,73.2%,2.84,11/100,0.06,8.2%,4.8%,0.02,0.02,20/100,0.1,0.11,14.3%,16.2%,93,43/100,0.02,8.8%,60.4%,0m 57s,6.2%,64/100,4.81,0.74,0.64,0.04,2.03,False
https://www.hltv.org/stats/players/3972/hunter,huNter-,Bosnia and Herzegovina,28 years,G2,89/100,1.1,0.76,82.8,105.6,49.7%,,19.3%,46/100,0.1,0.14,24.2%,24.2%,0.15,16.7%,64/100,0.11,0.1,20.6%,53.8%,76.2%,3.17,0/100,0.01,1.0%,0.7%,0.002,0.0007,49/100,0.11,0.15,19.6%,18.6%,108,42/100,0.02,8.6%,57.9%,1m 5s,6.5%,68/100,5.61,1.09,0.62,0.03,2.03,False
https://www.hltv.org/stats/players/11617/malbsmd,malbsMd,Guatemala,22 years,G2,88/100,1.14,0.76,81.6,107.8,49.2%,1.26,19.4%,68/100,0.11,0.15,26.4%,26.4%,0.14,15.0%,81/100,0.13,0.12,24.8%,52.3%,73.0%,2.73,0/100,0.0,0.4%,0.3%,0.0004,0.0002,41/100,0.11,0.14,18.2%,18.6%,108,36/100,0.02,8.1%,61.9%,1m 1s,4.4%,54/100,5.37,1.02,0.46,0.03,2.26,False
https://www.hltv.org/stats/players/19230/m0nesy,m0NESY,Russia,19 years,G2,89/100,1.23,0.78,79.6,102.6,51.3%,1.27,19.9%,26/100,0.09,0.11,22.5%,22.5%,0.11,18.0%,82/100,0.14,0.08,21.6%,63.0%,74.7%,1.98,93/100,0.39,49.5%,28.8%,0.1,0.09,50/100,0.11,0.15,19.7%,18.0%,102,64/100,0.03,11.2%,60.0%,1m 11s,9.7%,57/100,2.81,0.53,0.7,0.08,2.53,False
https://www.hltv.org/stats/players/7716/chopper,chopper,Russia,27 years,Spirit,40/100,0.95,0.64,70.8,88.6,44.3%,,15.1%,56/100,0.11,0.14,25.5%,25.5%,0.13,19.0%,45/100,0.09,0.11,20.3%,46.8%,71.5%,2.63,0/100,0.01,0.9%,0.5%,0.0008,0.0006,14/100,0.08,0.11,16.7%,18.8%,108,42/100,0.02,8.7%,54.9%,1m 6s,6.1%,69/100,4.42,0.88,0.73,0.05,2.27,True
https://www.hltv.org/stats/players/16920/sh1ro,sh1ro,Russia,23 years,Spirit,85/100,1.25,0.77,78.3,98.1,51.2%,1.27,19.3%,15/100,0.08,0.1,21.0%,21.0%,0.11,20.6%,60/100,0.11,0.06,16.9%,66.1%,77.2%,2.11,94/100,0.43,55.3%,33.4%,0.11,0.09,61/100,0.11,0.17,21.5%,19.7%,101,83/100,0.03,14.7%,64.7%,1m 17s,16.1%,65/100,3.92,0.87,0.71,0.07,2.37,False
https://www.hltv.org/stats/players/18317/magixx,magixx,Russia,21 years,Spirit,38/100,1.05,0.64,70.2,88.2,44.4%,1.14,14.9%,64/100,0.1,0.14,29.3%,29.3%,0.13,21.5%,38/100,0.09,0.09,17.6%,50.2%,76.2%,2.49,3/100,0.02,3.2%,1.7%,0.004,0.003,36/100,0.1,0.13,19.9%,19.0%,110,45/100,0.02,9.3%,61.0%,1m 11s,9.6%,51/100,4.38,0.84,0.53,0.03,2.27,False
https://www.hltv.org/stats/players/20423/zont1x,zont1x,Ukraine,19 years,Spirit,62/100,1.1,0.68,77.3,97.1,46.2%,1.14,16.3%,41/100,0.1,0.13,21.0%,21.0%,0.16,21.1%,56/100,0.1,0.1,20.4%,51.5%,72.6%,3.02,0/100,0.01,1.2%,0.7%,0.001,0.001,28/100,0.1,0.12,18.1%,19.7%,114,44/100,0.02,8.3%,72.2%,1m 7s,7.3%,52/100,5.38,1.12,0.42,0.03,2.31,False
https://www.hltv.org/stats/players/21167/donk,donk,Russia,17 years,Spirit,98/100,1.27,0.85,88.8,115.9,52.9%,1.35,22.2%,64/100,0.11,0.15,24.5%,24.5%,0.15,15.7%,87/100,0.14,0.11,25.2%,55.8%,74.1%,2.84,1/100,0.01,1.5%,1.0%,0.003,0.001,71/100,0.15,0.17,20.6%,19.5%,105,39/100,0.02,6.6%,69.2%,1m 5s,7.4%,28/100,3.63,0.64,0.39,0.02,2.0,False
